rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.98483018168935,74.44420454545457,603122,合富中国,bottom_area,2022-04-13,14.11,2022-04-13,14.08,0.2130681818181773,5.610795454545448,27.46007212776919,False,-5.5556,18.0926,1,1,1,100.0,72.1590909090909,72.1590909090909,19.786931818181824,0.2130681818181773,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
2,86.28125067385446,71.90104222821205,300490,华自科技,bottom_area,2022-04-13,12.34,2022-04-13,12.34,0.0,4.294975688816851,28.380731282646547,False,-4.7104,1.6945,2,2,2,100.0,29.306678646301293,32.06349206349206,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
3,85.24089566020318,71.39666666666669,000889,中嘉博创,bottom_area,2022-04-13,3.61,2022-04-13,3.6,0.27777777777777185,5.555555555555548,27.85571142284569,False,-5.9896,3.616,1,1,1,100.0,34.408602150537625,34.408602150537625,19.72222222222223,0.27777777777777185,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
4,85.05437085554091,71.08783611886503,002474,榕基软件,bottom_area,2022-04-13,6.23,2022-04-12,6.22,0.16077170418007516,3.2154340836012896,31.11849390919158,False,-2.8081,1.9192,1,1,1,100.0,21.0989010989011,21.0989010989011,19.83922829581993,0.16077170418007516,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
5,84.70729662792735,71.28137883012093,300746,汉嘉数智,bottom_area,2022-04-13,13.22,2022-04-13,13.15,0.5323193916349831,7.984790874524707,32.21649484536081,False,-7.0977,3.7605,1,1,1,100.0,36.90896259703598,36.90896259703598,19.46768060836502,0.5323193916349831,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
6,84.61509783819481,70.59662513317804,300435,中泰股份,bottom_area,2022-04-13,15.4,2022-04-13,15.39,0.06497725795971271,3.3788174139051304,29.306384933394575,False,-4.0498,2.0917,1,1,1,100.0,27.498781082398814,27.498781082398814,19.93502274204029,0.06497725795971271,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
7,84.58869346511156,72.83316506814741,300364,中文在线,bottom_area,2022-04-13,10.26,2022-04-13,10.08,1.785714285714283,9.126984126984127,29.411764705882348,False,-8.5561,9.309,1,1,1,100.0,20.7773851590106,20.7773851590106,18.21428571428572,1.785714285714283,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-8.56%; 状态bottom_area; 底部未确认
8,84.44933816159079,72.72784062652676,300471,厚普股份,bottom_area,2022-04-13,18.13,2022-04-11,17.81,1.7967434025828206,5.9517125210556,28.731492597038816,False,-3.7686,2.3553,1,1,1,100.0,20.346320346320343,20.346320346320343,18.20325659741718,1.7967434025828206,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
9,83.02125373423132,74.25529870129867,000875,电投绿能,bottom_area,2022-04-13,6.98,2022-04-12,6.72,3.869047619047629,5.208333333333341,27.114967462039054,False,0.1435,2.1418,1,1,1,100.0,21.27272727272727,21.27272727272727,16.130952380952372,3.869047619047629,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
10,82.56588977381034,69.42073726574776,688008,澜起科技,bottom_area,2022-04-13,55.8,2022-04-13,55.53,0.4862236628849199,6.446965604177919,28.348387096774193,False,-4.1402,0.8564,1,1,1,100.0,26.340468909276254,26.340468909276254,19.513776337115083,0.4862236628849199,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
11,80.80607393534258,68.27247104247104,002482,广田集团,bottom_area,2022-04-13,2.68,2022-04-13,2.66,0.7518796992481209,7.518796992481193,27.717391304347828,False,-6.2937,4.6547,1,1,1,100.0,23.423423423423422,23.423423423423422,19.248120300751882,0.7518796992481209,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
12,76.3295210174573,63.72515436482864,300724,捷佳伟创,bottom_area,2022-04-13,59.8,2022-04-13,59.74,0.100435219283554,4.620020087043853,27.919884169884163,False,-5.2298,2.8903,2,3,2,66.66666666666666,29.87892472112087,30.55368319691865,19.899564780716446,0.100435219283554,历史2/3次成功; 当前距低点0.10%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
13,68.79012843297829,58.425884562721606,601137,博威合金,bottom_area,2022-04-13,12.65,2022-04-13,12.52,1.0383386581469711,5.111821086261985,30.211817168338918,False,-4.2392,2.5527,1,2,1,50.0,25.82417582417582,25.82417582417582,18.96166134185303,1.0383386581469711,历史1/2次成功; 当前距低点1.04%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
14,67.83394081334319,57.7070728720147,300631,久吾高科,bottom_area,2022-04-13,28.72,2022-04-13,28.4,1.1267605633802829,4.577464788732398,28.210313447927206,False,-3.2997,2.1411,1,2,1,50.0,23.04347826086956,23.04347826086956,18.87323943661972,1.1267605633802829,历史1/2次成功; 当前距低点1.13%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
15,63.48265257352943,55.277411764705896,000863,三湘印象,bottom_area,2022-04-13,3.84,2022-04-13,3.75,2.3999999999999964,8.800000000000002,28.57142857142857,False,-7.6923,6.734,1,2,1,50.0,25.588235294117638,25.588235294117638,17.600000000000005,2.3999999999999964,历史1/2次成功; 当前距低点2.40%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
16,63.3243858990298,53.271161563031974,603348,文灿股份,bottom_area,2022-04-13,29.25,2022-04-13,29.1,0.5154639175257684,5.8075601374570365,31.384107521810883,False,-4.8471,1.6008,1,2,1,50.0,31.539888682745836,31.539888682745836,19.484536082474232,0.5154639175257684,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
17,61.19643033611869,51.514412624196396,603351,威尔药业,bottom_area,2022-04-13,23.73,2022-04-13,23.6,0.5508474576271144,6.228813559322028,32.97358704913377,False,-4.3145,1.0193,1,2,1,50.0,22.528735632183903,22.528735632183903,19.449152542372886,0.5508474576271144,历史1/2次成功; 当前距低点0.55%; 最新日涨幅-4.31%; 状态bottom_area; 底部未确认
18,60.708354652865886,51.297402597402574,300393,中来股份,bottom_area,2022-04-13,13.3,2022-04-13,13.2,0.7575757575757683,9.393939393939396,28.182807399347116,False,-7.9585,6.1899,1,2,1,50.0,23.89610389610389,23.89610389610389,19.24242424242423,0.7575757575757683,历史1/2次成功; 当前距低点0.76%; 最新日涨幅-7.96%; 状态bottom_area; 底部未确认
19,60.145230656894505,50.76349582661148,002104,恒宝股份,bottom_area,2022-04-13,10.14,2022-04-13,10.07,0.6951340615690197,9.03674280039722,29.72784368457781,False,-8.7309,13.9687,1,2,1,50.0,20.260223048327138,20.260223048327138,19.304865938430982,0.6951340615690197,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-8.73%; 状态bottom_area; 底部未确认
