rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.14257050078328,79.51240270825113,002240,盛新锂能,bottom_area,2022-01-21,44.91,2022-01-20,44.44,1.0576057605760552,5.355535553555361,27.027914614121514,False,0.38,2.5146,1,1,1,100.0,15.073891625615756,15.073891625615756,6.942394239423945,1.0576057605760552,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
2,83.10150074983164,78.71197102582819,300421,力星股份,bottom_area,2022-01-21,15.45,2022-01-21,15.27,1.1787819253438094,5.1080550098231905,32.73127753303965,False,-3.074,3.8049,2,2,2,100.0,28.27738610544126,43.59974009096816,6.821218074656191,1.1787819253438094,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
3,81.96136864198125,78.95778711484593,600418,江淮汽车,bottom_area,2022-01-21,13.88,2022-01-21,13.6,2.058823529411773,2.794117647058829,27.38921516284037,False,0.5797,1.5599,1,1,1,100.0,24.365079365079367,24.365079365079367,5.9411764705882275,2.058823529411773,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
4,81.10728533798411,79.85119906062594,601778,晶科科技,bottom_area,2022-01-21,7.12,2022-01-21,6.9,3.1884057971014457,4.057971014492744,29.230769230769226,False,0.2817,1.3534,2,2,2,100.0,26.348195043103452,42.344827586206904,4.811594202898554,3.1884057971014457,历史2/2次成功; 当前距低点3.19%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
5,80.93125546559908,76.8784502197841,600316,洪都航空,bottom_area,2022-01-21,32.02,2022-01-21,31.6,1.3291139240506382,3.0379746835443067,27.936145952109463,False,-1.8995,1.242,2,2,2,100.0,10.047472938814842,10.422364023093307,6.670886075949362,1.3291139240506382,历史2/2次成功; 当前距低点1.33%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
6,79.24378937252695,75.36367915842959,600032,浙江新能,bottom_area,2022-01-21,13.13,2022-01-20,12.95,1.3899613899614016,5.328185328185339,28.92425905598244,False,-0.5303,3.272,1,1,1,100.0,19.31608133086876,19.31608133086876,6.610038610038599,1.3899613899614016,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
7,79.0232975542592,73.8775944577028,300484,蓝海华腾,bottom_area,2022-01-21,14.07,2022-01-21,14.0,0.500000000000002,2.7857142857142896,31.773879142300192,False,-1.5395,1.5819,2,2,2,100.0,23.589217514531214,28.708133971291865,7.499999999999998,0.500000000000002,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
8,78.7985295075836,77.36764404777529,002256,兆新股份,bottom_area,2022-01-21,3.72,2022-01-21,3.61,3.0470914127423914,6.648199445983385,29.2156862745098,False,1.087,8.3352,1,1,1,100.0,27.930174563591027,27.930174563591027,4.952908587257609,3.0470914127423914,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
9,78.66647370106861,73.95498141263938,601798,蓝科高新,bottom_area,2022-01-21,7.66,2022-01-21,7.6,0.789473684210533,3.157894736842108,28.30188679245283,False,0.3932,2.228,1,1,1,100.0,21.74721189591078,21.74721189591078,7.210526315789467,0.789473684210533,历史1/1次成功; 当前距低点0.79%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
10,78.5433288912731,74.1567738162284,300567,精测电子,bottom_area,2022-01-21,56.87,2022-01-21,56.3,1.0124333925399651,5.27531083481351,27.82051282051282,False,-3.6755,2.2546,1,1,1,100.0,18.414634146341452,18.414634146341452,6.987566607460035,1.0124333925399651,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
11,76.54003828062392,74.36914061859709,600257,大湖股份,bottom_area,2022-01-21,6.55,2022-01-21,6.39,2.503912363067295,3.912363067292645,30.316248636859328,False,-0.9077,8.9315,2,2,2,100.0,10.95731616338992,13.44902386117137,5.496087636932705,2.503912363067295,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
