rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.9714848818329,78.23620839479564,300649,杭州园林,bottom_area,2023-10-09,18.5,2023-10-09,18.39,0.5981511691136456,3.6432843936922135,29.26923076923077,False,-2.529,5.3101,2,2,2,100.0,48.22576914179969,71.60305343511452,14.401848830886355,0.5981511691136456,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
2,85.38108072494245,79.41140654391496,002534,西子洁能,bottom_area,2023-10-09,12.93,2023-09-22,12.48,3.605769230769225,7.2115384615384635,27.861271676300582,True,-0.4619,0.4605,3,3,3,100.0,25.712690269187092,33.11594202898551,11.394230769230775,3.605769230769225,历史3/3次成功; 当前距低点3.61%; 最新日涨幅-0.46%; 状态bottom_area; 底部已确认
3,85.23481486877735,77.24626375842671,601226,华电科工,bottom_area,2023-10-09,6.0,2023-09-25,5.87,2.214650766609879,4.088586030664399,27.975460122699385,False,-0.8264,0.4001,1,1,1,100.0,39.54659949622166,39.54659949622166,12.78534923339012,2.214650766609879,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
4,81.63670715515882,76.76025580381929,603226,菲林格尔,bottom_area,2023-10-09,5.47,2023-09-12,5.25,4.190476190476185,8.952380952380947,29.71887550200803,True,-2.669,1.1662,3,3,3,100.0,18.62656730163969,20.479302832244016,10.809523809523814,4.190476190476185,历史3/3次成功; 当前距低点4.19%; 最新日涨幅-2.67%; 状态bottom_area; 底部已确认
5,80.85963380514188,75.09193417983933,000058,深赛格,bottom_area,2023-10-09,7.05,2023-09-22,6.81,3.524229074889871,7.635829662261387,27.16577540106952,True,-0.9831,2.123,1,1,1,100.0,34.82352941176472,34.82352941176472,11.47577092511013,3.524229074889871,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
6,80.13232039024757,70.62338592782285,301313,凡拓数创,bottom_area,2023-10-09,28.0,2023-10-09,27.8,0.7194244604316521,10.215827338129497,30.93167701863354,False,-18.958,19.6624,3,4,3,75.0,39.831579019392564,52.43243243243245,14.280575539568346,0.7194244604316521,历史3/4次成功; 当前距低点0.72%; 最新日涨幅-18.96%; 状态bottom_area; 底部未确认
7,79.750397463341,70.19960749138924,600004,白云机场,bottom_area,2023-10-09,10.79,2023-10-09,10.72,0.6529850746268517,4.1977611940298445,27.322033898305083,False,-3.6607,1.0861,1,1,1,100.0,32.57211538461537,32.57211538461537,14.347014925373147,0.6529850746268517,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
8,77.63106134972539,68.08517816907289,000006,深振业A,bottom_area,2023-10-09,4.39,2023-10-09,4.37,0.4576659038901504,3.89016018306636,28.36065573770491,False,-3.304,1.5679,1,1,1,100.0,18.809980806142043,18.809980806142043,14.54233409610985,0.4576659038901504,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
9,74.39969927868623,69.60083236465498,600032,浙江新能,bottom_area,2023-10-09,10.08,2023-09-22,9.7,3.9175257731958846,5.154639175257732,27.395209580838326,False,-0.9823,1.151,1,1,1,100.0,19.31608133086876,19.31608133086876,11.082474226804115,3.9175257731958846,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
10,72.86281826135937,69.3967366628831,300749,顶固集创,bottom_area,2023-10-09,9.24,2023-09-11,8.81,4.8808172531214495,9.421112372304199,28.663967611336027,True,-1.7021,3.0039,1,1,1,100.0,20.833333333333336,20.833333333333336,10.119182746878549,4.8808172531214495,历史1/1次成功; 当前距低点4.88%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
11,64.95309593863237,60.160915621313805,603232,格尔软件,bottom_area,2023-10-09,11.92,2023-09-21,11.53,3.382480485689511,5.1170858629661735,29.176904176904184,False,-0.8319,2.6127,2,4,2,50.0,20.338554455300404,22.78481012658228,11.617519514310489,3.382480485689511,历史2/4次成功; 当前距低点3.38%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
12,63.34820434961104,56.638792390405314,002069,獐子岛,bottom_area,2023-10-09,4.09,2023-09-14,4.03,1.4888337468982533,6.699751861042174,28.79858657243816,False,-2.3866,1.0768,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,13.511166253101747,1.4888337468982533,历史1/3次成功; 当前距低点1.49%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
13,62.002505644623724,56.28276922239757,002177,御银股份,bottom_area,2023-10-09,4.0,2023-09-28,3.91,2.3017902813299194,3.836317135549858,27.992633517495392,False,-0.7444,2.6193,1,2,1,50.0,19.574468085106382,19.574468085106382,12.69820971867008,2.3017902813299194,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
14,61.92060715098422,54.27395835703723,600322,津投城开,bottom_area,2023-10-09,2.36,2023-10-09,2.35,0.4255319148936079,5.531914893617016,28.353658536585357,False,-3.2787,4.3059,1,2,1,50.0,35.828877005347586,35.828877005347586,14.57446808510639,0.4255319148936079,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-3.28%; 状态bottom_area; 底部未确认
