rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.88607308273882,75.98575098962368,603268,松发股份,bottom_area,2024-12-06,37.55,2024-12-06,37.27,0.7512744834987766,3.2197477864233854,30.232122800449268,False,-1.7273,5.0393,3,3,3,100.0,21.336864580649962,37.532133676092535,7.248725516501224,0.7512744834987766,历史3/3次成功; 当前距低点0.75%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
2,80.7952380507082,76.021019006888,001229,魅视科技,bottom_area,2024-12-06,39.91,2024-12-06,39.58,0.8337544214249579,2.5517938352703515,31.033281059418023,False,-1.6511,20.8136,3,3,3,100.0,22.53752197708012,42.18749999999999,7.166245578575042,0.8337544214249579,历史3/3次成功; 当前距低点0.83%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
3,73.60055432693282,72.31873718873723,600327,大东方,confirmed_rebound,2024-12-06,6.68,2024-12-06,6.48,3.0864197530864086,11.111111111111107,28.2392026578073,False,-7.2222,23.6743,2,2,2,100.0,27.5041625041625,33.030303030303024,4.913580246913591,3.0864197530864086,历史2/2次成功; 当前距低点3.09%; 最新日涨幅-7.22%; 状态confirmed_rebound; 底部未确认
4,72.16400385366417,68.09459155348425,002095,生意宝,bottom_area,2024-12-06,22.61,2024-12-06,22.39,0.982581509602496,5.627512282268861,30.35769828926905,False,-3.2934,12.9251,4,5,4,80.0,18.62837309342981,33.84030418250951,7.017418490397503,0.982581509602496,历史4/5次成功; 当前距低点0.98%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
