rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.62194036729747,83.74877200674223,688316,青云科技,bottom_area,2022-02-08,49.3,2022-02-08,48.5,1.6494845360824684,2.4536082474226757,31.497175141242934,False,0.5302,1.8256,3,3,3,100.0,11.77202553231324,13.030303030303022,6.350515463917532,1.6494845360824684,历史3/3次成功; 当前距低点1.65%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,85.43122095110759,83.08074261744136,300624,万兴科技,bottom_area,2022-02-08,41.03,2022-02-08,40.01,2.549362659335174,3.22419395151212,27.557486873076225,False,0.0976,3.3721,2,2,2,100.0,35.87790043400834,51.195680123425035,5.4506373406648265,2.549362659335174,历史2/2次成功; 当前距低点2.55%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
3,82.7457242418931,80.79695004382124,603368,柳药集团,bottom_area,2022-02-08,16.75,2022-01-28,16.3,2.760736196319014,3.9263803680981626,30.282292557741652,False,0.9036,2.421,1,1,1,100.0,42.85714285714285,42.85714285714285,5.239263803680987,2.760736196319014,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
4,79.99380335979126,77.16328238026942,688311,盟升电子,bottom_area,2022-02-08,55.7,2022-01-28,54.54,2.1268793546021336,6.784011734506789,28.882514017472943,False,-0.7838,0.9317,2,2,2,100.0,21.357888756786508,23.893805309734503,5.873120645397867,2.1268793546021336,历史2/2次成功; 当前距低点2.13%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
5,77.57304365851364,75.93942079255753,688089,嘉必优,bottom_area,2022-02-08,48.01,2022-02-08,46.66,2.8932704672096046,5.550792970424355,32.66955266955267,False,-1.7799,2.5811,1,1,1,100.0,40.83912611717973,40.83912611717973,5.106729532790395,2.8932704672096046,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
6,76.39441112184062,74.94560111936283,300648,星云股份,bottom_area,2022-02-08,46.97,2022-02-08,45.6,3.004385964912275,6.118421052631577,27.596062241981578,False,-2.5721,1.9732,2,2,2,100.0,20.191403867542057,26.78362573099414,4.995614035087725,3.004385964912275,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
7,76.08575438132293,74.92541216933155,000848,承德露露,bottom_area,2022-02-08,9.35,2022-01-28,9.06,3.200883002207496,3.532008830022078,27.228915662650593,False,1.6304,0.7458,1,1,1,100.0,16.685082872928174,16.685082872928174,4.799116997792504,3.200883002207496,历史1/1次成功; 当前距低点3.20%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
8,75.88851167310786,71.96689582227393,688319,欧林生物,bottom_area,2022-02-08,28.54,2022-02-08,28.19,1.2415750266051715,4.043987229514001,27.28914108847047,False,-3.1558,2.1836,1,1,1,100.0,9.449929478138205,9.449929478138205,6.758424973394829,1.2415750266051715,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
9,75.78297087666753,74.66626599040576,688356,键凯科技,bottom_area,2022-02-08,206.58,2022-02-08,200.12,3.228063162102742,4.962022786328206,30.725560786485733,False,0.6872,2.039,1,1,1,100.0,15.625,15.625,4.771936837897258,3.228063162102742,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
10,75.40248097112953,75.21005810171414,002603,以岭药业,bottom_area,2022-02-08,20.95,2022-01-26,20.17,3.867129400099145,7.635101636093203,27.757879656160455,True,-1.5508,2.0068,1,1,1,100.0,39.661898569570866,39.661898569570866,4.132870599900855,3.867129400099145,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
11,75.26446057934358,74.30477050980303,300677,英科医疗,bottom_area,2022-02-08,54.26,2022-02-07,52.51,3.332698533612646,3.332698533612646,29.516778523489933,False,2.05,2.0349,1,1,1,100.0,14.964103045375621,14.964103045375621,4.667301466387355,3.332698533612646,历史1/1次成功; 当前距低点3.33%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
12,74.84391178690977,74.9998661399418,600211,西藏药业,bottom_area,2022-02-08,42.32,2022-01-28,40.65,4.108241082410828,4.1820418204182115,28.18021201413428,False,0.6182,0.5158,2,2,2,100.0,11.541160257196122,13.252533280349695,3.891758917589172,4.108241082410828,历史2/2次成功; 当前距低点4.11%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
13,74.6176745155169,74.88862834672108,300612,宣亚国际,bottom_area,2022-02-08,19.9,2022-02-08,19.1,4.188481675392655,5.235602094240837,28.943452380952372,False,2.3136,5.7685,2,2,2,100.0,11.926701971055497,15.789473684210526,3.811518324607345,4.188481675392655,历史2/2次成功; 当前距低点4.19%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
14,74.39565941461824,71.85011256930571,300507,苏奥传感,bottom_area,2022-02-08,9.8,2022-02-08,9.59,2.189781021897819,3.9624608967674746,30.60781476121563,False,-1.0101,5.2137,1,1,1,100.0,10.230179028132978,10.230179028132978,5.810218978102181,2.189781021897819,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
15,74.37179432204,71.97845217291581,601966,玲珑轮胎,bottom_area,2022-02-08,30.7,2022-02-08,30.01,2.2992335888037245,5.964678440519823,27.686746987951803,False,-3.4591,0.7222,1,1,1,100.0,22.476907287033857,22.476907287033857,5.700766411196276,2.2992335888037245,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
16,74.32563980855784,74.30740486257929,000625,长安汽车,bottom_area,2022-02-08,13.04,2022-01-28,12.54,3.9872408293460926,7.0175438596491295,31.25,True,0.4622,0.9707,1,1,1,100.0,13.808139534883724,13.808139534883724,4.012759170653908,3.9872408293460926,历史1/1次成功; 当前距低点3.99%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
17,73.43578937174752,72.8378665863373,600171,上海贝岭,bottom_area,2022-02-08,21.44,2022-01-28,20.7,3.57487922705315,4.541062801932373,29.711375212224112,False,0.1869,1.443,1,1,1,100.0,10.046189376443415,10.046189376443415,4.42512077294685,3.57487922705315,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
18,73.01022990114117,72.40308543566685,688039,当虹科技,bottom_area,2022-02-08,65.35,2022-02-08,63.1,3.565768621236122,7.0364500792393105,29.881097899766633,False,-2.024,2.2791,2,2,2,100.0,13.403429527339858,17.019445878506282,4.4342313787638785,3.565768621236122,历史2/2次成功; 当前距低点3.57%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
19,72.9276611551445,69.58633633110178,688127,蓝特光学,confirmed_rebound,2022-02-08,18.86,2022-02-08,18.57,1.5616585891222354,11.470113085621964,27.995347033734003,False,-7.8201,4.8903,1,1,1,100.0,10.789881259679916,10.789881259679916,6.438341410877765,1.5616585891222354,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-7.82%; 状态confirmed_rebound; 底部未确认
20,71.80200269216171,71.7033388978383,688049,炬芯科技,bottom_area,2022-02-08,50.0,2022-01-27,48.11,3.9284971939305766,7.046352109748494,30.577200577200575,False,0.2406,2.046,1,1,1,100.0,8.281249999999996,8.281249999999996,4.071502806069423,3.9284971939305766,历史1/1次成功; 当前距低点3.93%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
21,71.64186832680271,71.73446211081094,300639,凯普生物,bottom_area,2022-02-08,27.89,2022-01-28,26.8,4.067164179104477,4.067164179104477,29.934640522875817,False,1.0874,1.548,1,1,1,100.0,10.14836795252224,10.14836795252224,3.932835820895523,4.067164179104477,历史1/1次成功; 当前距低点4.07%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
22,71.59193678549815,72.79264012781258,300339,润和软件,bottom_area,2022-02-08,19.4,2022-01-27,18.5,4.864864864864858,7.945945945945939,27.450980392156865,False,1.3584,2.6261,1,1,1,100.0,25.615763546798025,25.615763546798025,3.1351351351351426,4.864864864864858,历史1/1次成功; 当前距低点4.86%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
23,71.09682549046822,68.43822695824267,300573,兴齐眼药,bottom_area,2022-02-08,100.58,2022-02-08,98.59,2.0184602900902675,4.4426412415052186,28.298181818181817,False,-0.9064,2.0379,2,3,2,66.66666666666666,28.675536306353806,42.86062675283501,5.9815397099097325,2.0184602900902675,历史2/3次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
24,70.53786100386098,70.92649935649935,002022,科华生物,bottom_area,2022-02-08,13.14,2022-01-28,12.6,4.285714285714294,4.761904761904759,31.891891891891895,False,0.3053,1.9384,1,1,1,100.0,8.483483483483475,8.483483483483475,3.714285714285707,4.285714285714294,历史1/1次成功; 当前距低点4.29%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
25,70.19072164534472,69.54729092656831,002728,特一药业,bottom_area,2022-02-08,14.7,2022-01-28,14.2,3.5211267605633805,6.971830985915495,27.47701736465781,False,-1.276,7.4093,1,1,1,100.0,14.169139465875372,14.169139465875372,4.47887323943662,3.5211267605633805,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
26,69.29090225578484,70.17449848471801,000967,盈峰环境,bottom_area,2022-02-08,6.29,2022-01-28,6.01,4.658901830282866,4.825291181364393,30.52023121387284,False,1.6155,0.5904,1,1,1,100.0,9.015025041736227,9.015025041736227,3.3410981697171342,4.658901830282866,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
