rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.77864307618663,81.28989677691173,000419,通程控股,bottom_area,2023-02-07,6.17,2023-01-19,6.06,1.8151815181518205,4.620462046204625,29.039812646370024,False,0.3252,1.9532,2,2,2,100.0,17.250057195149854,24.82269503546099,6.18481848184818,1.8151815181518205,历史2/2次成功; 当前距低点1.82%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
2,82.71625667200041,82.04648941149838,000715,中兴商业,bottom_area,2023-02-07,6.37,2023-01-19,6.15,3.5772357723577195,7.317073170731696,31.05381165919282,True,0.1572,2.9821,3,3,3,100.0,17.056919206849418,24.33862433862435,4.422764227642281,3.5772357723577195,历史3/3次成功; 当前距低点3.58%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
3,80.28383177972762,80.92209052187192,000679,大连友谊,confirmed_rebound,2023-02-07,5.68,2023-01-18,5.44,4.41176470588234,9.007352941176459,28.515111695137975,True,0.3534,1.5941,4,4,4,100.0,14.78986049077237,24.94061757719715,3.58823529411766,4.41176470588234,历史4/4次成功; 当前距低点4.41%; 最新日涨幅0.35%; 状态confirmed_rebound; 底部已确认
4,77.98326105918953,77.12307193192474,300562,乐心医疗,bottom_area,2023-02-07,9.97,2023-01-31,9.64,3.423236514522822,4.875518672199158,27.790262172284635,False,-0.3996,2.8285,3,3,3,100.0,20.365866586219184,22.71604938271605,4.576763485477178,3.423236514522822,历史3/3次成功; 当前距低点3.42%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
5,77.91460129478622,73.87504515541382,000756,新华制药,bottom_area,2023-02-07,27.11,2023-02-07,26.78,1.2322628827483133,2.8752800597460775,28.010752688172047,False,-0.7687,4.1402,1,1,1,100.0,9.379594236989137,9.379594236989137,6.767737117251688,1.2322628827483133,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
6,77.15302776025554,74.93748473335633,002349,精华制药,bottom_area,2023-02-07,11.96,2023-01-19,11.67,2.4850042844901536,5.3984575835475646,28.44880441446965,False,-0.7469,1.5485,2,2,2,100.0,13.781153236526267,18.615984405458093,5.514995715509846,2.4850042844901536,历史2/2次成功; 当前距低点2.49%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
7,76.91070997581208,75.09380617756467,300434,金石亚药,bottom_area,2023-02-07,12.3,2023-01-19,11.97,2.7568922305764416,6.766917293233071,31.127733026467197,False,-1.2048,2.5047,2,2,2,100.0,17.954411092897637,26.7379679144385,5.243107769423559,2.7568922305764416,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
8,75.68852109963548,74.13564821587086,000650,仁和药业,bottom_area,2023-02-07,6.34,2023-01-12,6.16,2.9220779220779174,5.844155844155835,27.444051825677267,False,-0.3145,1.9312,2,2,2,100.0,14.827881065637138,17.19038817005545,5.077922077922083,2.9220779220779174,历史2/2次成功; 当前距低点2.92%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
9,72.2674905212491,72.28172154107669,300485,赛升药业,bottom_area,2023-02-07,12.19,2023-01-12,11.72,4.0102389078498195,6.143344709897601,27.69895126465145,False,0.0821,1.9473,1,1,1,100.0,12.392829306313327,12.392829306313327,3.9897610921501805,4.0102389078498195,历史1/1次成功; 当前距低点4.01%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
10,68.00026765764589,67.38381234278248,002589,瑞康医药,bottom_area,2023-02-07,4.11,2023-01-31,3.97,3.526448362720406,5.2896725440805925,27.55474452554745,False,0.0,1.745,2,3,2,66.66666666666666,19.018537328593187,28.49162011173183,4.473551637279594,3.526448362720406,历史2/3次成功; 当前距低点3.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,62.490567255049804,59.13074596851769,000721,西安饮食,bottom_area,2023-02-07,13.46,2023-02-07,13.31,1.1269722013523693,4.432757325319307,29.762532981530338,False,-2.6049,11.0989,1,2,1,50.0,20.485175202156327,20.485175202156327,6.873027798647631,1.1269722013523693,历史1/2次成功; 当前距低点1.13%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
