rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.04194675871997,84.40476908375692,300721,怡达股份,bottom_area,2024-05-14,12.45,2024-05-14,12.3,1.2195121951219396,6.178861788617884,27.13270142180094,False,-2.9618,9.4563,4,4,4,100.0,15.834714455026521,22.270742358078603,6.78048780487806,1.2195121951219396,历史4/4次成功; 当前距低点1.22%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
2,87.63346202229398,83.9266445155529,603232,格尔软件,bottom_area,2024-05-14,12.19,2024-05-14,11.98,1.7529215358931476,5.175292153589309,28.69047619047619,False,-2.7135,7.506,6,6,6,100.0,19.8027183730606,48.01488833746897,6.247078464106853,1.7529215358931476,历史6/6次成功; 当前距低点1.75%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
3,82.11596525123515,79.5037437678431,605108,同庆楼,bottom_area,2024-05-14,25.59,2024-05-14,25.01,2.3190723710515724,2.718912435025988,27.821067821067814,False,1.4671,1.0482,2,2,2,100.0,13.82381061204675,17.52165223184544,5.680927628948427,2.3190723710515724,历史2/2次成功; 当前距低点2.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
4,81.89623686355532,75.8298489477364,002829,星网宇达,bottom_area,2024-05-14,15.98,2024-05-14,15.98,0.0,0.0,30.822510822510825,False,-10.0225,1.8493,4,4,4,100.0,17.095962084604217,21.985417835109377,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
5,79.84903038289947,73.93428739157358,600360,华微电子,bottom_area,2024-05-14,4.33,2024-05-14,4.33,0.0,0.0,30.161290322580648,False,-5.0439,0.0948,3,3,3,100.0,23.571437589105233,45.695364238410576,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
6,78.36009536317104,78.44532771118719,688276,百克生物,confirmed_rebound,2024-05-14,39.76,2024-04-26,38.21,4.056529704265891,9.343103899502749,30.778985507246382,True,0.5056,1.1947,3,3,3,100.0,13.786104499534513,16.844155844155843,3.9434702957341092,4.056529704265891,历史3/3次成功; 当前距低点4.06%; 最新日涨幅0.51%; 状态confirmed_rebound; 底部已确认
7,78.08068343026189,72.29692910209434,600421,退市华嵘,bottom_area,2024-05-14,5.61,2024-05-14,5.61,0.0,0.0,28.26086956521739,False,-9.9518,1.3324,2,2,2,100.0,31.435102699431873,44.900662251655625,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
8,77.51968773785784,73.08071120538273,603139,康惠股份,bottom_area,2024-05-14,14.04,2024-05-14,13.91,0.9345794392523292,4.960460100647013,27.5897969807392,False,-5.7085,9.6075,3,3,3,100.0,18.180388854183054,29.315476190476186,7.06542056074767,0.9345794392523292,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
9,77.25524357429434,73.71015355662773,600990,四创电子,bottom_area,2024-05-14,20.21,2024-05-14,19.9,1.5577889447236295,5.477386934673366,27.079516306339325,False,-1.4146,7.6774,1,1,1,100.0,12.483399734395755,12.483399734395755,6.4422110552763705,1.5577889447236295,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
10,75.89789811171426,70.2758315849206,002197,证通电子,bottom_area,2024-05-14,5.83,2024-05-14,5.83,0.0,0.0,30.429594272076375,False,-5.0489,0.1553,2,2,2,100.0,20.568987015702117,29.919137466307287,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
11,74.6115861584079,71.991517512664,603110,东方材料,bottom_area,2024-05-14,14.31,2024-05-14,14.01,2.1413276231263434,3.9971448965025016,27.220779220779225,False,-0.2787,6.1228,1,1,1,100.0,10.396475770925107,10.396475770925107,5.858672376873657,2.1413276231263434,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
