rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.56481567934229,85.6122132553138,688039,当虹科技,bottom_area,2025-10-23,49.8,2025-10-23,48.99,1.653398652786273,4.000816493161871,30.970832746230798,False,-1.8526,2.1021,7,7,7,100.0,27.644957976701654,79.31638913234006,6.346601347213728,1.653398652786273,历史7/7次成功; 当前距低点1.65%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
2,88.90616018206796,84.33215140985443,300563,神宇股份,bottom_area,2025-10-23,37.14,2025-10-23,36.68,1.2540894220283558,3.0261723009814596,28.776699029126213,False,-1.4593,3.7174,4,4,4,100.0,15.86814673160799,20.477137176938378,6.745910577971645,1.2540894220283558,历史4/4次成功; 当前距低点1.25%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
3,87.77401929561586,84.03407284543016,603305,旭升集团,bottom_area,2025-10-23,14.65,2025-10-23,14.4,1.7361111111111112,3.680555555555551,29.064039408867,False,-2.4634,3.1898,6,6,6,100.0,20.174226767545644,32.41061130334487,6.263888888888888,1.7361111111111112,历史6/6次成功; 当前距低点1.74%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
4,84.3531629493123,80.45702757237308,300056,中创环保,confirmed_rebound,2025-10-23,10.54,2025-10-15,10.38,1.5414258188824506,8.188824662813097,29.001367989056074,True,0.1901,2.1718,1,1,1,100.0,27.10472279260781,27.10472279260781,6.458574181117549,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.19%; 状态confirmed_rebound; 底部已确认
5,81.61538128693502,78.84599030075113,000700,模塑科技,bottom_area,2025-10-23,9.27,2025-10-23,9.07,2.205071664829099,2.4255788313120052,30.974124809741248,False,-0.3226,1.6637,2,2,2,100.0,31.363191916997117,52.926829268292686,5.794928335170901,2.205071664829099,历史2/2次成功; 当前距低点2.21%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
6,80.84435404391942,79.10656518177642,002453,华软科技,bottom_area,2025-10-23,6.81,2025-10-23,6.62,2.87009063444108,2.87009063444108,32.17213114754098,False,0.1471,4.8694,2,2,2,100.0,18.44285929194665,28.60169491525425,5.12990936555892,2.87009063444108,历史2/2次成功; 当前距低点2.87%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
7,80.78267803553081,78.23522916992755,000572,海马汽车,confirmed_rebound,2025-10-23,5.7,2025-10-23,5.57,2.333931777378813,8.438061041292634,28.129032258064512,False,-5.6291,11.4552,6,6,6,100.0,16.75587969006048,30.592105263157897,5.666068222621187,2.333931777378813,历史6/6次成功; 当前距低点2.33%; 最新日涨幅-5.63%; 状态confirmed_rebound; 底部未确认
8,80.48431617404981,78.13723561990452,600353,旭光电子,bottom_area,2025-10-23,15.82,2025-10-23,15.44,2.461139896373062,6.735751295336794,27.81673679289388,False,-4.4109,5.2212,3,3,3,100.0,24.239970879758562,41.11111111111111,5.538860103626938,2.461139896373062,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
9,78.00154232068297,79.4498881527107,688036,传音控股,bottom_area,2025-10-23,77.5,2025-10-23,73.84,4.9566630552546,5.065005417118086,29.609151572926596,False,3.1134,0.8871,4,4,4,100.0,12.5326877348988,19.148936170212753,3.0433369447454006,4.9566630552546,历史4/4次成功; 当前距低点4.96%; 最新日涨幅3.11%; 状态bottom_area; 底部未确认
10,77.19929329049536,75.01374012832851,300141,和顺电气,bottom_area,2025-10-23,11.45,2025-10-23,11.17,2.5067144136078725,2.9543419874664285,27.935483870967744,False,-0.5213,7.5563,1,1,1,100.0,31.123919308357333,31.123919308357333,5.493285586392128,2.5067144136078725,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
11,76.63795484113633,74.33256795105999,301190,善水科技,bottom_area,2025-10-23,22.08,2025-10-23,21.56,2.4118738404452675,3.3858998144712453,27.91708458709462,False,-0.8977,3.1649,1,1,1,100.0,26.299141436963403,26.299141436963403,5.588126159554732,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
12,76.02086811105691,74.08366420561556,605488,福莱新材,bottom_area,2025-10-23,30.9,2025-10-23,30.1,2.65780730897009,2.923588039867106,27.64423076923077,False,-0.675,1.5344,1,1,1,100.0,27.975617581007374,27.975617581007374,5.3421926910299105,2.65780730897009,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
13,74.31787810396281,72.48972541200796,002123,梦网科技,bottom_area,2025-10-23,12.53,2025-10-17,12.2,2.704918032786886,2.8688524590164053,29.68299711815563,False,0.6426,1.828,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.295081967213114,2.704918032786886,历史2/3次成功; 当前距低点2.70%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
14,73.73507229752845,70.40202936157004,002617,露笑科技,bottom_area,2025-10-23,8.28,2025-10-23,8.15,1.595092024539865,2.208588957055211,30.341880341880334,False,-0.9569,3.1954,4,6,4,66.66666666666666,17.377271563732705,36.60589060308556,6.404907975460135,1.595092024539865,历史4/6次成功; 当前距低点1.60%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
15,73.58458492825174,74.22562441180825,002674,兴业科技,bottom_area,2025-10-23,14.08,2025-10-20,13.48,4.451038575667654,6.824925816023739,27.52688172043011,False,-0.7752,1.0854,2,2,2,100.0,34.05372238887374,36.52849740932641,3.548961424332347,4.451038575667654,历史2/2次成功; 当前距低点4.45%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
16,73.46071073116225,69.95030368220934,301498,乖宝宠物,confirmed_rebound,2025-10-23,73.25,2025-10-23,72.2,1.4542936288088604,12.742382271468147,28.90201870999507,False,-14.4176,6.1275,1,1,1,100.0,11.430608365019017,11.430608365019017,6.54570637119114,1.4542936288088604,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-14.42%; 状态confirmed_rebound; 底部未确认
17,69.00768786684918,68.81536544812951,300459,汤姆猫,bottom_area,2025-10-23,4.58,2025-10-17,4.41,3.8548752834467104,4.081632653061218,29.326923076923077,False,1.1038,1.8633,4,6,4,66.66666666666666,14.074271116781395,19.047619047619044,4.14512471655329,3.8548752834467104,历史4/6次成功; 当前距低点3.85%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
