rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.54545063701435,90.74848908386339,300474,景嘉微,bottom_area,2024-04-11,65.91,2024-04-11,65.05,1.3220599538816287,3.7202152190622626,30.2711973416229,False,0.9651,2.9596,5,5,5,100.0,28.72465472426617,59.857142857142854,6.677940046118372,1.3220599538816287,历史5/5次成功; 当前距低点1.32%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,89.10977536235391,86.15586015697203,002309,中利集团,bottom_area,2024-04-11,1.82,2024-04-11,1.78,2.247191011235957,5.056179775280904,28.799999999999997,False,0.0,0.9821,5,5,5,100.0,15.373417540806452,30.136986301369873,5.752808988764043,2.247191011235957,历史5/5次成功; 当前距低点2.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,88.33542158152335,86.10859969192528,688327,云从科技,bottom_area,2024-04-11,11.91,2024-04-10,11.6,2.6724137931034524,6.2931034482758665,30.162552679108973,False,1.6212,2.3019,7,7,7,100.0,20.331737312909354,53.56783919597991,5.327586206896548,2.6724137931034524,历史7/7次成功; 当前距低点2.67%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
4,87.84972196261684,83.23125000000002,300580,贝斯特,bottom_area,2024-04-11,24.61,2024-04-09,24.32,1.1924342105263122,7.565789473684211,28.153618906942395,True,-1.678,1.6814,1,1,1,100.0,53.89266817838245,53.89266817838245,6.807565789473688,1.1924342105263122,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
5,86.22614749937006,82.96296918302785,688316,青云科技,bottom_area,2024-04-11,34.78,2024-04-11,34.1,1.994134897360703,3.988269794721406,28.301093355761143,False,0.5202,1.3665,3,3,3,100.0,11.77202553231324,13.030303030303022,6.005865102639298,1.994134897360703,历史3/3次成功; 当前距低点1.99%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
6,85.21913815896103,78.9066094064454,688167,炬光科技,bottom_area,2024-04-11,73.71,2024-04-11,73.71,0.0,2.631935965269315,27.012575502525003,False,-1.2989,1.933,4,4,4,100.0,23.422631217448355,39.13715105373497,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,82.28206001665247,79.74185650105991,603178,圣龙股份,bottom_area,2024-04-11,27.65,2024-04-11,27.01,2.369492780451673,3.6282858200666306,30.743589743589737,False,0.7286,2.6269,4,5,4,80.0,25.72204322843939,44.66270354096666,5.630507219548327,2.369492780451673,历史4/5次成功; 当前距低点2.37%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
8,81.6108968258427,81.71696013693489,688039,当虹科技,bottom_area,2024-04-11,27.12,2024-04-10,26.06,4.067536454336156,6.98388334612433,29.529475392103837,False,2.1854,3.0411,5,5,5,100.0,13.822275552802699,17.31207289293849,3.9324635456638446,4.067536454336156,历史5/5次成功; 当前距低点4.07%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
9,81.59570396898323,78.6788302617195,603106,恒银科技,bottom_area,2024-04-11,5.33,2024-04-11,5.22,2.1072796934865963,3.8314176245210767,29.268292682926834,False,0.7561,1.8575,3,4,3,75.0,27.625956789617884,34.60144927536232,5.892720306513404,2.1072796934865963,历史3/4次成功; 当前距低点2.11%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
10,81.48236431656234,78.90017671498116,300375,鹏翎股份,bottom_area,2024-04-11,4.4,2024-04-11,4.3,2.32558139534885,5.116279069767436,28.33333333333334,False,0.0,5.2469,2,2,2,100.0,10.658614496647974,11.74785100286532,5.674418604651151,2.32558139534885,历史2/2次成功; 当前距低点2.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,80.8986170810203,80.25177570093457,002611,东方精工,bottom_area,2024-04-11,6.65,2024-04-11,6.42,3.5825545171339632,5.451713395638624,30.818965517241377,False,1.682,7.0818,1,1,1,100.0,145.12534818941506,145.12534818941506,4.417445482866037,3.5825545171339632,历史1/1次成功; 当前距低点3.58%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
12,80.79151114723918,80.43402658464076,002657,中科金财,bottom_area,2024-04-11,14.04,2024-04-10,13.53,3.769401330376939,4.951958610495195,29.08805031446541,False,2.5566,3.144,2,2,2,100.0,36.60355708548481,56.540447504302946,4.2305986696230615,3.769401330376939,历史2/2次成功; 当前距低点3.77%; 最新日涨幅2.56%; 状态bottom_area; 底部未确认
13,80.5267440938955,75.99674220556385,002676,顺威股份,bottom_area,2024-04-11,4.08,2024-04-10,4.04,0.990099009900991,4.207920792079206,27.72808586762075,False,-1.2107,2.8304,3,3,3,100.0,24.323483592140306,39.33333333333333,7.009900990099009,0.990099009900991,历史3/3次成功; 当前距低点0.99%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
14,79.20224031981633,76.53998014099895,603188,亚邦股份,bottom_area,2024-04-11,2.76,2024-04-11,2.7,2.2222222222222077,6.296296296296293,27.419354838709676,False,-1.0753,2.6692,2,2,2,100.0,19.175520471320297,26.005361930294914,5.777777777777793,2.2222222222222077,历史2/2次成功; 当前距低点2.22%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
15,78.32402180819702,78.65856964872833,300637,扬帆新材,confirmed_rebound,2024-04-11,7.9,2024-04-10,7.58,4.221635883905018,11.873350923482855,31.402714932126703,True,1.4121,7.2004,3,3,3,100.0,16.95644873135362,31.810193321616865,3.7783641160949824,4.221635883905018,历史3/3次成功; 当前距低点4.22%; 最新日涨幅1.41%; 状态confirmed_rebound; 底部已确认
16,77.92653419680103,72.15419833037132,002796,世嘉科技,confirmed_rebound,2024-04-11,11.39,2024-04-11,11.39,0.0,22.300263388937655,32.24271267102914,False,-10.0316,33.4488,3,3,3,100.0,24.21612005575977,36.33841886269071,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态confirmed_rebound; 底部未确认
17,77.68167193656127,74.56515289318884,600234,科新发展,confirmed_rebound,2024-04-11,4.9,2024-04-10,4.81,1.8711018711018867,9.35550935550936,29.781021897810223,False,-0.4065,3.1216,2,2,2,100.0,14.469167523124357,16.366906474820148,6.128898128898114,1.8711018711018867,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-0.41%; 状态confirmed_rebound; 底部未确认
18,76.09842336897542,71.17608101551333,300548,长芯博创,bottom_area,2024-04-11,23.02,2024-04-10,22.9,0.5240174672489127,4.803493449781666,31.641791044776124,False,-0.3032,4.8128,1,1,1,100.0,26.026026026026024,26.026026026026024,7.475982532751088,0.5240174672489127,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
19,74.61249336253802,70.16497543106118,688220,翱捷科技,bottom_area,2024-04-11,37.56,2024-04-09,37.26,0.8051529790660341,5.475040257648951,31.254612546125472,False,-1.1839,1.1121,3,4,3,75.0,28.20281840500936,45.103092783505154,7.194847020933966,0.8051529790660341,历史3/4次成功; 当前距低点0.81%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
20,74.27676528004415,72.1691075568335,002821,凯莱英,confirmed_rebound,2024-04-11,79.44,2024-04-09,77.5,2.50322580645161,8.993548387096773,28.39985218033998,True,-2.1675,1.8361,1,1,1,100.0,16.80893761044718,16.80893761044718,5.49677419354839,2.50322580645161,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-2.17%; 状态confirmed_rebound; 底部已确认
21,73.84598327906848,69.41568236365978,301486,致尚科技,bottom_area,2024-04-11,42.43,2024-04-11,42.1,0.7838479809976207,5.938242280285035,30.18242122719734,False,-3.3265,18.181,2,2,2,100.0,13.294923442657824,17.19539300868862,7.216152019002379,0.7838479809976207,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
22,73.62849040354963,73.09942340663788,002708,光洋股份,confirmed_rebound,2024-04-11,8.29,2024-04-10,8.0,3.6249999999999893,12.250000000000005,27.20655141037307,False,-5.5809,7.3546,3,3,3,100.0,21.636684981923988,35.522388059701484,4.375000000000011,3.6249999999999893,历史3/3次成功; 当前距低点3.62%; 最新日涨幅-5.58%; 状态confirmed_rebound; 底部未确认
23,73.45754648856462,74.80383938107683,300426,华智数媒,bottom_area,2024-04-11,8.49,2024-04-11,8.09,4.944375772558719,6.922126081582207,28.407079646017703,False,3.4105,2.3712,2,2,2,100.0,20.736645927476964,25.936811168258643,3.055624227441281,4.944375772558719,历史2/2次成功; 当前距低点4.94%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
24,72.65388191975381,71.0376132871651,688131,皓元医药,confirmed_rebound,2024-04-11,32.7,2024-04-09,31.8,2.8301886792452895,8.144654088050315,27.727272727272727,True,-1.6245,1.5757,3,4,3,75.0,18.900233741098727,35.228598705844924,5.169811320754711,2.8301886792452895,历史3/4次成功; 当前距低点2.83%; 最新日涨幅-1.62%; 状态confirmed_rebound; 底部已确认
25,71.50049945363361,67.32189883621345,002229,鸿博股份,bottom_area,2024-04-11,22.04,2024-04-11,21.85,0.869565217391294,4.2105263157894655,30.634920634920633,False,-1.2987,8.674,1,1,1,100.0,9.540363074546153,9.540363074546153,7.130434782608706,0.869565217391294,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
26,70.82533403610414,67.86272476156692,000002,万科A,bottom_area,2024-04-11,7.44,2024-04-11,7.31,1.7783857729138275,2.7359781121751054,28.333333333333332,False,-1.847,1.802,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,6.221614227086173,1.7783857729138275,历史2/3次成功; 当前距低点1.78%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
