rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.56644446404327,78.55671531386066,688303,大全能源,bottom_area,2023-12-01,30.47,2023-12-01,30.15,1.0613598673300175,2.05638474295191,28.92503536067893,False,-1.0393,1.0991,1,1,1,100.0,32.45492371705965,32.45492371705965,13.938640132669983,1.0613598673300175,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
2,84.28042488512122,74.510467058176,600048,保利发展,bottom_area,2023-12-01,10.25,2023-12-01,10.16,0.885826771653542,1.4763779527559089,31.766286098052387,False,-0.0975,0.4742,2,2,2,100.0,31.721247836269217,31.987577639751546,14.114173228346457,0.885826771653542,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
3,79.8565800318122,69.93919194448914,688282,理工导航,bottom_area,2023-12-01,39.33,2023-12-01,39.18,0.3828483920367498,2.194997447677385,29.379956741167984,False,-2.2614,7.418,1,1,1,100.0,17.645625152327572,17.645625152327572,14.61715160796325,0.3828483920367498,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
4,79.74394410612352,75.17131134243614,300637,扬帆新材,bottom_area,2023-12-01,10.85,2023-11-30,10.4,4.3269230769230695,5.288461538461528,27.221833449965004,False,2.4551,7.3254,1,1,1,100.0,31.810193321616865,31.810193321616865,10.67307692307693,4.3269230769230695,历史1/1次成功; 当前距低点4.33%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
5,78.11167835293278,71.18508994415139,000928,中钢国际,bottom_area,2023-12-01,6.12,2023-10-23,5.97,2.5125628140703578,7.705192629815745,31.06235565819862,True,1.3245,1.6605,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,12.487437185929643,2.5125628140703578,历史2/3次成功; 当前距低点2.51%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
6,77.02702901705803,72.13134751773049,002137,实益达,bottom_area,2023-12-01,7.33,2023-11-30,7.05,3.9716312056737624,4.539007092198586,27.31958762886598,False,2.2315,14.3112,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,11.028368794326237,3.9716312056737624,历史2/3次成功; 当前距低点3.97%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
7,75.10163090710596,71.35871384221157,300683,海特生物,bottom_area,2023-12-01,38.13,2023-11-27,36.4,4.752747252747263,5.41208791208791,29.51200619674671,False,0.8197,1.6983,1,1,1,100.0,16.532137518684582,16.532137518684582,10.247252747252736,4.752747252747263,历史1/1次成功; 当前距低点4.75%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
8,73.9102994079314,70.03814638113309,000966,长源电力,bottom_area,2023-12-01,4.54,2023-10-24,4.34,4.60829493087558,9.907834101382482,27.424749163879607,True,-0.2198,0.608,1,1,1,100.0,20.94117647058823,20.94117647058823,10.391705069124418,4.60829493087558,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
9,71.34403075136896,64.2104022287318,300337,银邦股份,bottom_area,2023-12-01,8.29,2023-11-30,8.14,1.842751842751825,3.8083538083537927,32.11009174311926,False,0.3632,2.9234,1,2,1,50.0,34.09610983981694,34.09610983981694,13.157248157248175,1.842751842751825,历史1/2次成功; 当前距低点1.84%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
10,70.97440798625188,64.3456661082906,002331,皖通科技,bottom_area,2023-12-01,9.61,2023-12-01,9.4,2.2340425531914794,6.063829787234045,30.111524163568763,False,-3.0272,25.4076,2,3,2,66.66666666666666,19.530196037099497,21.247892074199,12.765957446808521,2.2340425531914794,历史2/3次成功; 当前距低点2.23%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
11,67.40165307805408,62.621591258039984,600328,中盐化工,bottom_area,2023-12-01,7.88,2023-10-26,7.61,3.547963206307484,8.147174770039422,28.207547169811313,True,0.5102,0.6061,1,2,1,50.0,37.26315789473683,37.26315789473683,11.452036793692516,3.547963206307484,历史1/2次成功; 当前距低点3.55%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
12,58.19067661766249,55.05841631918895,605086,龙高股份,bottom_area,2023-12-01,27.94,2023-11-30,26.73,4.526748971193419,5.2375607931163435,32.889781571679634,False,2.0453,9.387,1,2,1,50.0,17.79249448123621,17.79249448123621,10.473251028806581,4.526748971193419,历史1/2次成功; 当前距低点4.53%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
