rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14627036087886,81.27613193744713,603173,福斯达,bottom_area,2025-11-18,39.46,2025-11-18,38.71,1.937483854301214,4.055799535003875,29.477136090362542,False,1.2314,6.2744,1,1,1,100.0,35.34190927555856,35.34190927555856,13.062516145698785,1.937483854301214,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
2,89.5117616562095,79.59181887801098,688631,莱斯信息,bottom_area,2025-11-18,64.42,2025-11-18,63.66,1.193842287150495,2.6076028903550057,32.34137527898821,False,0.0311,2.4079,1,1,1,100.0,17.17085641244142,17.17085641244142,13.806157712849505,1.193842287150495,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
3,87.59137210488504,79.27097834676783,002790,瑞尔特,bottom_area,2025-11-18,9.07,2025-11-12,8.88,2.1396396396396336,5.40540540540539,32.829046898638424,False,-2.9947,6.0079,1,1,1,100.0,49.512670565302145,49.512670565302145,12.860360360360366,2.1396396396396336,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
4,86.38922992572687,75.58059094433747,603809,豪能股份,bottom_area,2025-11-18,12.3,2025-11-18,12.26,0.32626427406199776,1.5497553017944496,27.88235294117647,False,-0.4854,1.1984,2,2,2,100.0,30.615448866660387,31.661442006269603,14.673735725938004,0.32626427406199776,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,83.72459406272735,73.3667183850799,603151,邦基科技,bottom_area,2025-11-18,19.5,2025-11-18,19.42,0.4119464469618862,2.214212152420184,27.99406748238783,False,-0.9146,1.7786,1,1,1,100.0,36.42987249544626,36.42987249544626,14.588053553038113,0.4119464469618862,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
6,80.92890498769113,72.20581205021925,002338,奥普光电,bottom_area,2025-11-18,50.82,2025-11-18,50.13,1.3764213046080145,2.533413125872723,28.742004264392314,False,0.4348,1.5035,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,13.623578695391986,1.3764213046080145,历史2/3次成功; 当前距低点1.38%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,79.91409080325691,72.86523657925996,002123,梦网科技,bottom_area,2025-11-18,12.11,2025-11-13,11.81,2.5402201524132,3.217612193056723,31.93083573487032,False,0.2483,1.8432,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,12.4597798475868,2.5402201524132,历史2/3次成功; 当前距低点2.54%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
8,74.06054152706754,65.54572327044026,600094,大名城,bottom_area,2025-11-18,4.28,2025-11-18,4.24,0.9433962264150951,6.603773584905645,28.378378378378372,False,-5.5188,2.9923,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,14.056603773584905,0.9433962264150951,历史2/3次成功; 当前距低点0.94%; 最新日涨幅-5.52%; 状态bottom_area; 底部未确认
9,70.35142235391075,64.44507804077882,002062,宏润建设,bottom_area,2025-11-18,9.58,2025-11-18,9.32,2.7896995708154484,7.081545064377684,27.751937984496124,False,-4.1041,3.3026,2,3,2,66.66666666666666,26.875948363286994,33.22683706070288,12.210300429184551,2.7896995708154484,历史2/3次成功; 当前距低点2.79%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
10,70.05513712388814,63.15976024937735,300563,神宇股份,bottom_area,2025-11-18,37.39,2025-10-23,36.68,1.9356597600872434,6.27044711014176,28.776699029126213,False,-1.6053,2.9952,2,4,2,50.0,18.72615323858206,20.477137176938378,13.064340239912756,1.9356597600872434,历史2/4次成功; 当前距低点1.94%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
11,69.38333000749222,61.439376400501544,300669,沪宁股份,bottom_area,2025-11-18,28.04,2025-11-17,27.77,0.9722722362261418,4.321209938782856,28.758337609030267,False,-0.5674,1.076,2,3,2,66.66666666666666,18.061776518443477,19.86588432523052,14.027727763773857,0.9722722362261418,历史2/3次成功; 当前距低点0.97%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
12,66.68866550208861,59.229701257861635,600292,电投水电,bottom_area,2025-11-18,13.4,2025-11-18,13.25,1.1320754716981158,3.471698113207554,28.571428571428577,False,-2.4035,2.918,1,3,1,33.33333333333333,40.524193548387096,40.524193548387096,13.867924528301884,1.1320754716981158,历史1/3次成功; 当前距低点1.13%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
13,63.7487373837343,55.97470277719674,300611,美力科技,bottom_area,2025-11-18,27.08,2025-11-18,26.94,0.5196733481811322,3.155159613956933,27.832842218055177,False,-2.66,4.3347,1,2,1,50.0,35.911602209944746,35.911602209944746,14.480326651818867,0.5196733481811322,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
14,63.0244489551628,56.126543877750215,002468,申通快递,bottom_area,2025-11-18,14.28,2025-11-18,14.1,1.2765957446808491,4.1843971631205665,29.745889387145,False,-5.8668,3.0205,1,2,1,50.0,16.382699868938413,16.382699868938413,13.72340425531915,1.2765957446808491,历史1/2次成功; 当前距低点1.28%; 最新日涨幅-5.87%; 状态bottom_area; 底部未确认
15,62.85662029471473,55.725472807991125,001209,洪兴股份,bottom_area,2025-11-18,21.47,2025-11-18,21.25,1.0352941176470536,3.858823529411766,31.118314424635336,False,-2.4091,8.1617,1,4,1,25.0,21.88679245283018,21.88679245283018,13.964705882352945,1.0352941176470536,历史1/4次成功; 当前距低点1.04%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
16,61.09064297826041,53.90814457357459,000661,长春高新,bottom_area,2025-11-18,102.6,2025-11-18,101.8,0.7858546168958714,0.8251473477406713,28.193552937857095,False,0.4307,1.123,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.21414538310413,0.7858546168958714,历史1/3次成功; 当前距低点0.79%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
17,59.736911460092344,52.46410904255322,002181,粤传媒,bottom_area,2025-11-18,9.45,2025-11-18,9.4,0.5319148936170099,2.8723404255319105,32.80914939242316,False,-1.8692,4.4922,1,2,1,50.0,17.187499999999993,17.187499999999993,14.468085106382988,0.5319148936170099,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
