rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.63757715513894,85.99493439031436,000715,中兴商业,bottom_area,2023-01-16,6.46,2023-01-13,6.39,1.095461658841945,3.7558685446009425,28.363228699551573,False,0.3106,4.2393,3,3,3,100.0,17.056919206849418,24.33862433862435,8.904538341158055,1.095461658841945,历史3/3次成功; 当前距低点1.10%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
2,87.75227261390349,82.3198303670116,002838,道恩股份,bottom_area,2023-01-16,17.29,2023-01-13,17.01,1.6460905349794095,2.057613168724267,32.17703349282296,False,1.3482,1.2192,2,2,2,100.0,20.71460638045511,24.95606326889279,8.35390946502059,1.6460905349794095,历史2/2次成功; 当前距低点1.65%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
3,84.4409549454617,81.46970681457715,000411,英特集团,bottom_area,2023-01-16,11.9,2023-01-05,11.54,3.119584055459283,3.812824956672455,31.675547661338076,False,2.2337,1.9938,2,2,2,100.0,34.206228285076975,47.98426745329401,6.880415944540717,3.119584055459283,历史2/2次成功; 当前距低点3.12%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
4,84.05196330686452,79.79616769639036,000650,仁和药业,bottom_area,2023-01-16,6.3,2023-01-12,6.16,2.2727272727272676,2.9220779220779174,27.444051825677267,False,0.9615,2.2583,2,2,2,100.0,14.827881065637138,17.19038817005545,7.727272727272733,2.2727272727272676,历史2/2次成功; 当前距低点2.27%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,82.44366392640458,76.33225256590637,002395,双象股份,bottom_area,2023-01-16,9.48,2023-01-13,9.39,0.9584664536741198,3.833865814696479,31.259150805270856,False,0.4237,1.1232,1,1,1,100.0,36.59976387249114,36.59976387249114,9.04153354632588,0.9584664536741198,历史1/1次成功; 当前距低点0.96%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
6,81.37051380585265,76.9796185936516,600158,中体产业,bottom_area,2023-01-16,8.31,2023-01-12,8.14,2.088452088452087,2.457002457002448,30.899830220713064,False,0.7273,1.5074,1,1,1,100.0,14.092953523238386,14.092953523238386,7.911547911547913,2.088452088452087,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,80.82835110732762,73.61141142388514,002095,生意宝,bottom_area,2023-01-16,21.44,2023-01-16,21.42,0.09337068160597373,1.9607843137254815,28.59999999999999,False,-1.107,4.9238,1,1,1,100.0,33.84030418250951,33.84030418250951,9.906629318394026,0.09337068160597373,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
8,80.22161620902303,76.15477118003028,000059,华锦股份,bottom_area,2023-01-16,6.76,2023-01-13,6.61,2.269288956127072,3.4795763993948494,27.995642701525046,False,1.3493,1.5508,1,1,1,100.0,11.874999999999996,11.874999999999996,7.730711043872929,2.269288956127072,历史1/1次成功; 当前距低点2.27%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
9,79.72030671234191,73.42719615112254,002186,全聚德,bottom_area,2023-01-16,16.16,2023-01-16,16.05,0.6853582554517098,4.4859813084112075,29.973821989528798,False,-4.038,13.5764,3,3,3,100.0,16.988241793292634,23.20675105485231,9.314641744548291,0.6853582554517098,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
10,77.8714541246005,74.69459178308504,603318,水发燃气,bottom_area,2023-01-16,8.77,2022-12-30,8.53,2.8135990621336484,6.916764361078545,30.819140308191407,False,0.5734,1.6295,1,1,1,100.0,10.696761530912658,10.696761530912658,7.1864009378663525,2.8135990621336484,历史1/1次成功; 当前距低点2.81%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
11,77.844974530923,77.4594298574245,000980,众泰汽车,confirmed_rebound,2023-01-16,4.42,2022-12-29,4.22,4.739336492891,10.4265402843602,30.247933884297524,True,0.0,1.1917,2,2,2,100.0,33.52213473772031,43.49775784753364,5.260663507109001,4.739336492891,历史2/2次成功; 当前距低点4.74%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
12,77.20630454686686,74.42165328169101,300485,赛升药业,bottom_area,2023-01-16,12.08,2023-01-12,11.72,3.0716723549488005,3.583617747440272,27.69895126465145,False,1.0033,2.6885,1,1,1,100.0,12.392829306313327,12.392829306313327,6.9283276450511995,3.0716723549488005,历史1/1次成功; 当前距低点3.07%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
13,75.17051468486724,73.80344216417909,000919,金陵药业,bottom_area,2023-01-16,7.99,2022-12-29,7.68,4.03645833333334,4.947916666666677,31.12107623318386,False,2.0434,2.2051,1,1,1,100.0,20.8955223880597,20.8955223880597,5.963541666666661,4.03645833333334,历史1/1次成功; 当前距低点4.04%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
14,69.10018442153414,64.28519751595653,300434,金石亚药,bottom_area,2023-01-16,12.55,2023-01-13,12.4,1.2096774193548416,3.3064516129032264,28.653624856156494,False,0.5609,3.2713,1,2,1,50.0,26.7379679144385,26.7379679144385,8.790322580645158,1.2096774193548416,历史1/2次成功; 当前距低点1.21%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
15,68.40649142372503,63.74033306981064,000419,通程控股,bottom_area,2023-01-16,6.27,2023-01-13,6.19,1.292407108239082,2.746365105008076,27.51756440281029,False,0.32,4.2642,1,2,1,50.0,24.82269503546099,24.82269503546099,8.707592891760918,1.292407108239082,历史1/2次成功; 当前距低点1.29%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
16,65.67659713053824,61.66816631975421,002349,精华制药,bottom_area,2023-01-16,12.0,2023-01-13,11.8,1.6949152542372818,2.6271186440677856,27.651747394236654,False,0.5868,1.9265,1,2,1,50.0,18.615984405458093,18.615984405458093,8.305084745762718,1.6949152542372818,历史1/2次成功; 当前距低点1.69%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
