rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.57835465788,81.13571070965472,000607,华媒控股,bottom_area,2025-07-24,4.83,2025-07-23,4.8,0.6250000000000052,7.2916666666666785,27.819548872180455,False,-0.4124,5.5543,4,4,4,100.0,30.810272632552305,59.82721382289418,7.374999999999996,0.6250000000000052,历史4/4次成功; 当前距低点0.63%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
2,85.47728318585472,80.58263428834071,002636,金安国纪,bottom_area,2025-07-24,11.88,2025-07-24,11.77,0.9345794392523468,2.1240441801189465,29.096385542168683,False,0.5076,3.6247,2,2,2,100.0,42.49180327868853,69.0,7.065420560747654,0.9345794392523468,历史2/2次成功; 当前距低点0.93%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
3,85.11967939568014,80.15692049216521,002658,雪迪龙,bottom_area,2025-07-24,8.05,2025-07-17,7.98,0.877192982456144,2.1303258145363397,30.36649214659686,False,0.625,3.3358,3,3,3,100.0,22.83290587185592,34.81481481481481,7.122807017543856,0.877192982456144,历史3/3次成功; 当前距低点0.88%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
4,82.49378152548158,76.86313331578565,603928,兴业股份,bottom_area,2025-07-24,15.42,2025-07-23,15.37,0.3253090435914165,1.1060507482107997,31.04531179901301,False,0.3253,1.9225,1,1,1,100.0,31.69267707082834,31.69267707082834,7.6746909564085835,0.3253090435914165,历史1/1次成功; 当前距低点0.33%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
5,82.2112815036934,76.99123089300079,603022,新通联,bottom_area,2025-07-24,10.23,2025-07-24,10.17,0.5899705014749312,0.6882989183874167,32.33532934131736,False,0.3925,2.0384,2,2,2,100.0,18.958944281524914,26.099706744868023,7.410029498525068,0.5899705014749312,历史2/2次成功; 当前距低点0.59%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
6,80.53987293569608,78.73066294571588,600241,时代万恒,bottom_area,2025-07-24,8.39,2025-07-15,8.16,2.8186274509803972,4.534313725490186,30.25641025641025,False,1.2063,1.984,2,2,2,100.0,15.79104050511391,22.50673854447439,5.181372549019603,2.8186274509803972,历史2/2次成功; 当前距低点2.82%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
7,79.13620594950784,74.22062509743344,300879,大叶股份,bottom_area,2025-07-24,33.23,2025-07-24,33.01,0.6664647076643407,1.787337170554388,28.503357158327923,False,0.1809,3.5204,1,1,1,100.0,21.667551779075957,21.667551779075957,7.333535292335659,0.6664647076643407,历史1/1次成功; 当前距低点0.67%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,76.30803788520119,76.12173612184372,002811,郑中设计,confirmed_rebound,2025-07-24,10.46,2025-06-23,10.07,3.872889771598814,9.632571996027794,31.728813559322035,True,0.4803,2.0504,2,2,2,100.0,15.709273124134537,16.78832116788322,4.127110228401186,3.872889771598814,历史2/2次成功; 当前距低点3.87%; 最新日涨幅0.48%; 状态confirmed_rebound; 底部已确认
9,75.39398929945479,75.66588562605435,000637,茂化实华,bottom_area,2025-07-24,4.23,2025-07-07,4.06,4.187192118226622,5.665024630541883,27.370304114490168,False,1.4388,3.4131,2,2,2,100.0,16.089697073177668,22.627737226277358,3.8128078817733786,4.187192118226622,历史2/2次成功; 当前距低点4.19%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
10,74.57408758007219,75.71910824128182,300640,德艺文创,bottom_area,2025-07-24,6.56,2025-06-23,6.26,4.792332268370604,7.348242811501597,27.880184331797235,True,1.0786,4.2033,2,2,2,100.0,14.600138780466654,17.724867724867735,3.207667731629396,4.792332268370604,历史2/2次成功; 当前距低点4.79%; 最新日涨幅1.08%; 状态bottom_area; 底部已确认
11,73.76098282608854,72.95925406214093,688157,松井股份,bottom_area,2025-07-24,30.14,2025-07-17,29.14,3.431708991077557,6.280027453671923,30.701545778834717,False,0.8364,0.7636,1,1,1,100.0,8.943820224719094,8.943820224719094,4.5682910089224436,3.431708991077557,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
12,71.56789074645467,72.40157831066037,000999,华润三九,bottom_area,2025-07-24,31.82,2025-07-15,30.42,4.602235371466136,5.0295857988165595,30.036798528058867,False,0.6962,0.6123,1,1,1,100.0,20.293951384963254,20.293951384963254,3.3977646285338636,4.602235371466136,历史1/1次成功; 当前距低点4.60%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
