rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
68,71.85950975239645,67.05106672063758,002366,融发核电,bottom_area,2023-10-23,5.02,2023-10-23,5.0,0.39999999999999153,3.5999999999999943,28.469241773962807,False,-3.0888,1.1986,3,4,3,75.0,16.710036132459983,25.0,7.6000000000000085,0.39999999999999153,历史3/4次成功; 当前距低点0.40%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
69,71.00473781902554,65.74512761020883,600078,澄星股份,bottom_area,2023-10-23,6.41,2023-10-23,6.41,0.0,5.61622464898595,29.714912280701743,False,-5.037,0.7117,1,1,1,100.0,12.877030162413009,12.877030162413009,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
70,70.50643756175748,66.23812543872354,301371,敷尔佳,bottom_area,2023-10-23,40.1,2023-10-23,39.8,0.7537688442211162,3.4924623115577904,27.252787424602452,False,-3.9521,5.3187,1,1,1,100.0,12.50923872875093,12.50923872875093,7.246231155778885,0.7537688442211162,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
71,70.0609592793345,65.86519780505371,000721,西安饮食,bottom_area,2023-10-23,10.21,2023-10-23,10.13,0.7897334649555782,5.5281342546890295,30.521262002743477,False,-3.6792,4.4189,3,4,3,75.0,15.111774758884062,20.485175202156327,7.210266535044423,0.7897334649555782,历史3/4次成功; 当前距低点0.79%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
72,69.47672774292218,65.41071680466963,000701,厦门信达,bottom_area,2023-10-23,5.83,2023-10-23,5.78,0.8650519031141838,3.979238754325251,27.4780426599749,False,-3.3167,2.0499,1,1,1,100.0,9.424920127795525,9.424920127795525,7.134948096885816,0.8650519031141838,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
73,67.40132948059838,63.04602408943333,000428,华天酒店,bottom_area,2023-10-23,3.81,2023-10-23,3.79,0.5277044854881272,3.43007915567282,32.32142857142857,False,-2.0566,1.1219,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,7.472295514511873,0.5277044854881272,历史2/3次成功; 当前距低点0.53%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
74,67.05945469644004,64.18505113654727,300378,鼎捷数智,bottom_area,2023-10-23,18.9,2023-10-23,18.58,1.7222820236813794,7.481162540365989,27.619789637709403,False,-11.8881,8.3573,2,3,2,66.66666666666666,12.393481096097632,14.878892733564003,6.2777179763186215,1.7222820236813794,历史2/3次成功; 当前距低点1.72%; 最新日涨幅-11.89%; 状态bottom_area; 底部未确认
75,62.79525330226293,59.02103082399221,002068,黑猫股份,bottom_area,2023-10-23,9.07,2023-10-23,9.0,0.777777777777781,4.33333333333334,27.594529364440866,False,-3.2017,1.1718,2,3,2,66.66666666666666,12.89084672397248,15.184678522571824,7.222222222222219,0.777777777777781,历史2/3次成功; 当前距低点0.78%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
76,60.200288202765186,56.914231069458246,002312,川发龙蟒,bottom_area,2023-10-23,6.54,2023-10-23,6.47,1.0819165378670832,4.17310664605874,27.13963963963965,False,-3.1111,0.8256,1,2,1,50.0,18.231186966640802,18.231186966640802,6.918083462132916,1.0819165378670832,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
77,51.38810975641873,48.39833320364174,300654,世纪天鸿,bottom_area,2023-10-23,9.13,2023-10-23,9.05,0.8839779005524869,7.40331491712707,30.544896392939364,False,-5.6818,4.0017,1,2,1,50.0,9.859154929577468,9.859154929577468,7.116022099447513,0.8839779005524869,历史1/2次成功; 当前距低点0.88%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
