rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.48332181099829,80.47476162821332,603088,宁波精达,bottom_area,2024-12-19,9.76,2024-12-19,9.7,0.618556701030933,3.7113402061855796,28.307464892830748,False,-2.4,5.9452,4,4,4,100.0,27.17780057292387,46.15384615384614,9.381443298969067,0.618556701030933,历史4/4次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
2,86.58998095965512,81.2018226352594,002681,奋达科技,bottom_area,2024-12-19,7.49,2024-12-19,7.37,1.628222523744913,8.276797829036639,29.74261201143947,False,-4.2199,14.925,3,3,3,100.0,30.506290265579576,46.084337349397586,8.371777476255089,1.628222523744913,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
3,85.5747546856563,77.79523153241482,002862,实丰文化,bottom_area,2024-12-19,31.64,2024-12-19,31.64,0.0,7.996207332490522,28.09090909090909,False,-10.0114,14.9279,5,5,5,100.0,27.66253512050972,45.40647719762062,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
4,83.50801859481906,77.70364958934958,002530,金财互联,bottom_area,2024-12-19,9.96,2024-12-19,9.84,1.2195121951219614,4.065040650406507,30.06396588486141,False,-1.1905,12.3567,3,4,3,75.0,33.97385695821315,54.814814814814795,8.78048780487804,1.2195121951219614,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
5,81.35313357849962,73.95739416227238,000525,红太阳,bottom_area,2024-12-19,7.39,2024-12-19,7.39,0.0,0.0,29.4173829990449,False,-5.0129,0.0527,3,3,3,100.0,23.695667539098807,34.22131147540984,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
6,80.09313305062363,76.61659948995239,000816,智慧农业,confirmed_rebound,2024-12-19,3.46,2024-12-19,3.37,2.6706231454005893,14.836795252225517,29.79166666666666,False,-6.7385,16.987,3,3,3,100.0,28.847420760568387,48.23943661971832,7.329376854599412,2.6706231454005893,历史3/3次成功; 当前距低点2.67%; 最新日涨幅-6.74%; 状态confirmed_rebound; 底部未确认
7,80.01270022635059,75.08884175088284,605337,李子园,bottom_area,2024-12-19,12.2,2024-12-19,12.0,1.6666666666666607,4.583333333333339,28.01439712057589,False,-2.0867,3.6221,3,4,3,75.0,25.39699866066034,37.98882681564246,8.33333333333334,1.6666666666666607,历史3/4次成功; 当前距低点1.67%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
8,78.81969116542794,75.58942224326523,688227,品高股份,bottom_area,2024-12-19,26.77,2024-12-19,26.04,2.8033794162826435,4.6850998463901785,28.657534246575345,False,-1.5447,3.9235,2,2,2,100.0,21.188856518224053,31.412429378531087,7.196620583717357,2.8033794162826435,历史2/2次成功; 当前距低点2.80%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
9,78.65740377659883,76.97091294938967,603078,江化微,bottom_area,2024-12-19,17.48,2024-12-18,16.83,3.8621509209744636,4.1592394533571175,27.799227799227804,False,1.1574,3.2452,2,2,2,100.0,19.12159703877122,24.563540397888758,6.137849079025537,3.8621509209744636,历史2/2次成功; 当前距低点3.86%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
10,77.13877788594857,72.63821057892169,688196,卓越新能,bottom_area,2024-12-19,35.33,2024-12-19,34.69,1.8449120784087651,4.554626693571651,27.517760133723364,False,-1.2853,1.553,3,4,3,75.0,14.406506009105732,19.41979522184301,8.155087921591235,1.8449120784087651,历史3/4次成功; 当前距低点1.84%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
11,77.05496530782492,70.049968461659,002403,爱仕达,bottom_area,2024-12-19,17.78,2024-12-19,17.78,0.0,5.174353205849258,27.280163599181996,False,-9.9747,19.0989,5,6,5,83.33333333333334,22.132446926482093,52.542372881355924,10.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
12,76.65445260084817,70.59340286031599,603356,华菱精工,bottom_area,2024-12-19,14.85,2024-12-19,14.75,0.6779661016949128,4.949152542372884,28.94990366088632,False,-4.317,11.5244,3,4,3,75.0,39.16218049559353,53.658536585365866,9.322033898305088,0.6779661016949128,历史3/4次成功; 当前距低点0.68%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
13,73.32816901579076,68.26654553049292,000716,黑芝麻,bottom_area,2024-12-19,7.31,2024-12-19,7.22,1.2465373961218817,7.894736842105267,27.217741935483875,False,-6.9975,13.3997,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,8.75346260387812,1.2465373961218817,历史2/3次成功; 当前距低点1.25%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
14,72.7528186684784,72.14343272448413,002148,北纬科技,bottom_area,2024-12-19,7.34,2024-12-19,7.02,4.558404558404563,7.407407407407414,27.47933884297521,False,-5.8974,30.8193,3,3,3,100.0,17.72362966476626,19.756097560975626,5.441595441595438,4.558404558404563,历史3/3次成功; 当前距低点4.56%; 最新日涨幅-5.90%; 状态bottom_area; 底部未确认
15,72.48650131778841,71.47929309687785,603116,红蜻蜓,bottom_area,2024-12-19,6.6,2024-12-18,6.33,4.265402843601889,6.477093206951029,30.36303630363036,False,-1.6393,2.906,2,2,2,100.0,17.012965485430936,23.86831275720163,5.734597156398112,4.265402843601889,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
16,71.91558188529109,68.95315024512995,000892,欢瑞世纪,bottom_area,2024-12-19,4.05,2024-12-19,3.94,2.7918781725888295,7.360406091370571,27.17190388170056,False,-6.25,10.7543,1,1,1,100.0,12.250712250712256,12.250712250712256,7.208121827411171,2.7918781725888295,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-6.25%; 状态bottom_area; 底部未确认
17,70.89599731764298,70.45220390720391,002775,文科股份,bottom_area,2024-12-19,3.81,2024-12-18,3.64,4.670329670329668,4.945054945054937,27.34530938123752,False,1.8717,3.6113,1,1,1,100.0,10.648148148148147,10.648148148148147,5.329670329670333,4.670329670329668,历史1/1次成功; 当前距低点4.67%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
18,69.61105762842844,65.73268653565243,600382,广东明珠,bottom_area,2024-12-19,4.61,2024-12-19,4.52,1.9911504424778927,1.9911504424778927,27.680000000000003,False,-0.2165,1.2412,2,3,2,66.66666666666666,13.794854181910498,17.365269461077848,8.008849557522108,1.9911504424778927,历史2/3次成功; 当前距低点1.99%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
19,69.16245447698185,67.8403267041533,300703,创源股份,bottom_area,2024-12-19,15.65,2024-12-19,15.05,3.986710963455147,5.3156146179401915,30.0,False,-3.5736,12.8734,1,1,1,100.0,20.914127423822727,20.914127423822727,6.013289036544854,3.986710963455147,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
20,68.55957209774905,65.47582565402185,300497,富祥股份,bottom_area,2024-12-19,9.13,2024-12-19,8.9,2.584269662921353,2.696629213483148,31.274131274131268,False,-0.3275,1.7498,2,3,2,66.66666666666666,19.68437536997772,24.094025465230157,7.415730337078648,2.584269662921353,历史2/3次成功; 当前距低点2.58%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
21,67.45014906247896,66.1065205950989,000813,德展健康,confirmed_rebound,2024-12-19,3.69,2024-12-19,3.55,3.9436619718309895,11.549295774647891,30.118110236220474,False,-5.6266,9.8529,3,4,3,75.0,25.446612316524458,39.9103139013453,6.0563380281690105,3.9436619718309895,历史3/4次成功; 当前距低点3.94%; 最新日涨幅-5.63%; 状态confirmed_rebound; 底部未确认
22,66.67389940390767,65.2522033531956,000721,西安饮食,bottom_area,2024-12-19,10.74,2024-12-19,10.34,3.8684719535783403,6.673114119922626,27.183098591549292,False,-3.6771,16.348,5,7,5,71.42857142857143,17.45486624537592,20.485175202156327,6.131528046421661,3.8684719535783403,历史5/7次成功; 当前距低点3.87%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
23,64.96620132060919,59.641102851706805,002031,巨轮智能,bottom_area,2024-12-19,5.88,2024-12-19,5.85,0.5128205128205171,5.470085470085475,31.1764705882353,False,-5.7692,20.2257,2,3,2,66.66666666666666,12.976704055220017,15.789473684210522,9.487179487179484,0.5128205128205171,历史2/3次成功; 当前距低点0.51%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
