rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.07431020092336,83.62125396078729,000811,冰轮环境,bottom_area,2025-06-18,8.91,2025-06-17,8.8,1.2499999999999936,2.045454545454542,31.7300232738557,False,0.7919,1.5251,4,5,4,80.0,32.856204090254195,47.451868629671566,18.750000000000007,1.2499999999999936,历史4/5次成功; 当前距低点1.25%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
2,97.52858132280132,84.12526315789475,605005,合兴股份,bottom_area,2025-06-18,18.39,2025-06-18,18.05,1.88365650969529,1.9944598337950106,32.168357760240504,False,0.7119,1.0342,1,1,1,100.0,96.96521095484826,96.96521095484826,18.11634349030471,1.88365650969529,历史1/1次成功; 当前距低点1.88%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
3,93.18543267719143,82.09965945178139,603198,迎驾贡酒,bottom_area,2025-06-18,38.94,2025-06-16,37.79,3.0431331039957623,6.774278909764495,29.78446674098848,False,0.4644,1.1829,2,2,2,100.0,36.655929725224325,39.66017405719024,16.95686689600424,3.0431331039957623,历史2/2次成功; 当前距低点3.04%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
4,90.67616062689908,76.0430177514793,001230,劲旅环境,bottom_area,2025-06-18,20.35,2025-06-18,20.28,0.3451676528599619,2.514792899408274,27.85485592315901,False,-2.3981,5.8654,1,1,1,100.0,84.69119579500656,84.69119579500656,19.65483234714004,0.3451676528599619,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
5,87.99284332688585,78.09545454545453,301058,中粮科工,bottom_area,2025-06-18,10.81,2025-04-30,10.45,3.4449760765550357,10.430622009569378,29.77150537634409,True,-1.9946,1.7685,1,1,1,100.0,57.794273594909875,57.794273594909875,16.555023923444967,3.4449760765550357,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
6,87.8451601620367,74.55478991596637,301260,格力博,bottom_area,2025-06-18,19.23,2025-06-16,19.04,0.9978991596638722,3.046218487394968,27.272727272727277,False,-0.6715,2.2107,1,1,1,100.0,58.71313672922254,58.71313672922254,19.002100840336126,0.9978991596638722,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
7,87.68117419505467,75.69597772234937,600770,综艺股份,bottom_area,2025-06-18,5.28,2025-06-13,5.18,1.9305019305019409,4.247104247104259,31.390728476821195,False,-0.7519,1.5062,1,1,1,100.0,27.72861356932153,27.72861356932153,18.06949806949806,1.9305019305019409,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
8,86.01390352004942,72.5577406994282,002909,集泰股份,bottom_area,2025-06-18,6.05,2025-06-18,6.01,0.6655574043261238,2.1630615640598987,28.195937873357224,False,-1.3051,2.8972,1,1,1,100.0,35.18930957683742,35.18930957683742,19.334442595673877,0.6655574043261238,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
9,85.66451750611022,71.81832146768895,603577,汇金通,bottom_area,2025-06-18,9.16,2025-06-18,9.13,0.32858707557502037,1.7524644030667946,29.00466562986002,False,-1.2931,2.7881,1,1,1,100.0,27.083333333333325,27.083333333333325,19.67141292442498,0.32858707557502037,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
10,85.30017739130435,71.08348115942029,000605,渤海股份,bottom_area,2025-06-18,6.81,2025-06-18,6.81,0.0,2.0558002936857647,27.553191489361712,False,-2.0144,2.1518,3,4,3,75.0,35.52946859903381,56.66666666666668,20.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
11,83.71640863162295,71.4531243866858,300346,南大光电,bottom_area,2025-06-18,30.24,2025-06-13,29.85,1.3065326633165728,3.1825795644891097,27.513355998057303,False,-0.2967,1.1912,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,18.69346733668343,1.3065326633165728,历史2/3次成功; 当前距低点1.31%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
12,83.65465648605822,70.61331168329627,605377,华旺科技,bottom_area,2025-06-18,8.62,2025-06-18,8.56,0.7009345794392373,1.1682242990654164,29.13907284768212,False,-0.2315,0.701,1,1,1,100.0,25.16904583020285,25.16904583020285,19.299065420560762,0.7009345794392373,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
13,82.82960994912379,69.02467495760317,000999,华润三九,bottom_area,2025-06-18,31.02,2025-06-18,31.02,0.0,0.7736943907156737,28.65685372585096,False,-0.5769,0.4634,1,1,1,100.0,20.293951384963254,20.293951384963254,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
14,82.66217934921866,70.06911296398613,688448,磁谷科技,bottom_area,2025-06-18,28.21,2025-06-18,27.95,0.9302325581395404,2.50447227191413,29.042904290429046,False,-0.2475,1.54,1,1,1,100.0,25.053995680345576,25.053995680345576,19.06976744186046,0.9302325581395404,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
15,80.86020718482494,71.09928207354154,688188,柏楚电子,bottom_area,2025-06-18,140.67,2025-06-11,136.66,2.934289477535483,4.200204888043326,31.8675840063815,False,0.9328,0.2473,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,17.065710522464517,2.934289477535483,历史2/3次成功; 当前距低点2.93%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
16,79.11120181965335,71.46454502676836,688682,霍莱沃,bottom_area,2025-06-18,28.86,2025-06-13,27.64,4.413892908827782,9.11722141823444,32.25490196078431,True,-0.0346,2.3914,1,1,1,100.0,26.22699386503069,26.22699386503069,15.586107091172218,4.413892908827782,历史1/1次成功; 当前距低点4.41%; 最新日涨幅-0.03%; 状态bottom_area; 底部已确认
17,78.8846330495185,68.33596918111178,300697,电工合金,bottom_area,2025-06-18,11.57,2025-06-18,11.33,2.11827007943513,2.9126213592233015,28.38179519595449,False,0.0,2.1005,2,4,2,50.0,26.320564313031607,31.64400494437578,17.881729920564872,2.11827007943513,历史2/4次成功; 当前距低点2.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,74.50771045923483,63.60880670514659,001311,多利科技,bottom_area,2025-06-18,19.96,2025-06-18,19.7,1.3197969543147288,1.7258883248730958,32.13916637960731,False,-0.3992,1.7661,1,2,1,50.0,46.9244288224956,46.9244288224956,18.680203045685275,1.3197969543147288,历史1/2次成功; 当前距低点1.32%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
19,73.51561784958554,62.29818102461038,002743,富煌钢构,bottom_area,2025-06-18,6.62,2025-06-18,6.56,0.914634146341471,4.725609756097569,27.753303964757713,False,-3.639,4.9944,2,3,2,66.66666666666666,32.18752801936699,43.42105263157896,19.08536585365853,0.914634146341471,历史2/3次成功; 当前距低点0.91%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
20,73.20614683041673,61.21768376062723,000715,中兴商业,bottom_area,2025-06-18,5.28,2025-06-18,5.27,0.18975332068312478,2.087286527514238,30.657894736842106,False,-2.2222,1.8807,2,4,2,50.0,26.722157697767457,29.105691056910565,19.810246679316876,0.18975332068312478,历史2/4次成功; 当前距低点0.19%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
21,72.05760102850243,64.95275814111649,001223,欧克科技,bottom_area,2025-06-18,38.36,2025-05-26,36.78,4.2958129418162,10.250135943447516,31.661092530657747,True,-0.0521,1.8544,2,3,2,66.66666666666666,28.658843988122396,30.11687144141446,15.704187058183802,4.2958129418162,历史2/3次成功; 当前距低点4.30%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
22,72.0268855570117,61.2545361042035,000695,滨海能源,bottom_area,2025-06-18,12.76,2025-06-16,12.62,1.1093502377179125,7.2107765451664045,29.693593314763234,True,-4.918,8.899,2,5,2,40.0,21.042229280647017,21.910112359550556,18.890649762282088,1.1093502377179125,历史2/5次成功; 当前距低点1.11%; 最新日涨幅-4.92%; 状态bottom_area; 底部已确认
