rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.03994309221358,75.26839301167063,300766,每日互动,bottom_area,2025-02-24,51.4,2025-02-24,50.6,1.5810276679841841,13.636363636363633,28.226950354609926,False,-15.0132,34.0689,1,1,1,100.0,31.360946745562135,31.360946745562135,13.418972332015816,1.5810276679841841,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-15.01%; 状态bottom_area; 底部未确认
2,81.04337815126053,71.34428571428573,002016,世荣兆业,bottom_area,2025-02-24,6.12,2025-02-21,6.08,0.6578947368421059,2.4671052631579005,28.638497652582156,False,-0.4878,1.9238,1,1,1,100.0,28.571428571428566,28.571428571428566,14.342105263157896,0.6578947368421059,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
3,69.8830130890833,63.82157942593012,605398,新炬网络,bottom_area,2025-02-24,37.51,2025-02-24,36.55,2.6265389876881007,7.05882352941178,32.83719220874679,False,-5.3256,8.6238,2,3,2,66.66666666666666,21.523772318238297,22.15700660308142,12.373461012311898,2.6265389876881007,历史2/3次成功; 当前距低点2.63%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
4,68.62621424915234,62.32308414783701,002309,中利集团,bottom_area,2025-02-24,2.2,2025-02-24,2.15,2.32558139534885,4.651162790697678,27.36486486486487,False,-2.2222,1.2073,3,7,3,42.857142857142854,34.48376966561188,55.97014925373133,12.67441860465115,2.32558139534885,历史3/7次成功; 当前距低点2.33%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
5,67.12076268450332,63.61814001825602,605162,新中港,bottom_area,2025-02-24,7.02,2025-02-05,6.71,4.61997019374068,7.451564828614009,28.081457663451232,True,0.2857,0.9981,2,4,2,50.0,22.428344408520275,26.46502835538753,10.38002980625932,4.61997019374068,历史2/4次成功; 当前距低点4.62%; 最新日涨幅0.29%; 状态bottom_area; 底部已确认
