rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.21774245843088,82.7870532796183,300560,中富通,bottom_area,2024-10-11,14.04,2024-10-11,13.81,1.6654598117306203,8.110065170166541,27.277514481305943,False,-6.5868,7.4498,4,4,4,100.0,22.81882607722647,41.47727272727274,8.334540188269381,1.6654598117306203,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
2,87.47589993607014,81.72090651922339,300510,金冠股份,bottom_area,2024-10-11,4.26,2024-10-11,4.2,1.428571428571419,8.571428571428557,27.835051546391753,False,-5.7522,4.2665,3,3,3,100.0,30.849727829925854,40.000000000000014,8.571428571428582,1.428571428571419,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
3,87.05930198809865,81.76097967885336,300454,深信服,bottom_area,2024-10-11,62.05,2024-10-11,61.01,1.7046385838387135,8.17898705130307,27.62752075919336,False,-5.2382,3.2314,4,4,4,100.0,17.782557258094812,29.49391262831224,8.295361416161287,1.7046385838387135,历史4/4次成功; 当前距低点1.70%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
4,86.11894840452766,81.05312791014367,000995,皇台酒业,bottom_area,2024-10-11,11.2,2024-10-11,11.0,1.818181818181812,9.090909090909092,31.207004377736087,False,-8.347,9.5101,7,7,7,100.0,15.368722879560218,24.697644812221508,8.181818181818189,1.818181818181812,历史7/7次成功; 当前距低点1.82%; 最新日涨幅-8.35%; 状态bottom_area; 底部未确认
5,84.18588066855233,79.88868954393944,688037,芯源微,confirmed_rebound,2024-10-11,81.8,2024-10-11,80.0,2.2499999999999964,10.250000000000004,30.434782608695656,False,-7.7374,5.1544,5,5,5,100.0,24.616610451287148,34.08866995073892,7.750000000000004,2.2499999999999964,历史5/5次成功; 当前距低点2.25%; 最新日涨幅-7.74%; 状态confirmed_rebound; 底部未确认
6,83.01319866790807,78.26456230343027,301499,维科精密,confirmed_rebound,2024-10-11,26.7,2024-10-11,26.2,1.9083969465648856,13.740458015267182,27.222222222222225,False,-2.9091,17.5265,3,3,3,100.0,18.148964202140924,21.950454687989964,8.091603053435115,1.9083969465648856,历史3/3次成功; 当前距低点1.91%; 最新日涨幅-2.91%; 状态confirmed_rebound; 底部未确认
7,82.21637434382957,77.88697369125185,300624,万兴科技,bottom_area,2024-10-11,55.32,2024-10-11,54.15,2.1606648199446012,9.732225300092342,29.271159874608156,False,-9.2669,10.0295,2,2,2,100.0,35.87790043400834,51.195680123425035,7.8393351800554,2.1606648199446012,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-9.27%; 状态bottom_area; 底部未确认
8,81.00848336432205,75.9779973647825,300755,华致酒行,bottom_area,2024-10-11,16.78,2024-10-11,16.51,1.635372501514231,7.813446396123555,32.858885725904834,False,-7.344,2.6103,2,2,2,100.0,19.175519721693263,24.47650069799908,8.364627498485769,1.635372501514231,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-7.34%; 状态bottom_area; 底部未确认
9,79.89696364306883,74.25053511705688,600376,首开股份,bottom_area,2024-10-11,2.63,2024-10-10,2.6,1.1538461538461462,7.307692307692306,27.97783933518005,False,-3.663,1.8454,1,1,1,100.0,20.652173913043484,20.652173913043484,8.846153846153854,1.1538461538461462,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
10,79.62191819063075,75.2905941241621,300426,华智数媒,bottom_area,2024-10-11,8.9,2024-10-11,8.72,2.0642201834862353,9.403669724770625,29.677419354838708,False,-7.4844,2.8864,2,2,2,100.0,20.736645927476964,25.936811168258643,7.935779816513766,2.0642201834862353,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-7.48%; 状态bottom_area; 底部未确认
11,79.22244256048636,73.5530710190203,688047,龙芯中科,bottom_area,2024-10-11,124.6,2024-10-11,123.24,1.1035378123985715,7.392080493346316,27.025106584557086,False,-4.9435,2.0842,3,4,3,75.0,20.45235070585496,33.20076594491089,8.89646218760143,1.1035378123985715,历史3/4次成功; 当前距低点1.10%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
