rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.79806783446341,80.2869010529609,003002,壶化股份,bottom_area,2025-08-19,25.52,2025-08-15,24.85,2.696177062374238,3.4205231388329893,28.199942213233165,False,0.2357,2.3584,1,1,1,100.0,39.32357395254923,39.32357395254923,12.303822937625762,2.696177062374238,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
2,87.73336900493923,79.7100909934658,605033,美邦股份,bottom_area,2025-08-19,21.35,2025-08-08,20.86,2.3489932885906133,3.4515819750719023,32.926045016077175,False,0.8503,2.5694,1,1,1,100.0,31.96664350243223,31.96664350243223,12.651006711409385,2.3489932885906133,历史1/1次成功; 当前距低点2.35%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
3,85.08003401904989,77.28132496960566,603511,爱慕股份,bottom_area,2025-08-19,15.33,2025-08-15,14.98,2.3364485981308385,2.6034712950600722,29.999999999999993,False,0.8553,0.7845,1,1,1,100.0,18.754988028731056,18.754988028731056,12.66355140186916,2.3364485981308385,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
4,83.68154121492783,75.791170411318,300069,金利华电,bottom_area,2025-08-19,21.55,2025-08-15,21.09,2.1811284969179745,3.129445234708393,31.45921351966201,False,-0.7827,8.1681,1,1,1,100.0,31.312598840274124,31.312598840274124,12.818871503082024,2.1811284969179745,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
5,82.56951660771524,76.80885265833976,603839,安正时尚,bottom_area,2025-08-19,7.74,2025-08-08,7.47,3.614457831325307,5.488621151271756,28.03468208092486,False,2.5166,3.5562,1,1,1,100.0,31.88073394495412,31.88073394495412,11.385542168674693,3.614457831325307,历史1/1次成功; 当前距低点3.61%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
6,80.25323972992452,73.34928964265539,600246,万通发展,bottom_area,2025-08-19,8.85,2025-08-19,8.62,2.6682134570765714,11.25290023201857,27.80569514237856,False,-7.62,23.8722,2,2,2,100.0,17.703313574139614,18.99441340782122,12.331786542923428,2.6682134570765714,历史2/2次成功; 当前距低点2.67%; 最新日涨幅-7.62%; 状态bottom_area; 底部未确认
7,78.9908000660236,74.55912655326334,600620,天宸股份,bottom_area,2025-08-19,6.41,2025-08-04,6.14,4.397394136807825,4.560260586319222,27.078384798099762,False,2.0701,2.1356,1,1,1,100.0,29.38271604938273,29.38271604938273,10.602605863192174,4.397394136807825,历史1/1次成功; 当前距低点4.40%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
8,78.22986845258941,73.56622886824309,002041,登海种业,bottom_area,2025-08-19,9.93,2025-06-23,9.53,4.197271773347328,7.345225603357829,29.719764011799416,True,-0.3012,0.868,2,2,2,100.0,18.2043468358871,21.395106715252467,10.802728226652672,4.197271773347328,历史2/2次成功; 当前距低点4.20%; 最新日涨幅-0.30%; 状态bottom_area; 底部已确认
9,77.03395501230425,72.40451682099746,003001,中岩大地,bottom_area,2025-08-19,27.98,2025-08-15,26.86,4.169769173492186,6.031273268801195,27.756858526089296,False,-1.0958,3.7434,2,2,2,100.0,20.815002884729275,25.533980582524272,10.830230826507814,4.169769173492186,历史2/2次成功; 当前距低点4.17%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
10,73.64185774367381,69.88260847456536,002795,永和智控,bottom_area,2025-08-19,5.14,2025-08-14,4.91,4.684317718940927,5.702647657841146,28.84057971014493,False,1.581,6.4021,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,10.315682281059072,4.684317718940927,历史4/6次成功; 当前距低点4.68%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
11,68.46907556399891,61.99239206221505,603022,新通联,bottom_area,2025-08-19,10.39,2025-07-24,10.17,2.163225172074736,3.539823008849552,32.33532934131736,False,0.4836,3.6004,1,2,1,50.0,26.099706744868023,26.099706744868023,12.836774827925263,2.163225172074736,历史1/2次成功; 当前距低点2.16%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
12,65.9912037276132,62.507964534606806,002658,雪迪龙,bottom_area,2025-08-19,8.21,2025-08-01,7.85,4.585987261146513,6.878980891719758,31.50087260034905,False,-0.8454,6.333,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,10.414012738853486,4.585987261146513,历史2/3次成功; 当前距低点4.59%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
13,62.15848297028235,58.44196109453088,000637,茂化实华,bottom_area,2025-08-19,4.23,2025-07-07,4.06,4.187192118226622,7.142857142857144,27.370304114490168,True,1.6827,3.659,1,2,1,50.0,22.627737226277358,22.627737226277358,10.812807881773379,4.187192118226622,历史1/2次成功; 当前距低点4.19%; 最新日涨幅1.68%; 状态bottom_area; 底部已确认
14,61.85126169203941,56.79775008512089,002775,文科股份,bottom_area,2025-08-19,4.58,2025-08-14,4.45,2.921348314606739,4.044943820224713,30.46875,False,0.4386,7.1731,1,3,1,33.33333333333333,26.909090909090917,26.909090909090917,12.078651685393261,2.921348314606739,历史1/3次成功; 当前距低点2.92%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
15,59.90851388456213,55.13146858625072,603080,新疆火炬,bottom_area,2025-08-19,21.72,2025-08-15,21.08,3.036053130929794,8.82352941176472,27.310344827586214,False,-0.6859,6.29,1,2,1,50.0,22.385321100917427,22.385321100917427,11.963946869070204,3.036053130929794,历史1/2次成功; 当前距低点3.04%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
