rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.66402158944199,72.65819791282505,300559,佳发教育,bottom_area,2022-07-07,9.12,2022-07-07,9.09,0.33003300330032304,4.070407040704081,31.240544629349476,False,-3.4921,2.3141,2,2,2,100.0,25.164909464246165,29.09783989834816,19.669966996699678,0.33003300330032304,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
2,78.90016878313021,68.35783446003964,000037,深南电A,bottom_area,2022-07-07,8.17,2022-06-30,8.0,2.124999999999999,7.499999999999996,29.140832595217002,True,-1.0896,4.3733,2,4,2,50.0,39.8001852690304,45.16765285996055,17.875000000000004,2.124999999999999,历史2/4次成功; 当前距低点2.12%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
3,71.61893337385209,64.24963364471927,603222,济民健康,bottom_area,2022-07-07,11.09,2022-06-20,10.66,4.033771106941836,10.225140712945588,31.535003211303792,True,-1.5098,1.8026,3,6,3,50.0,41.11092348681001,68.46504559270518,15.966228893058165,4.033771106941836,历史3/6次成功; 当前距低点4.03%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
4,71.08446504236943,63.80828096118301,002339,积成电子,bottom_area,2022-07-07,5.63,2022-06-23,5.41,4.0665434380776295,7.208872458410346,31.863979848866503,True,0.7156,3.0162,1,2,1,50.0,82.94930875576038,82.94930875576038,15.933456561922371,4.0665434380776295,历史1/2次成功; 当前距低点4.07%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
5,68.90409419784876,60.67250312992862,002386,天原股份,bottom_area,2022-07-07,8.55,2022-07-06,8.3,3.012048192771084,6.987951807228916,30.717863105175287,False,0.9445,2.9394,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,16.987951807228917,3.012048192771084,历史1/3次成功; 当前距低点3.01%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
