rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.65425194256035,81.16633476688963,300454,深信服,bottom_area,2023-11-02,81.7,2023-10-27,80.44,1.5663848831427216,6.364992541024373,27.150878464046375,False,-1.245,0.5638,3,3,3,100.0,19.34243172287662,29.49391262831224,8.433615116857279,1.5663848831427216,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
2,85.5239079946394,79.16178682586217,300620,光库科技,bottom_area,2023-11-02,37.44,2023-10-26,37.09,0.9436505796710549,7.1178215152331985,28.46673095467695,True,-2.6268,2.7882,6,6,6,100.0,14.91026961028043,22.444343480236245,9.056349420328946,0.9436505796710549,历史6/6次成功; 当前距低点0.94%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
3,84.9535532538515,79.89155396670493,600048,保利发展,bottom_area,2023-11-02,10.89,2023-10-30,10.7,1.7757009345794512,4.018691588785061,28.139691067830768,False,-0.457,0.4565,2,2,2,100.0,31.721247836269217,31.987577639751546,8.22429906542055,1.7757009345794512,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
4,83.35384807830035,76.18593220338985,002685,华东重机,bottom_area,2023-11-02,3.55,2023-11-02,3.54,0.28248587570620864,2.542372881355928,27.01030927835051,False,-1.3889,2.9986,1,1,1,100.0,109.52380952380952,109.52380952380952,9.71751412429379,0.28248587570620864,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
5,82.3030671959811,78.49380882646165,000928,中钢国际,bottom_area,2023-11-02,6.12,2023-10-23,5.97,2.5125628140703578,5.192629815745402,31.06235565819862,False,-1.2903,1.761,3,3,3,100.0,16.57232280936585,18.798449612403097,7.487437185929643,2.5125628140703578,历史3/3次成功; 当前距低点2.51%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
6,81.8946170481932,74.59682249479287,688023,安恒信息,bottom_area,2023-11-02,116.12,2023-10-30,116.0,0.10344827586207289,5.36206896551724,29.6159213639949,False,-2.025,0.6198,1,1,1,100.0,39.261744966442954,39.261744966442954,9.896551724137929,0.10344827586207289,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
7,80.41008650725915,75.18794216081696,002828,贝肯能源,bottom_area,2023-11-02,11.0,2023-10-27,10.84,1.4760147601476028,8.763837638376378,28.590250329380762,True,-1.4337,12.1902,1,1,1,100.0,10.232558139534893,10.232558139534893,8.523985239852399,1.4760147601476028,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
8,80.2972799550771,73.15824730652336,300713,英可瑞,bottom_area,2023-11-02,17.38,2023-11-02,17.36,0.11520737327188695,4.1474654377880125,28.264462809917358,False,-2.7964,4.3946,2,2,2,100.0,15.004946868727224,19.819819819819813,9.884792626728114,0.11520737327188695,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
9,79.35917809901986,72.57499388777163,000938,紫光股份,bottom_area,2023-11-02,19.32,2023-11-02,19.26,0.31152647975077213,2.5960539979231565,28.161133905259224,False,-1.1765,1.3294,1,1,1,100.0,30.942334739803094,30.942334739803094,9.688473520249229,0.31152647975077213,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
10,79.09885523428812,72.56070026354472,300342,天银机电,confirmed_rebound,2023-11-02,16.98,2023-11-02,16.9,0.47337278106509967,12.189349112426049,28.389830508474585,False,-14.2424,23.3979,3,3,3,100.0,19.9461838944793,26.68539325842696,9.5266272189349,0.47337278106509967,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-14.24%; 状态confirmed_rebound; 底部未确认
11,79.05915433086004,75.9511777478287,601155,新城控股,bottom_area,2023-11-02,11.73,2023-10-20,11.4,2.8947368421052637,6.052631578947364,27.06333973128599,False,-0.9291,0.5396,2,2,2,100.0,24.2536438055306,24.642857142857142,7.105263157894736,2.8947368421052637,历史2/2次成功; 当前距低点2.89%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
