rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.86154141299762,69.99164871582437,300365,恒华科技,bottom_area,2021-12-10,11.37,2021-12-10,11.36,0.08802816901408263,3.433098591549301,27.50478621569879,False,-2.8205,5.5105,1,1,1,100.0,14.313725490196088,14.313725490196088,9.911971830985918,0.08802816901408263,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
2,76.73387499940323,73.67082627621015,605286,同力天启,bottom_area,2021-12-10,32.71,2021-12-10,31.8,2.8616352201257866,5.251572327044019,29.002009377093096,False,-3.5388,20.1148,2,2,2,100.0,21.802981602671757,30.46080191502094,7.138364779874213,2.8616352201257866,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
3,76.51797394747469,74.09806253800564,300602,飞荣达,bottom_area,2021-12-10,23.7,2021-12-08,22.94,3.3129904097645944,7.977332170880549,27.012408526885135,True,-2.147,2.3444,1,1,1,100.0,26.890756302520995,26.890756302520995,6.687009590235407,3.3129904097645944,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
4,72.53305349501764,71.76954766875431,688221,前沿生物,bottom_area,2021-12-10,17.39,2021-12-07,16.65,4.444444444444457,5.405405405405419,29.32937181663837,False,2.9603,1.7972,1,1,1,100.0,14.961725817675717,14.961725817675717,5.555555555555544,4.444444444444457,历史1/1次成功; 当前距低点4.44%; 最新日涨幅2.96%; 状态bottom_area; 底部未确认
5,69.95166732128322,69.93721748296029,600121,郑州煤电,bottom_area,2021-12-10,4.84,2021-11-29,4.61,4.989154013015174,6.073752711496732,27.287066246056774,False,-0.4115,1.1743,2,2,2,100.0,17.59402490663917,20.6581352833638,5.010845986984826,4.989154013015174,历史2/2次成功; 当前距低点4.99%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
