rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.5565196469351,85.7899855735299,002678,珠江钢琴,bottom_area,2025-11-07,4.97,2025-11-03,4.92,1.0162601626016223,4.065040650406507,29.613733905579405,False,-0.4008,1.0674,4,4,4,100.0,20.79063841000859,35.5191256830601,8.983739837398378,1.0162601626016223,历史4/4次成功; 当前距低点1.02%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
2,88.73329796159652,83.78953371629662,002790,瑞尔特,bottom_area,2025-11-07,9.22,2025-11-07,9.04,1.9911504424778927,2.765486725663717,31.61875945537066,False,0.765,8.6891,1,1,1,100.0,49.512670565302145,49.512670565302145,8.008849557522108,1.9911504424778927,历史1/1次成功; 当前距低点1.99%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
3,82.96946000738707,76.95357434550412,603192,汇得科技,bottom_area,2025-11-07,25.98,2025-11-07,25.71,1.0501750291715268,2.6059898872034153,32.994526974198585,False,-0.6881,4.4575,4,5,4,80.0,17.03211511836134,25.562817719680464,8.949824970828473,1.0501750291715268,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
4,81.97388756843455,79.48373265303873,300563,神宇股份,bottom_area,2025-11-07,37.92,2025-10-23,36.68,3.3805888767720886,6.27044711014176,28.776699029126213,False,-1.1985,2.7662,4,4,4,100.0,15.86814673160799,20.477137176938378,6.619411123227911,3.3805888767720886,历史4/4次成功; 当前距低点3.38%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
5,77.90230841763557,72.18931310870187,002123,梦网科技,bottom_area,2025-11-07,12.08,2025-10-31,11.96,1.0033444816053445,4.682274247491628,31.066282420749282,False,-1.1457,1.8132,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,8.996655518394656,1.0033444816053445,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
6,77.84566647444134,76.45353317378255,603173,福斯达,bottom_area,2025-11-07,40.31,2025-11-05,38.74,4.052658750645328,4.775425916365517,29.422481326288942,False,0.1491,4.3267,1,1,1,100.0,35.34190927555856,35.34190927555856,5.947341249354672,4.052658750645328,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
7,76.9874184782609,76.03695652173916,301009,可靠股份,bottom_area,2025-11-07,13.44,2025-09-23,12.88,4.347826086956511,9.627329192546572,30.566037735849054,True,-1.1038,1.5836,1,1,1,100.0,53.96648044692738,53.96648044692738,5.65217391304349,4.347826086956511,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-1.10%; 状态bottom_area; 底部已确认
8,69.53778798588664,68.90880296892885,605398,新炬网络,bottom_area,2025-11-07,29.58,2025-10-13,28.3,4.52296819787985,9.222614840989397,28.172588832487307,True,-1.4329,1.3099,3,4,3,75.0,17.990163763951127,22.15700660308142,5.47703180212015,4.52296819787985,历史3/4次成功; 当前距低点4.52%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
9,69.35229129309808,68.96484832498021,002716,湖南白银,bottom_area,2025-11-07,6.23,2025-11-05,5.95,4.70588235294118,5.882352941176464,28.053204353083427,False,-0.1603,3.2209,1,1,1,100.0,25.560538116591918,25.560538116591918,5.294117647058821,4.70588235294118,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
10,67.0150567713668,65.68993790237813,002767,先锋电子,bottom_area,2025-11-07,19.73,2025-10-31,18.98,3.9515279241306636,5.268703898840886,27.47420710737486,False,-0.5544,3.6169,3,5,3,60.0,35.37323424406471,52.04379562043795,6.048472075869337,3.9515279241306636,历史3/5次成功; 当前距低点3.95%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
11,60.499532744371436,59.450407899093314,300459,汤姆猫,bottom_area,2025-11-07,4.59,2025-10-17,4.41,4.081632653061218,8.163265306122437,29.326923076923077,True,-1.2903,2.1104,3,6,3,50.0,15.895324452004822,19.047619047619044,5.918367346938782,4.081632653061218,历史3/6次成功; 当前距低点4.08%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
