rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.50693395663991,85.71201779945406,688206,概伦电子,bottom_area,2025-04-28,20.75,2025-04-28,20.51,1.1701608971233468,4.388103364212572,27.75625220147939,False,-1.472,2.065,4,4,4,100.0,22.257981961802596,39.570720968629594,6.829839102876653,1.1701608971233468,历史4/4次成功; 当前距低点1.17%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
2,88.89393421162488,83.67293207482612,603169,兰石重装,bottom_area,2025-04-28,7.09,2025-04-25,7.03,0.8534850640113741,5.832147937411097,28.26530612244898,False,0.0,7.155,4,4,4,100.0,24.778914090172343,49.872122762148344,7.146514935988627,0.8534850640113741,历史4/4次成功; 当前距低点0.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,84.33900740054092,79.21700400298448,300757,罗博特科,bottom_area,2025-04-28,127.44,2025-04-25,126.5,0.7430830039525673,4.3478260869565215,30.65833470372198,False,-1.8409,2.7074,7,7,7,100.0,21.942114258044786,74.11052233156698,7.2569169960474325,0.7430830039525673,历史7/7次成功; 当前距低点0.74%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
4,81.54103725060719,78.96728858559521,603221,爱丽家居,bottom_area,2025-04-28,10.53,2025-04-24,10.29,2.3323615160349878,6.802721088435384,29.761092150170654,False,-2.5902,4.0049,3,3,3,100.0,16.908993775026747,17.92336217552533,5.667638483965012,2.3323615160349878,历史3/3次成功; 当前距低点2.33%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
5,81.0786823164371,75.75655367231637,301058,中粮科工,bottom_area,2025-04-28,10.67,2025-04-24,10.62,0.4708097928436979,3.860640301318269,28.629032258064523,False,-1.2951,2.3358,1,1,1,100.0,57.794273594909875,57.794273594909875,7.529190207156303,0.4708097928436979,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
6,80.24873865245604,77.20991170200718,300721,怡达股份,bottom_area,2025-04-28,14.33,2025-04-28,14.05,1.9928825622775754,4.697508896797154,32.71072796934865,False,-1.5797,11.2571,7,8,7,87.5,13.71604270967764,22.270742358078603,6.007117437722425,1.9928825622775754,历史7/8次成功; 当前距低点1.99%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
7,79.61528309718169,77.77934325636167,000697,炼石航空,confirmed_rebound,2025-04-28,6.27,2025-04-25,6.1,2.7868852459016384,8.688524590163938,28.904428904428908,False,-3.9816,1.8656,4,4,4,100.0,19.857212994717187,30.58161350844277,5.2131147540983624,2.7868852459016384,历史4/4次成功; 当前距低点2.79%; 最新日涨幅-3.98%; 状态confirmed_rebound; 底部未确认
8,78.95317551888299,73.72346725357491,600371,万向德农,bottom_area,2025-04-28,9.18,2025-04-28,9.14,0.4376367614879556,4.485776805251642,28.59375,False,-2.5478,4.5183,1,1,1,100.0,38.66279069767441,38.66279069767441,7.562363238512044,0.4376367614879556,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
9,78.4106809799141,75.6184684396027,300892,品渥食品,confirmed_rebound,2025-04-28,31.87,2025-04-28,31.21,2.114706824735662,11.022108298622229,31.64695575996495,False,-13.6314,15.8593,1,1,1,100.0,78.87149917627676,78.87149917627676,5.885293175264338,2.114706824735662,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-13.63%; 状态confirmed_rebound; 底部未确认
10,77.84355629214981,72.37637718337322,688050,爱博医疗,bottom_area,2025-04-28,79.25,2025-04-28,79.08,0.21497218007081653,3.970662620131513,27.074880118037626,False,-2.9156,2.2325,2,2,2,100.0,12.024267494272554,12.90770757525636,7.7850278199291845,0.21497218007081653,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
11,77.64505540029508,72.23908419867256,000524,岭南控股,confirmed_rebound,2025-04-28,12.08,2025-04-28,12.05,0.24896265560165445,9.377593360995842,28.102625298329357,False,-5.3292,5.5139,3,3,3,100.0,15.46623147013077,21.550094517958406,7.751037344398346,0.24896265560165445,历史3/3次成功; 当前距低点0.25%; 最新日涨幅-5.33%; 状态confirmed_rebound; 底部未确认
12,77.31732471021196,71.59011547241847,600696,退市岩石,bottom_area,2025-04-28,6.59,2025-04-28,6.59,0.0,0.0,30.70452155625657,False,-5.0432,0.0381,2,2,2,100.0,27.635029421604703,46.45858343337334,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
13,74.01482994284947,75.25324239800813,300700,岱勒新材,confirmed_rebound,2025-04-28,8.41,2025-04-24,8.02,4.862842892768087,8.4788029925187,27.4864376130199,True,-1.5222,2.9786,3,3,3,100.0,28.98131286838362,55.55555555555556,3.1371571072319138,4.862842892768087,历史3/3次成功; 当前距低点4.86%; 最新日涨幅-1.52%; 状态confirmed_rebound; 底部已确认
14,70.97430639258047,65.71695036350043,000736,中交地产,bottom_area,2025-04-28,3.72,2025-04-28,3.72,0.0,4.838709677419347,31.868131868131865,False,-5.102,4.2162,3,4,3,75.0,16.892206255378625,19.029126213592225,8.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-5.10%; 状态bottom_area; 底部未确认
15,69.62478104766205,69.34060621237764,300153,科泰电源,confirmed_rebound,2025-04-28,28.5,2025-04-22,27.46,3.7873270211216283,10.415149308084484,28.823224468636592,True,-1.1789,8.6337,1,1,1,100.0,17.342536669542692,17.342536669542692,4.212672978878372,3.7873270211216283,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部已确认
