rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.91540706931455,83.72625459469573,605258,协和电子,bottom_area,2022-09-13,22.83,2022-09-01,22.37,2.0563254358515746,5.274921770227983,28.98412698412698,False,0.0,1.3757,1,1,1,100.0,49.971379507727534,49.971379507727534,5.943674564148425,2.0563254358515746,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,85.9527759748464,82.48846153662144,688165,埃夫特,bottom_area,2022-09-13,8.21,2022-09-02,8.06,1.8610421836228332,7.071960297766752,28.4826974267968,True,0.2442,0.3293,2,2,2,100.0,15.062568361728554,21.98142414860681,6.138957816377167,1.8610421836228332,历史2/2次成功; 当前距低点1.86%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
3,84.75236013233354,79.87437879762624,688288,鸿泉技术,bottom_area,2022-09-13,18.68,2022-09-09,18.51,0.9184224743381856,3.565640194489465,32.24743777452415,False,0.5382,0.8901,3,3,3,100.0,21.819258274824108,41.992882562277565,7.081577525661814,0.9184224743381856,历史3/3次成功; 当前距低点0.92%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
4,83.72924472764373,80.06894987616204,002012,凯恩股份,bottom_area,2022-09-13,5.46,2022-09-09,5.37,1.675977653631282,2.793296089385465,28.874172185430456,False,1.487,3.8904,1,1,1,100.0,25.646123260437374,25.646123260437374,6.324022346368718,1.675977653631282,历史1/1次成功; 当前距低点1.68%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
5,81.40008830042532,79.30963243090407,688058,宝兰德,bottom_area,2022-09-13,41.49,2022-08-31,40.42,2.64720435428006,7.397328055418097,31.49152542372881,True,0.7039,0.6201,1,1,1,100.0,24.27558257345491,24.27558257345491,5.35279564571994,2.64720435428006,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.70%; 状态bottom_area; 底部已确认
6,80.01752387131411,76.78779750997244,000799,酒鬼酒,bottom_area,2022-09-13,137.06,2022-09-09,134.56,1.8579072532699168,3.2922116527942977,28.75900042354934,False,0.1315,1.2429,1,1,1,100.0,10.235623910902333,10.235623910902333,6.142092746730084,1.8579072532699168,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
7,79.32726927880628,75.67195357833656,002110,三钢闽光,bottom_area,2022-09-13,5.25,2022-08-31,5.17,1.547388781431336,2.7079303675048294,30.41722745625841,False,-0.5682,0.2932,1,1,1,100.0,22.90322580645161,22.90322580645161,6.452611218568665,1.547388781431336,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
8,77.79830125999781,78.78729399017898,300340,科恒股份,confirmed_rebound,2022-09-13,12.81,2022-09-02,12.24,4.656862745098041,9.722222222222218,27.999999999999996,True,0.1564,1.8001,3,3,3,100.0,22.983554026895213,42.54473161033797,3.3431372549019587,4.656862745098041,历史3/3次成功; 当前距低点4.66%; 最新日涨幅0.16%; 状态confirmed_rebound; 底部已确认
9,77.38890323237507,75.2373201405723,688097,博众精工,confirmed_rebound,2022-09-13,28.73,2022-09-09,28.02,2.5339043540328365,8.101356174161312,27.371695178849144,True,1.0552,0.7606,1,1,1,100.0,11.207645525629896,11.207645525629896,5.4660956459671635,2.5339043540328365,历史1/1次成功; 当前距低点2.53%; 最新日涨幅1.06%; 状态confirmed_rebound; 底部已确认
10,76.21205536539533,73.44767053546579,601828,美凯龙,bottom_area,2022-09-13,4.91,2022-08-03,4.81,2.07900207900209,7.692307692307695,27.010622154779973,True,-0.8081,0.6567,1,1,1,100.0,8.267716535433069,8.267716535433069,5.92099792099791,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
11,75.86091178459478,74.11309127375615,605319,无锡振华,bottom_area,2022-09-13,14.01,2022-08-29,13.63,2.7879677182685176,5.282465150403513,27.345415778251603,False,-0.1426,0.6844,2,2,2,100.0,13.062675652733196,17.248790972595383,5.212032281731482,2.7879677182685176,历史2/2次成功; 当前距低点2.79%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
12,75.70034222071303,77.04443021691215,603033,三维股份,bottom_area,2022-09-13,17.93,2022-09-09,17.09,4.915155061439438,6.143943826799302,27.584745762711872,False,2.5744,0.378,3,3,3,100.0,15.757977188140112,24.922480620155024,3.0848449385605625,4.915155061439438,历史3/3次成功; 当前距低点4.92%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
13,75.42761673211858,74.58705307313782,002813,路畅科技,bottom_area,2022-09-13,28.75,2022-09-01,27.8,3.417266187050357,7.194244604316546,27.415143603133153,True,1.1968,1.0149,1,1,1,100.0,8.324838600067956,8.324838600067956,4.582733812949643,3.417266187050357,历史1/1次成功; 当前距低点3.42%; 最新日涨幅1.20%; 状态bottom_area; 底部已确认
14,74.85205257831502,73.60962423856583,300740,水羊股份,bottom_area,2022-09-13,13.84,2022-09-09,13.42,3.129657228017883,4.61997019374068,32.967032967032964,False,1.8396,2.5118,1,1,1,100.0,8.73786407766991,8.73786407766991,4.870342771982116,3.129657228017883,历史1/1次成功; 当前距低点3.13%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
15,74.66686891862128,72.34129596846924,002669,康达新材,bottom_area,2022-09-13,13.04,2022-09-01,12.74,2.354788069073775,6.122448979591832,27.981910684002266,False,-0.761,1.5164,1,1,1,100.0,14.89361702127659,14.89361702127659,5.645211930926225,2.354788069073775,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
16,73.52303472221011,71.9065799368326,002184,海得控制,bottom_area,2022-09-13,11.21,2022-09-06,10.9,2.8440366972477107,7.4311926605504635,31.40339836375079,True,-0.0891,1.3241,1,1,1,100.0,9.360126916975144,9.360126916975144,5.15596330275229,2.8440366972477107,历史1/1次成功; 当前距低点2.84%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
17,72.87332252936022,71.36669235737125,002645,华宏科技,bottom_area,2022-09-13,18.72,2022-09-02,18.19,2.9136888400219765,5.99230346344145,28.27287066246056,False,-0.3195,0.7435,1,1,1,100.0,16.50485436893203,16.50485436893203,5.086311159978024,2.9136888400219765,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
18,72.5882991299149,72.3353799871791,000661,长春高新,bottom_area,2022-09-13,171.83,2022-09-13,165.51,3.8185003927255283,4.440819285843769,28.751614291863977,False,1.8373,1.5846,1,1,1,100.0,10.330972487060738,10.330972487060738,4.181499607274472,3.8185003927255283,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
19,71.82937912729518,67.62611623095731,002648,卫星化学,bottom_area,2022-09-13,20.98,2022-09-13,20.8,0.8653846153846141,2.8846153846153744,27.652173913043477,False,-1.131,0.7316,1,1,1,100.0,11.12469437652812,11.12469437652812,7.134615384615387,0.8653846153846141,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
20,70.85814076190951,66.846091033048,605069,正和生态,bottom_area,2022-09-13,10.41,2022-08-29,10.31,0.9699321047526638,5.237633365664395,30.66577000672494,False,-0.096,0.9905,1,1,1,100.0,8.212560386473426,8.212560386473426,7.0300678952473366,0.9699321047526638,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
21,69.16734816155869,68.68534573534573,000761,本钢板材,confirmed_rebound,2022-09-13,3.42,2022-07-15,3.3,3.63636363636364,8.484848484848492,31.818181818181817,True,-1.1561,0.111,1,1,1,100.0,11.969111969111971,11.969111969111971,4.363636363636361,3.63636363636364,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-1.16%; 状态confirmed_rebound; 底部已确认
22,66.40510216851146,66.79419456403008,600063,皖维高新,confirmed_rebound,2022-09-13,8.24,2022-09-01,7.9,4.3037974683544284,10.126582278481,30.08849557522124,True,-1.5532,2.1849,1,1,1,100.0,9.983079526226732,9.983079526226732,3.696202531645572,4.3037974683544284,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-1.55%; 状态confirmed_rebound; 底部已确认
23,64.56363164873194,65.47980091339466,002617,露笑科技,confirmed_rebound,2022-09-13,11.95,2022-09-02,11.41,4.732690622261167,9.02716914986853,28.99813316739266,True,1.4431,2.7455,2,3,2,66.66666666666666,24.589617556362565,36.60589060308556,3.2673093777388336,4.732690622261167,历史2/3次成功; 当前距低点4.73%; 最新日涨幅1.44%; 状态confirmed_rebound; 底部已确认
24,58.692764846480344,58.17705036445345,601966,玲珑轮胎,bottom_area,2022-09-13,21.93,2022-09-09,21.18,3.5410764872521248,5.9962228517469285,30.099009900990104,False,2.2854,1.0684,1,2,1,50.0,22.476907287033857,22.476907287033857,4.458923512747876,3.5410764872521248,历史1/2次成功; 当前距低点3.54%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
