rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.25096294134282,77.99613836505321,603308,应流股份,bottom_area,2021-06-18,21.24,2021-06-18,20.91,1.5781922525107523,5.691056910569111,32.08834037025008,False,0.8547,0.7251,1,1,1,100.0,13.303315595579207,13.303315595579207,8.421807747489249,1.5781922525107523,历史1/1次成功; 当前距低点1.58%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
2,75.58747541498265,72.27358566852237,002044,美年健康,bottom_area,2021-06-18,8.92,2021-06-18,8.69,2.6467203682393605,5.753739930955121,30.9220985691574,False,-2.938,5.1205,1,1,1,100.0,18.108108108108105,18.108108108108105,7.35327963176064,2.6467203682393605,历史1/1次成功; 当前距低点2.65%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
3,69.67595263969125,68.49108575531658,000612,焦作万方,bottom_area,2021-06-18,7.11,2021-06-18,6.83,4.099560761347002,4.245973645680821,27.02991452991452,False,-0.5594,2.1308,1,1,1,100.0,15.581098339719038,15.581098339719038,5.900439238652999,4.099560761347002,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
