rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.17861131119705,88.5953329325354,000301,东方盛虹,bottom_area,2023-12-15,8.83,2023-12-15,8.71,1.3777267508610702,3.099885189437423,29.359286293592856,False,1.0297,0.4185,5,5,5,100.0,17.830913572573255,28.337639965546952,6.62227324913893,1.3777267508610702,历史5/5次成功; 当前距低点1.38%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
2,92.35167006184356,88.60034621112196,002137,实益达,bottom_area,2023-12-15,7.18,2023-11-30,7.05,1.8439716312056722,5.6737588652482325,27.31958762886598,False,0.1395,4.1937,3,3,3,100.0,40.23979317349941,89.3034825870647,6.156028368794328,1.8439716312056722,历史3/3次成功; 当前距低点1.84%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
3,88.3271386753791,84.04155645874934,603032,德新科技,bottom_area,2023-12-15,17.21,2023-12-14,16.97,1.4142604596346613,3.594578668238064,30.308008213552366,False,0.9977,2.2238,3,3,3,100.0,10.462743584496554,12.354085603112855,6.5857395403653385,1.4142604596346613,历史3/3次成功; 当前距低点1.41%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
4,80.48170478260059,75.44651049695761,002142,宁波银行,bottom_area,2023-12-15,20.39,2023-12-14,20.26,0.6416584402764017,3.405725567620917,30.330123796423646,False,0.5424,0.6658,1,1,1,100.0,27.95425667090217,27.95425667090217,7.358341559723598,0.6416584402764017,历史1/1次成功; 当前距低点0.64%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,79.694582398355,73.79127999847684,603211,晋拓股份,bottom_area,2023-12-15,17.6,2023-12-15,17.6,0.0,3.409090909090897,31.7300232738557,False,-2.4931,16.9571,3,3,3,100.0,12.587526873531388,15.200000000000008,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
6,79.49356414856827,74.26872132080369,300351,永贵电器,bottom_area,2023-12-15,19.4,2023-12-15,19.31,0.4660797514241318,2.330398757120678,28.74538745387455,False,-1.3726,7.3482,2,2,2,100.0,25.27625351640169,33.447979363714516,7.533920248575868,0.4660797514241318,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
7,79.40950198007089,74.23157534515742,300538,同益股份,bottom_area,2023-12-15,18.27,2023-12-15,18.18,0.49504950495049427,2.5852585258525793,30.610687022900763,False,-0.9756,3.1254,2,2,2,100.0,25.431657077658826,30.150753768844226,7.504950495049506,0.49504950495049427,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
8,78.0663381727583,75.747563445194,002508,老板电器,bottom_area,2023-12-15,21.9,2023-12-13,21.38,2.4321796071094464,4.396632366697855,30.920840064620357,False,0.8287,0.7147,1,1,1,100.0,11.682435211846977,11.682435211846977,5.567820392890554,2.4321796071094464,历史1/1次成功; 当前距低点2.43%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
9,76.82604246015116,71.57960600831,601628,中国人寿,bottom_area,2023-12-15,27.92,2023-12-11,27.83,0.3233920229967783,4.132231404958685,27.41262389149714,False,-0.2857,0.0459,1,1,1,100.0,25.736235595390532,25.736235595390532,7.676607977003222,0.3233920229967783,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
10,75.6651234162754,74.63204874660232,600328,中盐化工,confirmed_rebound,2023-12-15,7.86,2023-10-26,7.61,3.28515111695138,8.147174770039422,28.207547169811313,True,-0.6321,0.4639,2,2,2,100.0,22.968781146513187,37.26315789473683,4.71484888304862,3.28515111695138,历史2/2次成功; 当前距低点3.29%; 最新日涨幅-0.63%; 状态confirmed_rebound; 底部已确认
11,75.19955753425312,74.5705495689655,605188,国光连锁,bottom_area,2023-12-15,9.01,2023-12-08,8.7,3.563218390804604,5.40229885057472,27.680798004987533,False,1.009,1.041,1,1,1,100.0,19.218749999999993,19.218749999999993,4.436781609195396,3.563218390804604,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
