rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.35176188042438,80.49614422242261,601717,中创智领,bottom_area,2024-07-15,13.26,2024-07-15,13.09,1.298701298701298,1.757066462948819,27.679558011049732,False,-0.2257,1.1852,2,2,2,100.0,29.124640771298786,35.43478260869567,13.7012987012987,1.298701298701298,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
2,90.06676325283712,81.7629364331136,603368,柳药集团,bottom_area,2024-07-15,17.31,2024-07-09,16.92,2.3049645390070745,5.319148936170204,29.79253112033195,False,-0.9159,0.881,3,3,3,100.0,31.603524634675978,42.85714285714285,12.695035460992926,2.3049645390070745,历史3/3次成功; 当前距低点2.30%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
3,88.05134139068815,77.62346488987369,000065,北方国际,bottom_area,2024-07-15,9.61,2024-07-09,9.54,0.7337526205450764,4.088050314465415,28.000000000000007,False,-1.4359,0.4985,3,3,3,100.0,29.926993896325044,41.48061104582843,14.266247379454924,0.7337526205450764,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
4,87.97697530395139,81.42689969604865,600094,大名城,bottom_area,2024-07-15,3.4,2024-07-09,3.29,3.3434650455927013,9.118541033434644,30.000000000000004,True,-1.1628,0.4743,2,2,2,100.0,51.71595225176342,87.28070175438596,11.656534954407299,3.3434650455927013,历史2/2次成功; 当前距低点3.34%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
5,87.92014836860459,80.27602962414029,601886,江河集团,bottom_area,2024-07-15,4.71,2024-07-09,4.59,2.614379084967323,5.228758169934646,27.488151658767773,False,-1.2579,0.5402,3,3,3,100.0,27.40222547239673,33.5540838852097,12.385620915032677,2.614379084967323,历史3/3次成功; 当前距低点2.61%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
6,87.8810241841927,78.91629957149436,600295,鄂尔多斯,bottom_area,2024-07-15,9.45,2024-07-15,9.29,1.7222820236813794,2.691065662002153,31.03192279138828,False,0.4251,0.2568,1,1,1,100.0,20.016680567139286,20.016680567139286,13.27771797631862,1.7222820236813794,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,86.04302670995936,79.70892726507944,688102,斯瑞新材,bottom_area,2024-07-15,8.23,2024-07-05,7.96,3.3919597989949803,9.798994974874375,31.90761334473909,True,-1.4371,1.2186,3,3,3,100.0,24.691374230042936,37.1943371943372,11.608040201005018,3.3919597989949803,历史3/3次成功; 当前距低点3.39%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
8,84.15686500761957,76.60488591259397,002557,洽洽食品,bottom_area,2024-07-15,27.18,2024-07-09,26.53,2.4500565397662966,4.033169996230683,31.001300390117038,False,0.0,0.729,1,1,1,100.0,16.510832383124292,16.510832383124292,12.549943460233703,2.4500565397662966,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,83.79535058518817,74.13317597287045,600973,宝胜股份,bottom_area,2024-07-15,3.28,2024-07-15,3.25,0.9230769230769171,4.307692307692312,29.805615550755938,False,-3.2448,0.9395,2,2,2,100.0,40.36446966390223,46.551724137931025,14.076923076923082,0.9230769230769171,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
10,83.73360800747407,75.4600450478736,603215,比依股份,bottom_area,2024-07-15,11.72,2024-07-09,11.5,1.913043478260875,6.956521739130441,32.70918665886483,False,-1.6779,1.3503,3,4,3,75.0,30.412818162948412,36.01562499999999,13.086956521739124,1.913043478260875,历史3/4次成功; 当前距低点1.91%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
11,83.56131175326284,76.47603229100771,001218,丽臣实业,bottom_area,2024-07-15,14.62,2024-07-09,14.23,2.7406886858749036,6.60576247364722,28.131313131313128,False,-2.2727,0.8299,2,2,2,100.0,25.18711018711019,29.999999999999993,12.259311314125096,2.7406886858749036,历史2/2次成功; 当前距低点2.74%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
12,83.25905101000322,74.43825421886649,603187,海容冷链,bottom_area,2024-07-15,10.92,2024-07-09,10.76,1.4869888475836444,5.297397769516731,30.175210902011685,False,-2.3256,0.8693,1,1,1,100.0,15.530047265361235,15.530047265361235,13.513011152416354,1.4869888475836444,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
13,82.77185581713805,76.23796729949362,300480,光力科技,bottom_area,2024-07-15,13.71,2024-07-09,13.3,3.082706766917294,7.4436090225563785,28.108108108108105,True,-2.2111,1.2165,4,5,4,80.0,28.906122193898153,39.69465648854962,11.917293233082706,3.082706766917294,历史4/5次成功; 当前距低点3.08%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
14,82.56041452060121,75.89566159184741,688303,大全能源,bottom_area,2024-07-15,18.67,2024-07-09,18.13,2.9784886927744223,8.2184225041368,30.74866310160428,True,-2.8616,0.7356,1,1,1,100.0,32.45492371705965,32.45492371705965,12.021511307225577,2.9784886927744223,历史1/1次成功; 当前距低点2.98%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
15,82.29698729910443,77.45289919679632,600155,华创云信,bottom_area,2024-07-15,5.9,2024-07-08,5.66,4.240282685512371,7.59717314487632,27.806122448979586,True,-1.1725,0.6961,2,2,2,100.0,39.627654407336166,46.19883040935671,10.759717314487629,4.240282685512371,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
16,82.22873697558067,74.50411792663431,002367,康力电梯,bottom_area,2024-07-15,5.57,2024-07-09,5.45,2.201834862385323,5.321100917431193,29.036458333333325,False,-1.7637,0.4664,1,1,1,100.0,24.646781789638936,24.646781789638936,12.798165137614676,2.201834862385323,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
17,82.00075411791043,74.63422515761656,603057,紫燕食品,bottom_area,2024-07-15,14.25,2024-07-09,13.91,2.4442846872753403,7.548526240115031,31.81372549019607,True,-2.7304,1.691,1,1,1,100.0,19.124700239808163,19.124700239808163,12.555715312724658,2.4442846872753403,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
18,81.69931598013497,77.3200014906934,600161,天坛生物,bottom_area,2024-07-15,23.95,2024-07-05,22.91,4.539502400698382,8.07507638585771,29.42082563154652,True,2.3504,0.9231,1,1,1,100.0,36.77455357142857,36.77455357142857,10.460497599301618,4.539502400698382,历史1/1次成功; 当前距低点4.54%; 最新日涨幅2.35%; 状态bottom_area; 底部已确认
19,81.19857253500861,75.71132169576057,002687,乔治白,bottom_area,2024-07-15,4.16,2024-07-09,4.01,3.740648379052378,6.733167082294276,31.45299145299145,False,-0.9524,0.6042,1,1,1,100.0,64.00000000000001,64.00000000000001,11.259351620947623,3.740648379052378,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
20,81.12748282868601,71.73561057932572,603325,博隆技术,bottom_area,2024-07-15,60.86,2024-07-09,60.32,0.8952254641909799,6.26657824933686,30.41070604522382,False,-2.8571,1.4591,1,1,1,100.0,33.584541062801925,33.584541062801925,14.10477453580902,0.8952254641909799,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
21,80.79562090320913,75.33373141637803,603218,日月股份,bottom_area,2024-07-15,9.71,2024-07-05,9.36,3.7393162393162545,6.623931623931635,27.216174183514774,False,-2.0182,0.4613,1,1,1,100.0,47.95361527967258,47.95361527967258,11.260683760683746,3.7393162393162545,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
22,79.68084176242068,73.23163596168015,000629,钒钛股份,bottom_area,2024-07-15,2.43,2024-07-10,2.36,2.9661016949152663,6.779661016949159,28.484848484848484,False,-1.2195,0.3854,1,1,1,100.0,27.173913043478265,27.173913043478265,12.033898305084733,2.9661016949152663,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
23,79.39250885562292,69.93315720343011,600389,江山股份,bottom_area,2024-07-15,13.13,2024-07-09,13.04,0.6901840490797672,5.061349693251535,28.74316939890711,False,-1.9417,0.8442,1,1,1,100.0,21.380520620064356,21.380520620064356,14.309815950920232,0.6901840490797672,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
24,79.23724462600937,73.4255517175658,603282,亚光股份,bottom_area,2024-07-15,15.78,2024-07-09,15.26,3.407601572739185,7.7326343381389355,27.848699763593377,True,-3.2495,0.8471,1,1,1,100.0,34.64991023339317,34.64991023339317,11.592398427260814,3.407601572739185,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
25,79.06410282581714,69.95119487024408,688215,瑞晟智能,bottom_area,2024-07-15,16.35,2024-07-15,16.2,0.925925925925939,4.938271604938276,32.44370308590492,False,-3.7102,0.6155,2,2,2,100.0,17.915623555673264,18.13676907829534,14.074074074074062,0.925925925925939,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
26,78.80881677082037,71.40009702568236,002677,浙江美大,bottom_area,2024-07-15,7.44,2024-07-15,7.28,2.1978021978021998,5.769230769230768,30.995260663507114,False,-7.8067,1.2246,1,1,1,100.0,18.124118476727787,18.124118476727787,12.802197802197801,2.1978021978021998,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-7.81%; 状态bottom_area; 底部未确认
27,78.71690477238857,74.81850092276187,688151,华强科技,bottom_area,2024-07-15,11.64,2024-07-09,11.11,4.770477047704781,9.36093609360937,27.051871306631654,True,-2.9191,0.7085,2,2,2,100.0,31.9633795243483,32.022471910112344,10.229522952295218,4.770477047704781,历史2/2次成功; 当前距低点4.77%; 最新日涨幅-2.92%; 状态bottom_area; 底部已确认
28,78.51340470893588,72.65419540229887,601388,怡球资源,bottom_area,2024-07-15,2.17,2024-07-09,2.1,3.3333333333333255,7.619047619047604,29.292929292929294,True,-2.2523,0.6684,3,4,3,75.0,23.544061302681985,35.632183908045974,11.666666666666673,3.3333333333333255,历史3/4次成功; 当前距低点3.33%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
29,78.44870663274223,73.07218673218676,603012,创力集团,bottom_area,2024-07-15,4.22,2024-07-09,4.07,3.6855036855036722,6.633906633906624,27.19141323792486,False,-1.4019,0.9531,1,1,1,100.0,35.13513513513512,35.13513513513512,11.314496314496328,3.6855036855036722,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
30,78.1945859020003,69.05865231654157,002572,索菲亚,bottom_area,2024-07-15,14.57,2024-07-15,14.45,0.8304498269896263,2.0761245674740536,32.915506035283194,False,-2.2148,1.1298,1,1,1,100.0,18.398268398268392,18.398268398268392,14.169550173010373,0.8304498269896263,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
31,78.12822979736795,73.35077782087664,000862,银星能源,bottom_area,2024-07-15,4.56,2024-07-09,4.38,4.109589041095884,10.73059360730593,31.562500000000004,True,-1.5119,0.5617,1,1,1,100.0,32.63785394932937,32.63785394932937,10.890410958904114,4.109589041095884,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
