rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
25,75.2123480802911,73.84259115220367,688157,松井股份,bottom_area,2023-05-04,78.19,2023-04-27,75.88,3.044280442804431,5.152872957301017,28.361027190332333,False,0.0512,1.0433,1,1,1,100.0,8.943820224719094,8.943820224719094,4.955719557195569,3.044280442804431,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
26,75.04964226957223,70.03274112039283,001201,东瑞股份,bottom_area,2023-05-04,24.87,2023-05-04,24.77,0.40371417036738566,1.6148566814695282,27.10417892878163,False,-0.9558,1.8743,1,1,1,100.0,18.4043517679057,18.4043517679057,7.596285829632615,0.40371417036738566,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
27,74.01921800223838,74.14400454565322,002385,大北农,bottom_area,2023-05-04,7.13,2023-04-25,6.85,4.087591240875916,4.963503649635047,30.73811931243681,False,0.8487,1.8862,1,1,1,100.0,23.353293413173663,23.353293413173663,3.9124087591240837,4.087591240875916,历史1/1次成功; 当前距低点4.09%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
28,73.6903880025198,74.79851413789602,000059,华锦股份,bottom_area,2023-05-04,7.02,2023-04-25,6.7,4.776119402985065,5.522388059701494,29.916317991631804,False,0.4292,0.7118,2,2,2,100.0,18.645518154311638,25.41603630862328,3.2238805970149347,4.776119402985065,历史2/2次成功; 当前距低点4.78%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
29,73.29649304141917,73.05644169903842,000970,中科三环,bottom_area,2023-05-04,11.93,2023-04-27,11.49,3.829416884247167,5.04786771105309,27.140139505389975,False,0.5055,0.9223,1,1,1,100.0,14.341463414634154,14.341463414634154,4.170583115752833,3.829416884247167,历史1/1次成功; 当前距低点3.83%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
30,73.08317880420978,73.26410264116149,603260,合盛硅业,confirmed_rebound,2023-05-04,72.89,2023-04-25,70.0,4.128571428571429,9.41428571428572,29.64824120603015,True,-0.4643,0.18,2,2,2,100.0,25.95293278658251,34.21399022188793,3.8714285714285714,4.128571428571429,历史2/2次成功; 当前距低点4.13%; 最新日涨幅-0.46%; 状态confirmed_rebound; 底部已确认
31,72.99863453508127,72.14889598258513,688116,天奈科技,bottom_area,2023-05-04,53.05,2023-04-25,51.31,3.3911518222568597,6.704346131358404,28.39799051074518,False,-1.5405,1.1068,2,2,2,100.0,9.896355577047169,11.226578491576134,4.60884817774314,3.3911518222568597,历史2/2次成功; 当前距低点3.39%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
32,72.92243925960729,70.66606859951534,688049,炬芯科技,confirmed_rebound,2023-05-04,32.02,2023-05-04,31.28,2.365728900255761,8.31202046035806,30.796460176991154,False,-3.9304,2.9585,2,2,2,100.0,9.784572538163834,11.287895076327672,5.63427109974424,2.365728900255761,历史2/2次成功; 当前距低点2.37%; 最新日涨幅-3.93%; 状态confirmed_rebound; 底部未确认
33,72.85478916263702,74.08192145488886,002806,华锋股份,bottom_area,2023-05-04,10.77,2023-04-25,10.27,4.868549172346641,6.621226874391429,31.896551724137932,False,0.0929,1.9295,2,2,2,100.0,15.925879396984929,20.35175879396985,3.1314508276533592,4.868549172346641,历史2/2次成功; 当前距低点4.87%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
34,72.73570680932254,67.61308603441378,605358,立昂微,bottom_area,2023-05-04,44.19,2023-05-04,44.1,0.20408163265305282,3.9909297052154145,27.84685863874345,False,-4.1432,3.0032,1,1,1,100.0,13.16339869281045,13.16339869281045,7.795918367346948,0.20408163265305282,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
