rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.72355746833242,86.28064776475566,000597,东北制药,bottom_area,2024-09-12,4.15,2024-08-26,4.07,1.9656019656019672,5.65110565110564,32.053422370617696,False,0.0,0.9186,3,3,3,100.0,29.259248636172746,61.02150537634409,6.034398034398033,1.9656019656019672,历史3/3次成功; 当前距低点1.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.6552240231785,82.76834729617038,000966,长源电力,bottom_area,2024-09-12,3.97,2024-09-10,3.93,1.0178117048346065,2.5445292620865163,27.222222222222225,False,0.2525,0.2671,2,2,2,100.0,15.424505285985354,20.94117647058823,6.982188295165394,1.0178117048346065,历史2/2次成功; 当前距低点1.02%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
3,87.10219838351102,83.029785113651,300455,航天智装,bottom_area,2024-09-12,10.08,2024-09-10,9.93,1.5105740181268918,3.625377643504526,27.939042089985485,False,-0.2967,0.8815,3,3,3,100.0,28.676848790216763,53.103448275862064,6.489425981873108,1.5105740181268918,历史3/3次成功; 当前距低点1.51%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
4,85.57311113410627,79.50204581715953,603060,国检集团,bottom_area,2024-09-12,5.72,2024-09-12,5.71,0.17513134851137982,2.2767075306479843,27.168367346938776,False,-1.209,0.7724,4,4,4,100.0,16.51260909551329,36.2098138747885,7.82486865148862,0.17513134851137982,历史4/4次成功; 当前距低点0.18%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
5,85.52960130492745,82.71682285691826,000591,太阳能,bottom_area,2024-09-12,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,0.7426,0.5334,2,2,2,100.0,21.19678360962714,32.84132841328414,5.738693467336676,2.2613065326633244,历史2/2次成功; 当前距低点2.26%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
6,84.80977728821887,83.13717834040514,601919,中远海控,bottom_area,2024-09-12,11.81,2024-09-10,11.47,2.9642545771578015,4.097646033129894,29.328404189772023,False,1.8982,0.4749,3,3,3,100.0,24.600423528628724,40.45881126173098,5.035745422842199,2.9642545771578015,历史3/3次成功; 当前距低点2.96%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
7,84.195713790827,78.19754124976774,605218,伟时电子,bottom_area,2024-09-12,18.94,2024-09-12,18.91,0.15864621893178812,6.821787414066627,30.272861356932157,False,-5.5362,11.2407,4,4,4,100.0,19.512121660925835,42.36874236874236,7.841353781068213,0.15864621893178812,历史4/4次成功; 当前距低点0.16%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
8,83.87930126342746,79.65314477387079,000690,宝新能源,bottom_area,2024-09-12,3.86,2024-09-11,3.81,1.3123359580052447,2.624671916010501,27.15105162523901,False,0.2597,0.6333,1,1,1,100.0,18.953068592057758,18.953068592057758,6.687664041994755,1.3123359580052447,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
9,82.65625262303935,77.83711964993061,000037,深南电A,bottom_area,2024-09-12,6.9,2024-09-11,6.84,0.8771929824561476,2.192982456140356,29.338842975206607,False,0.5831,0.9582,7,8,7,87.5,20.777524999627015,45.16765285996055,7.1228070175438525,0.8771929824561476,历史7/8次成功; 当前距低点0.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
10,82.56801011023424,78.25317375648993,000683,博源化工,bottom_area,2024-09-12,5.02,2024-09-10,4.96,1.209677419354831,4.435483870967737,28.837876614060253,False,-0.1988,0.8944,2,2,2,100.0,15.974399315155651,22.50673854447439,6.790322580645169,1.209677419354831,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
11,82.50994996774675,76.39810182198772,300536,农尚环境,confirmed_rebound,2024-09-12,4.76,2024-09-12,4.76,0.0,9.033613445378165,27.217125382263003,False,-6.1144,3.8601,6,6,6,100.0,30.366138827890936,60.27027027027027,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-6.11%; 状态confirmed_rebound; 底部未确认
