rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.77928203176582,75.72155743682019,603196,璞源材料,bottom_area,2022-04-27,5.91,2022-04-27,5.91,0.0,2.8764805414551597,27.03703703703703,False,-10.0457,3.5743,4,4,4,100.0,16.513749660323555,22.85714285714286,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
2,78.98249572673238,78.84684524029745,000012,南玻A,bottom_area,2022-04-27,5.58,2022-04-27,5.37,3.910614525139664,4.096834264432025,29.527559055118108,False,2.5735,3.2656,1,1,1,100.0,46.467991169977914,46.467991169977914,4.089385474860336,3.910614525139664,历史1/1次成功; 当前距低点3.91%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
3,77.3326493201276,76.7400619690155,000605,渤海股份,bottom_area,2022-04-27,5.18,2022-04-27,5.0,3.5999999999999943,5.0,27.849927849927848,False,1.1719,2.9694,2,2,2,100.0,14.666999833416622,20.521739130434778,4.400000000000006,3.5999999999999943,历史2/2次成功; 当前距低点3.60%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
4,76.35412464263435,77.41298448039794,603233,大参林,bottom_area,2022-04-27,23.98,2022-04-27,22.9,4.716157205240183,5.327510917030579,31.53961136023917,False,1.0961,0.7202,3,3,3,100.0,15.300123163148118,20.223978919631097,3.283842794759817,4.716157205240183,历史3/3次成功; 当前距低点4.72%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
5,75.59357664499348,75.21411803150122,002375,亚厦股份,bottom_area,2022-04-27,4.44,2022-04-27,4.28,3.738317757009349,4.205607476635507,28.187919463087248,False,0.4525,1.2191,1,1,1,100.0,24.825174825174827,24.825174825174827,4.261682242990651,3.738317757009349,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
6,75.39194618212925,76.54670794774088,002722,物产金轮,bottom_area,2022-04-27,12.25,2022-04-27,11.69,4.790419161676651,4.961505560307956,27.61609907120743,False,1.9135,0.8665,1,1,1,100.0,44.886363636363626,44.886363636363626,3.2095808383233497,4.790419161676651,历史1/1次成功; 当前距低点4.79%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
7,73.75151450674355,74.82132242989108,688258,卓易信息,bottom_area,2022-04-27,22.94,2022-04-27,21.9,4.7488584474885975,5.6164383561643865,28.196721311475414,False,4.2254,0.8706,2,2,2,100.0,18.433976828844497,19.85157699443413,3.2511415525114025,4.7488584474885975,历史2/2次成功; 当前距低点4.75%; 最新日涨幅4.23%; 状态bottom_area; 底部未确认
8,73.4091901840491,67.97147239263805,601086,国芳集团,bottom_area,2022-04-27,4.24,2022-04-27,4.24,0.0,2.8301886792452855,27.022375215146287,False,-9.9788,6.4128,1,1,1,100.0,24.846625766871185,24.846625766871185,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
9,72.79779966774326,71.9935304460822,603215,比依股份,bottom_area,2022-04-27,15.11,2022-04-27,14.61,3.4223134839151266,5.407255304585907,27.059410883674495,False,-6.9008,27.4341,2,2,2,100.0,19.658092416175784,28.59723058398555,4.577686516084873,3.4223134839151266,历史2/2次成功; 当前距低点3.42%; 最新日涨幅-6.90%; 状态bottom_area; 底部未确认
10,71.68515943061291,71.62008241745335,688060,云涌科技,bottom_area,2022-04-27,40.5,2022-04-27,38.96,3.952772073921969,4.4147843942505105,28.11808118081181,False,1.8356,0.7012,1,1,1,100.0,8.131197559115177,8.131197559115177,4.0472279260780315,3.952772073921969,历史1/1次成功; 当前距低点3.95%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
11,70.45846234676007,65.2393169877408,603116,红蜻蜓,bottom_area,2022-04-27,5.0,2022-04-27,5.0,0.0,2.2000000000000064,28.97727272727273,False,-9.9099,3.0432,1,1,1,100.0,10.157618213660246,10.157618213660246,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
12,70.00983912405341,68.4744940667776,002144,宏达高科,bottom_area,2022-04-27,8.67,2022-04-27,8.43,2.8469750889679744,5.338078291814959,30.560131795716643,False,-7.4707,10.7012,1,1,1,100.0,10.352673492605236,10.352673492605236,5.153024911032025,2.8469750889679744,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-7.47%; 状态bottom_area; 底部未确认
13,69.93682056243117,70.3894612396123,002353,杰瑞股份,bottom_area,2022-04-27,29.36,2022-04-27,28.14,4.335465529495377,5.543710021321957,31.499513145082762,False,-1.3109,2.5044,2,2,2,100.0,12.012487348719185,15.024390243902431,3.6645344705046234,4.335465529495377,历史2/2次成功; 当前距低点4.34%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
14,68.21864180137193,67.46040910400461,600156,华升股份,bottom_area,2022-04-27,3.63,2022-04-27,3.51,3.4188034188034218,4.273504273504284,28.803245436105477,False,-6.9231,8.7279,1,1,1,100.0,11.910112359550567,11.910112359550567,4.581196581196578,3.4188034188034218,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-6.92%; 状态bottom_area; 底部未确认
15,67.39869582491664,67.47387563063322,002481,双塔食品,confirmed_rebound,2022-04-27,7.18,2022-04-27,6.9,4.057971014492744,8.405797101449277,31.68316831683168,False,-1.6438,5.0814,1,1,1,100.0,19.817470664928287,19.817470664928287,3.942028985507256,4.057971014492744,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.64%; 状态confirmed_rebound; 底部未确认
16,67.04960086640911,68.08195468914649,002479,富春环保,bottom_area,2022-04-27,4.59,2022-04-27,4.38,4.794520547945204,7.305936073059367,28.66449511400651,False,-5.7495,1.7495,1,1,1,100.0,32.11538461538461,32.11538461538461,3.205479452054796,4.794520547945204,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
17,66.586468166607,67.79190610107226,603208,江山欧派,bottom_area,2022-04-27,48.5,2022-04-27,46.22,4.932929467762876,7.680657723929045,32.52554744525548,False,-3.2515,1.7946,2,2,2,100.0,15.58594240629895,20.717539863325737,3.067070532237124,4.932929467762876,历史2/2次成功; 当前距低点4.93%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
