rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.67550494543488,80.36726229109348,002910,庄园牧场,bottom_area,2026-01-06,11.27,16.01,2025-12-31,11.03,2.1758839528558496,3.173164097914791,31.105559025609004,29.606495940037487,False,0.805,7.8724,1,1,1,100.0,33.37783711615487,33.37783711615487,17.82411604714415,2.1758839528558496,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
2,85.89744026608997,74.32200202038615,000692,惠天热电,bottom_area,2026-01-06,3.48,4.77,2025-12-17,3.41,2.0527859237536608,6.744868035190615,28.511530398322844,27.0440251572327,False,0.578,2.7681,3,5,3,60.0,36.0341608954005,59.042553191489375,17.94721407624634,2.0527859237536608,历史3/5次成功; 当前距低点2.05%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,84.31230121687484,75.9082738829661,688656,浩欧博,bottom_area,2026-01-06,157.94,209.43,2026-01-05,151.53,4.230185441826699,6.909522866759057,27.64646898725111,24.585780451702245,False,0.6051,1.4452,1,1,1,100.0,34.5865413458654,34.5865413458654,15.769814558173302,4.230185441826699,历史1/1次成功; 当前距低点4.23%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
4,84.11341229408481,75.18276109876037,601699,潞安环能,bottom_area,2026-01-06,12.19,16.14,2025-12-31,11.74,3.8330494037478644,4.258943781942079,27.261462205700127,24.4733581164808,False,2.351,1.1825,1,1,1,100.0,25.817815802717657,25.817815802717657,16.166950596252136,3.8330494037478644,历史1/1次成功; 当前距低点3.83%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
5,81.882722659828,71.57768121455629,601566,九牧王,bottom_area,2026-01-06,13.35,18.68,2026-01-06,13.01,2.6133743274404297,3.9200614911606437,30.35331905781585,28.533190578158457,False,1.6756,5.6864,2,3,2,66.66666666666666,30.373699002439853,38.914728682170555,17.38662567255957,2.6133743274404297,历史2/3次成功; 当前距低点2.61%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
6,74.42300610016471,63.64833208267817,600250,南京商旅,bottom_area,2026-01-06,11.46,16.08,2025-12-31,11.3,1.415929203539824,2.6548672566371585,29.726368159203968,28.731343283582078,False,0.1748,5.1139,2,7,2,28.57142857142857,38.937445980985316,53.93258426966293,18.58407079646018,1.415929203539824,历史2/7次成功; 当前距低点1.42%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
7,70.19008227342981,60.53894596083321,001330,博纳影业,bottom_area,2026-01-06,7.59,10.97,2026-01-06,7.45,1.879194630872479,2.550335570469792,32.087511394712855,30.811303555150417,False,1.0652,6.7095,1,4,1,25.0,35.637149028077765,35.637149028077765,18.12080536912752,1.879194630872479,历史1/4次成功; 当前距低点1.88%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
8,68.64519438160922,61.25093710899213,300705,九典制药,bottom_area,2026-01-06,15.54,20.66,2025-12-30,14.98,3.7383177570093373,3.871829105473966,27.49273959341723,24.782187802516944,False,0.3228,2.3471,1,2,1,50.0,41.42097631706138,41.42097631706138,16.261682242990663,3.7383177570093373,历史1/2次成功; 当前距低点3.74%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
9,65.31721557872548,59.63745770231456,603322,超讯通信,bottom_area,2026-01-06,39.9,55.31,2025-12-26,38.0,4.9999999999999964,5.736842105263157,31.29632977761707,27.861146266497926,False,0.2513,6.2078,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,15.000000000000005,4.9999999999999964,历史3/7次成功; 当前距低点5.00%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
10,63.05531937930872,57.55265725071161,600161,天坛生物,bottom_area,2026-01-06,16.86,22.08,2025-12-24,16.06,4.981320049813205,5.479452054794537,27.264492753623188,23.641304347826082,False,1.2005,0.5904,1,2,1,50.0,36.77455357142857,36.77455357142857,15.018679950186797,4.981320049813205,历史1/2次成功; 当前距低点4.98%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
11,55.0526148644258,50.16827409432673,002728,特一药业,bottom_area,2026-01-06,11.36,15.05,2025-12-30,10.83,4.893813481071093,6.1865189289012,28.039867109634553,24.518272425249176,False,-0.3509,8.9355,1,4,1,25.0,39.3073593073593,39.3073593073593,15.106186518928908,4.893813481071093,历史1/4次成功; 当前距低点4.89%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
