rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.68161711436484,84.00921975247772,688196,卓越新能,bottom_area,2024-12-30,33.27,2024-12-30,32.88,1.1861313868613155,3.588807785888077,31.29962390305056,False,-2.2046,1.0007,4,4,4,100.0,13.298921045814655,19.41979522184301,6.813868613138685,1.1861313868613155,历史4/4次成功; 当前距低点1.19%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
2,88.20670269349685,85.0815669791942,300607,拓斯达,bottom_area,2024-12-30,26.92,2024-12-30,26.36,2.124430955993939,3.945371775417296,27.542605827377685,False,-0.9566,7.5351,5,5,5,100.0,30.565965370217143,59.90836197021764,5.8755690440060615,2.124430955993939,历史5/5次成功; 当前距低点2.12%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
3,87.65721285308457,83.18099799685113,300536,农尚环境,confirmed_rebound,2024-12-30,5.56,2024-12-30,5.49,1.2750455373406082,12.386156648451726,31.116687578419068,False,-9.8865,4.0986,6,6,6,100.0,30.366138827890936,60.27027027027027,6.724954462659392,1.2750455373406082,历史6/6次成功; 当前距低点1.28%; 最新日涨幅-9.89%; 状态confirmed_rebound; 底部未确认
4,87.33966104551621,83.46661404995301,603319,美湖股份,bottom_area,2024-12-30,20.43,2024-12-30,20.1,1.6417910447761106,6.41791044776119,28.36778332145402,False,-3.8588,4.8324,4,4,4,100.0,26.182245333561973,43.981481481481474,6.3582089552238905,1.6417910447761106,历史4/4次成功; 当前距低点1.64%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
5,87.06127552230214,82.32324692244894,002374,中锐股份,bottom_area,2024-12-30,2.78,2024-12-30,2.75,1.090909090909084,5.4545454545454515,32.59803921568628,False,-4.1379,2.1186,4,4,4,100.0,13.28236370818097,20.94240837696336,6.909090909090916,1.090909090909084,历史4/4次成功; 当前距低点1.09%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
6,85.39147019943998,81.83109955225419,002146,荣盛发展,bottom_area,2024-12-30,1.71,2024-12-30,1.68,1.7857142857142874,5.952380952380958,29.707112970711304,False,-4.4693,5.0345,5,5,5,100.0,19.153377009047105,33.33333333333333,6.214285714285713,1.7857142857142874,历史5/5次成功; 当前距低点1.79%; 最新日涨幅-4.47%; 状态bottom_area; 底部未确认
7,85.32365088026859,79.5358724450981,002693,双成药业,bottom_area,2024-12-30,17.26,2024-12-30,17.2,0.3488372093023388,4.534883720930239,31.908155186064928,False,-4.1111,3.5308,8,8,8,100.0,29.038824098427074,102.85714285714285,7.651162790697661,0.3488372093023388,历史8/8次成功; 当前距低点0.35%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
8,84.54258953968814,80.25330643814314,000536,华映科技,bottom_area,2024-12-30,4.7,2024-12-30,4.64,1.2931034482758728,5.603448275862084,29.483282674772042,False,-2.0833,2.5269,3,3,3,100.0,11.083775807592168,11.280487804878053,6.706896551724127,1.2931034482758728,历史3/3次成功; 当前距低点1.29%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
9,84.00289903176747,81.83315147271936,000691,亚太实业,confirmed_rebound,2024-12-30,3.5,2024-12-26,3.41,2.63929618768328,8.504398826979473,30.691056910569102,True,-3.5813,4.6107,4,4,4,100.0,30.64917623998521,76.05633802816902,5.3607038123167206,2.63929618768328,历史4/4次成功; 当前距低点2.64%; 最新日涨幅-3.58%; 状态confirmed_rebound; 底部已确认
10,83.64836431404763,81.68176772087207,605337,李子园,confirmed_rebound,2024-12-30,11.53,2024-12-25,11.22,2.762923351158634,9.18003565062388,32.69346130773845,True,-2.6182,2.4351,4,4,4,100.0,21.135661083407342,37.98882681564246,5.2370766488413665,2.762923351158634,历史4/4次成功; 当前距低点2.76%; 最新日涨幅-2.62%; 状态confirmed_rebound; 底部已确认
11,83.62410823100213,81.4588458126123,002178,延华智能,confirmed_rebound,2024-12-30,6.23,2024-12-25,6.07,2.6359143327841865,8.237232289950576,29.663962920046355,True,-2.044,3.1637,5,5,5,100.0,18.38027145892594,29.076086956521735,5.3640856672158135,2.6359143327841865,历史5/5次成功; 当前距低点2.64%; 最新日涨幅-2.04%; 状态confirmed_rebound; 底部已确认
