rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.86918723438036,79.87291613452537,688289,圣湘生物,bottom_area,2023-05-16,18.29,2023-04-26,17.98,1.7241379310344755,12.45828698553948,27.058823529411757,False,0.0547,0.6202,1,1,1,100.0,25.182530200451346,25.182530200451346,18.275862068965527,1.7241379310344755,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,90.79310215128152,80.42975353354507,688206,概伦电子,bottom_area,2023-05-16,27.21,2023-05-15,26.33,3.3421952145841343,5.089251804025839,28.6449864498645,False,0.8151,1.3587,2,2,2,100.0,31.34386356342422,39.570720968629594,16.657804785415866,3.3421952145841343,历史2/2次成功; 当前距低点3.34%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
3,90.4571012286502,78.22278869867164,688181,八亿时空,bottom_area,2023-05-16,33.81,2023-05-15,33.14,2.0217260108630106,3.198551599275806,29.157759726378796,False,-0.7631,0.6217,2,2,2,100.0,25.76518281418983,28.477257745550418,17.97827398913699,2.0217260108630106,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
4,90.36289438511768,77.41531020678923,300661,圣邦股份,bottom_area,2023-05-16,120.91,2023-05-15,119.11,1.5112081269414803,3.584921501133403,30.475134251692737,False,-1.1446,0.8685,1,1,1,100.0,31.832606108687024,31.832606108687024,18.48879187305852,1.5112081269414803,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
5,88.60190828702562,75.88072750022346,002385,大北农,bottom_area,2023-05-16,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,-1.1628,0.756,1,1,1,100.0,23.353293413173663,23.353293413173663,18.507462686567173,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
6,87.66913780386247,75.31334559454282,300762,上海瀚讯,bottom_area,2023-05-16,11.63,2023-05-10,11.44,1.6608391608391722,4.895104895104899,27.50316856780735,False,-3.0025,1.131,1,1,1,100.0,32.580961727183514,32.580961727183514,18.33916083916083,1.6608391608391722,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
7,87.57526146785897,74.79870065880871,300426,华智数媒,bottom_area,2023-05-16,12.06,2023-05-16,11.9,1.3445378151260516,15.96638655462185,30.57176196032672,False,-12.5453,8.3572,1,1,1,100.0,25.936811168258643,25.936811168258643,18.65546218487395,1.3445378151260516,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-12.55%; 状态bottom_area; 底部未确认
8,87.43327552626404,75.52375959079285,000629,钒钛股份,bottom_area,2023-05-16,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-1.1876,0.4451,1,1,1,100.0,27.173913043478265,27.173913043478265,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
9,85.5557153342429,71.53071196167656,600199,金种子酒,bottom_area,2023-05-16,22.39,2023-05-16,22.35,0.17897091722594696,2.4608501118568107,29.002541296060986,False,-2.2698,0.9771,1,1,1,100.0,23.70304114490161,23.70304114490161,19.821029082774054,0.17897091722594696,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
10,85.37631973567855,76.72585562149082,688075,安旭生物,bottom_area,2023-05-16,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.0,0.9444,4,5,4,80.0,31.086542584917854,40.134529147982065,15.870069605568466,4.129930394431535,历史4/5次成功; 当前距低点4.13%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,82.61456877799688,74.12424222797931,688328,深科达,bottom_area,2023-05-16,20.08,2023-05-15,19.3,4.041450777202059,4.870466321243511,30.04711852120333,False,1.568,2.7095,1,1,1,100.0,22.681451612903224,22.681451612903224,15.958549222797942,4.041450777202059,历史1/1次成功; 当前距低点4.04%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
