rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
42,68.5540549767099,67.5779293308203,000726,鲁泰A,bottom_area,2024-09-02,5.4,2024-08-29,5.18,4.247104247104259,6.370656370656372,31.390728476821195,False,-0.7353,0.8873,1,1,1,100.0,12.480252764612954,12.480252764612954,5.752895752895742,4.247104247104259,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
43,68.25689123078308,67.74560365602068,000983,山西焦煤,bottom_area,2024-09-02,7.95,2024-08-26,7.6,4.605263157894744,6.578947368421052,29.95391705069125,False,-0.3759,0.5934,3,4,3,75.0,21.938729333444627,27.212389380530986,5.394736842105257,4.605263157894744,历史3/4次成功; 当前距低点4.61%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
44,64.48517341211104,64.25568880922096,301391,卡莱特,confirmed_rebound,2024-09-02,29.4,2024-08-29,28.05,4.812834224598923,10.873440285204994,30.049875311720697,True,-3.4166,3.2738,1,1,1,100.0,12.790058286594078,12.790058286594078,5.187165775401077,4.812834224598923,历史1/1次成功; 当前距低点4.81%; 最新日涨幅-3.42%; 状态confirmed_rebound; 底部已确认
45,64.24042765115374,61.909564461331236,688202,美迪西,confirmed_rebound,2024-09-02,24.25,2024-08-28,23.53,3.059923501912447,10.412239694007647,29.59305804907241,True,-4.8273,1.7466,3,5,3,60.0,15.355860460707573,23.795418261555337,6.940076498087554,3.059923501912447,历史3/5次成功; 当前距低点3.06%; 最新日涨幅-4.83%; 状态confirmed_rebound; 底部已确认
46,63.707299575447486,60.036522647673415,603282,亚光股份,bottom_area,2024-09-02,12.43,2024-08-26,12.2,1.885245901639348,6.311475409836078,27.164179104477615,False,-2.3566,2.0042,1,2,1,50.0,34.64991023339317,34.64991023339317,8.114754098360653,1.885245901639348,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
47,63.19371957138063,61.99775402804582,002732,燕塘乳业,bottom_area,2024-09-02,13.53,2024-08-23,13.01,3.9969254419677136,5.918524212144502,29.599567099567103,False,-0.8065,0.3803,2,3,2,66.66666666666666,18.30149123153517,25.344352617079892,6.003074558032287,3.9969254419677136,历史2/3次成功; 当前距低点4.00%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
48,58.340657267937786,55.30453419620206,300751,迈为股份,bottom_area,2024-09-02,79.62,2024-08-28,77.91,2.194840200231046,6.738544474393532,27.89449329014345,False,-2.5578,1.6617,1,2,1,50.0,13.004138993165853,13.004138993165853,7.805159799768954,2.194840200231046,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
49,55.91291536736018,53.17248718183484,000625,长安汽车,bottom_area,2024-09-02,11.7,2024-08-29,11.43,2.3622047244094455,6.999125109361335,29.138251704897705,False,-3.2258,1.4129,1,2,1,50.0,13.808139534883724,13.808139534883724,7.6377952755905545,2.3622047244094455,历史1/2次成功; 当前距低点2.36%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
50,52.7306616362786,48.66320216488973,301538,骏鼎达,bottom_area,2024-09-02,66.52,2024-09-02,66.0,0.7878787878787818,7.1212121212121255,31.142410015649446,False,-4.9307,8.6216,1,2,1,50.0,10.10519247985676,10.10519247985676,9.212121212121218,0.7878787878787818,历史1/2次成功; 当前距低点0.79%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
51,50.33491947884421,50.31744814268356,300690,双一科技,bottom_area,2024-09-02,17.28,2024-08-23,16.46,4.981773997569868,9.781287970838392,30.89840470193115,True,-2.3177,5.5605,1,2,1,50.0,11.160714285714286,11.160714285714286,5.018226002430133,4.981773997569868,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
