rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.6005094692389,82.54530690749966,002103,广博股份,bottom_area,2023-11-30,7.33,2023-11-30,7.11,3.0942334739803057,3.938115330520384,28.47082494969818,False,0.9642,15.6957,2,2,2,100.0,39.6782754202944,51.366120218579226,11.905766526019693,3.0942334739803057,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
2,87.59396595702657,76.30771307315582,600048,保利发展,bottom_area,2023-11-30,10.26,2023-11-30,10.25,0.09756097560975402,2.0487804878048865,31.161853593015447,False,-0.8696,0.4868,2,2,2,100.0,31.721247836269217,31.987577639751546,14.902439024390246,0.09756097560975402,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,85.23670769598426,76.69131134243614,300637,扬帆新材,bottom_area,2023-11-30,10.59,2023-11-30,10.4,1.8269230769230722,5.288461538461528,27.221833449965004,False,-2.6654,10.2867,1,1,1,100.0,31.810193321616865,31.810193321616865,13.173076923076927,1.8269230769230722,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
4,83.5265578425078,74.24036632606095,000928,中钢国际,bottom_area,2023-11-30,6.04,2023-10-23,5.97,1.1725293132328356,7.705192629815745,31.06235565819862,True,0.3322,1.228,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,13.827470686767162,1.1725293132328356,历史2/3次成功; 当前距低点1.17%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
5,81.88267913073787,73.10434434284905,688282,理工导航,bottom_area,2023-11-30,40.24,2023-11-30,39.68,1.4112903225806508,14.289314516129037,28.478731074260992,False,-11.0128,13.0613,1,1,1,100.0,17.645625152327572,17.645625152327572,13.588709677419347,1.4112903225806508,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-11.01%; 状态bottom_area; 底部未确认
6,81.74520922564065,72.0008865765791,688303,大全能源,bottom_area,2023-11-30,30.79,2023-11-30,30.58,0.686723348593855,1.667756703727932,27.911362564827918,False,-0.6454,0.9617,1,1,1,100.0,32.45492371705965,32.45492371705965,14.313276651406145,0.686723348593855,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
7,81.46338244458292,73.12581560283688,002137,实益达,bottom_area,2023-11-30,7.17,2023-11-30,7.05,1.7021276595744694,4.539007092198586,27.31958762886598,False,-2.1828,16.7212,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,13.29787234042553,1.7021276595744694,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
8,78.37840008132575,73.30047208396984,300683,海特生物,bottom_area,2023-11-30,37.82,2023-11-27,36.4,3.901098901098906,5.41208791208791,29.51200619674671,False,0.3183,1.8841,1,1,1,100.0,16.532137518684582,16.532137518684582,11.098901098901093,3.901098901098906,历史1/1次成功; 当前距低点3.90%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
9,77.43412756677859,73.6928007590133,000966,长源电力,bottom_area,2023-11-30,4.55,2023-10-24,4.34,4.838709677419354,9.907834101382482,27.424749163879607,True,0.4415,0.689,1,1,1,100.0,20.94117647058823,20.94117647058823,10.161290322580646,4.838709677419354,历史1/1次成功; 当前距低点4.84%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
10,73.96446943859249,69.84905941613673,600009,上海机场,bottom_area,2023-11-30,35.88,2023-10-23,34.36,4.423748544819567,10.593713620488943,29.777232781524628,True,-0.4992,0.3338,3,4,3,75.0,21.829065044759854,27.704918032786885,10.576251455180433,4.423748544819567,历史3/4次成功; 当前距低点4.42%; 最新日涨幅-0.50%; 状态bottom_area; 底部已确认
11,68.17812926913165,64.3031646514405,300511,雪榕生物,bottom_area,2023-11-30,5.75,2023-10-30,5.51,4.355716878402908,8.34845735027223,27.212681638044923,True,-0.519,1.5549,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,10.644283121597093,4.355716878402908,历史2/3次成功; 当前距低点4.36%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
