rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.08831611742869,76.1164498447432,000301,东方盛虹,confirmed_rebound,2022-10-25,13.48,2022-10-25,13.47,0.07423904974016174,8.76020786933927,28.465215082315442,False,-9.9532,2.0356,4,4,4,100.0,17.503843430918035,28.337639965546952,7.925760950259838,0.07423904974016174,历史4/4次成功; 当前距低点0.07%; 最新日涨幅-9.95%; 状态confirmed_rebound; 底部未确认
2,80.86254013190113,77.26036251134644,600346,恒力石化,bottom_area,2022-10-25,15.58,2022-10-25,15.33,1.6307893020221786,2.7397260273972597,28.994905048633623,False,-0.6378,0.2675,2,2,2,100.0,15.798721075037673,23.443421765024375,6.369210697977821,1.6307893020221786,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
3,79.78835083583117,77.95413587408794,002551,尚荣医疗,bottom_area,2022-10-25,4.42,2022-10-25,4.3,2.7906976744186074,5.581395348837215,28.925619834710748,False,-2.4283,6.6329,2,2,2,100.0,33.746917052485834,52.61780104712043,5.209302325581393,2.7906976744186074,历史2/2次成功; 当前距低点2.79%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
4,78.41056344200183,78.06208434095804,601919,中远海控,confirmed_rebound,2022-10-25,11.29,2022-10-10,10.88,3.768382352941161,8.915441176470578,28.13738441215323,True,1.3465,0.6185,2,2,2,100.0,24.8601941164725,40.45881126173098,4.231617647058839,3.768382352941161,历史2/2次成功; 当前距低点3.77%; 最新日涨幅1.35%; 状态confirmed_rebound; 底部已确认
5,78.06750264797527,74.24847972100235,000401,金隅冀东,bottom_area,2022-10-25,8.01,2022-10-25,7.9,1.392405063291132,3.164556962025316,27.12177121771217,False,-1.5971,0.6338,1,1,1,100.0,13.350340136054426,13.350340136054426,6.607594936708868,1.392405063291132,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
6,74.86188468476844,73.38939731076378,300433,蓝思科技,confirmed_rebound,2022-10-25,9.37,2022-10-10,9.1,2.9670329670329623,8.901098901098907,29.94611239414935,True,-0.1066,0.2959,2,2,2,100.0,12.388346643005029,14.217687074829932,5.032967032967038,2.9670329670329623,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-0.11%; 状态confirmed_rebound; 底部已确认
7,74.58272384516168,73.2704178537512,600126,杭钢股份,bottom_area,2022-10-25,4.02,2022-10-11,3.9,3.076923076923068,7.179487179487174,31.698774080560423,True,-0.495,0.1858,1,1,1,100.0,19.54732510288064,19.54732510288064,4.923076923076932,3.076923076923068,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
8,74.18717411532688,74.57404287014813,603030,全筑股份,bottom_area,2022-10-25,2.93,2022-10-25,2.81,4.270462633451961,4.62633451957295,27.577319587628864,False,1.7361,4.3117,1,1,1,100.0,27.906976744186036,27.906976744186036,3.7295373665480387,4.270462633451961,历史1/1次成功; 当前距低点4.27%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
9,73.95180464942177,71.66998178506375,000703,恒逸石化,bottom_area,2022-10-25,6.91,2022-10-25,6.75,2.3703703703703725,3.2592592592592555,30.34055727554179,False,-0.7184,0.8943,1,1,1,100.0,11.475409836065575,11.475409836065575,5.629629629629627,2.3703703703703725,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
10,73.26552166277264,68.95974261188425,002677,浙江美大,bottom_area,2022-10-25,10.66,2022-10-25,10.57,0.8514664143803203,1.9867549668874083,29.486324216144094,False,-1.2048,0.4675,1,1,1,100.0,18.124118476727787,18.124118476727787,7.148533585619679,0.8514664143803203,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
11,71.25090400806491,72.2695606727861,002225,濮耐股份,bottom_area,2022-10-25,4.2,2022-10-12,4.01,4.738154613466344,7.980049875311729,29.52548330404219,True,0.2387,1.3059,1,1,1,100.0,12.056737588652476,12.056737588652476,3.261845386533656,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
