rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,75.98637513292616,69.26716380777793,001330,博纳影业,bottom_area,2023-10-16,7.01,2023-10-16,7.0,0.14285714285713982,1.7142857142857157,31.70731707317073,False,-1.5449,0.5881,1,1,1,100.0,11.090742438130146,11.090742438130146,9.85714285714286,0.14285714285713982,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
18,75.64322572604021,73.26747349153739,002177,御银股份,bottom_area,2023-10-16,4.04,2023-09-28,3.91,3.3248081841432193,6.3938618925831205,27.992633517495392,False,-1.2225,2.0946,2,2,2,100.0,15.096968555827523,19.574468085106382,6.675191815856782,3.3248081841432193,历史2/2次成功; 当前距低点3.32%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
19,75.5630008672221,74.08752889349572,000058,深赛格,bottom_area,2023-10-16,7.08,2023-09-22,6.81,3.9647577092511086,7.782672540381795,27.16577540106952,True,-1.8031,2.2208,1,1,1,100.0,34.82352941176472,34.82352941176472,6.035242290748892,3.9647577092511086,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
20,75.3183514589216,69.26063063063063,000965,天保基建,bottom_area,2023-10-16,3.35,2023-10-16,3.33,0.6006006006006012,3.003003003003006,27.45098039215686,False,-1.4706,1.6965,1,1,1,100.0,16.666666666666664,16.666666666666664,9.3993993993994,0.6006006006006012,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
21,74.62892731547339,68.51467964438993,601156,东航物流,bottom_area,2023-10-16,11.71,2023-10-16,11.65,0.5150214592274721,3.1759656652360446,28.52760736196319,False,-2.2538,0.8421,1,1,1,100.0,11.607142857142852,11.607142857142852,9.484978540772529,0.5150214592274721,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
22,73.68089419221242,67.94104710887629,000524,岭南控股,bottom_area,2023-10-16,8.12,2023-10-16,8.06,0.7444168734491157,9.181141439205957,28.035714285714274,False,-9.375,3.0424,1,1,1,100.0,21.550094517958406,21.550094517958406,9.255583126550885,0.7444168734491157,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-9.38%; 状态bottom_area; 底部未确认
23,72.44355664729723,70.65693280632411,300512,中亚股份,bottom_area,2023-10-16,7.87,2023-08-25,7.59,3.6890645586297794,9.090909090909085,28.260869565217394,True,-1.9925,0.6371,1,1,1,100.0,12.999999999999995,12.999999999999995,6.310935441370222,3.6890645586297794,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
24,67.81544954899083,62.539190316346236,000428,华天酒店,bottom_area,2023-10-16,4.03,2023-10-16,4.0,0.7500000000000062,2.499999999999991,28.571428571428566,False,-1.467,1.7001,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,9.249999999999995,0.7500000000000062,历史2/3次成功; 当前距低点0.75%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
25,59.05900462710399,55.78506166387959,603191,望变电气,bottom_area,2023-10-16,15.25,2023-09-21,14.95,2.006688963210707,5.819397993311044,29.046037019458954,False,-1.803,1.7277,1,2,1,50.0,13.281249999999995,13.281249999999995,7.993311036789294,2.006688963210707,历史1/2次成功; 当前距低点2.01%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
26,56.98382273809527,52.05190476190478,002069,獐子岛,bottom_area,2023-10-16,4.0,2023-10-16,3.99,0.25062656641603476,1.5037593984962307,29.50530035335689,False,-0.2494,0.7891,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,9.749373433583965,0.25062656641603476,历史1/3次成功; 当前距低点0.25%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
