rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.69225839934303,84.06517662151583,002813,路畅科技,bottom_area,2025-05-28,23.14,2025-05-26,22.73,1.8037835459744838,6.203255609326881,29.409937888198762,False,0.434,7.5562,4,5,4,80.0,42.031199496439,85.16388729154689,6.196216454025516,1.8037835459744838,历史4/5次成功; 当前距低点1.80%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
2,85.94072378688985,80.27136719109845,002819,东方中科,bottom_area,2025-05-28,28.85,2025-05-28,28.72,0.4526462395543265,3.7604456824512598,29.538763493621197,False,-2.4679,5.478,5,5,5,100.0,24.050540953130696,51.677148846960186,7.547353760445674,0.4526462395543265,历史5/5次成功; 当前距低点0.45%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
3,85.51164558443261,80.19084613485484,688010,福光股份,bottom_area,2025-05-28,30.48,2025-05-28,30.28,0.6605019815059421,3.0713342140026407,32.1988356471115,False,-2.1509,1.6928,4,4,4,100.0,26.1655411434859,42.08955223880597,7.339498018494058,0.6605019815059421,历史4/4次成功; 当前距低点0.66%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
4,83.38999089585204,79.45870087359452,002042,华孚时尚,bottom_area,2025-05-28,4.77,2025-05-27,4.7,1.4893617021276466,3.617021276595743,27.469135802469136,False,-1.2422,1.2838,2,2,2,100.0,25.88411588411589,42.41758241758243,6.510638297872354,1.4893617021276466,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
5,79.94572651020923,77.94090909090907,301058,中粮科工,confirmed_rebound,2025-05-28,10.73,2025-04-30,10.45,2.6794258373205855,8.038277511961722,29.77150537634409,True,-1.2879,0.9391,1,1,1,100.0,57.794273594909875,57.794273594909875,5.3205741626794145,2.6794258373205855,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-1.29%; 状态confirmed_rebound; 底部已确认
6,79.91289356915017,73.99341997143534,002490,山东墨龙,bottom_area,2025-05-28,3.95,2025-05-26,3.95,0.0,3.0379746835443067,28.828828828828822,False,-2.2277,3.4437,3,3,3,100.0,13.674300921695417,14.885496183206094,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
7,79.86840987745296,74.74980806222264,688280,精进电动,bottom_area,2025-05-28,7.22,2025-05-28,7.18,0.5571030640668528,7.799442896935941,28.62823061630219,False,-4.8748,6.039,3,3,3,100.0,22.526898109113223,32.37518910741301,7.442896935933148,0.5571030640668528,历史3/3次成功; 当前距低点0.56%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
8,79.69183041312812,74.04937202003292,002304,洋河股份,bottom_area,2025-05-28,65.66,2025-05-28,65.54,0.18309429356116924,1.38846505950564,31.010526315789466,False,-1.0847,0.5045,2,2,2,100.0,20.62810220081931,20.781426953567394,7.816905706438831,0.18309429356116924,历史2/2次成功; 当前距低点0.18%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
9,78.74440517234643,73.32761460677212,300727,润禾材料,bottom_area,2025-05-28,27.15,2025-05-28,27.07,0.29553010712965755,2.918359807905427,32.661691542288565,False,-1.6304,1.2275,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,7.704469892870343,0.29553010712965755,历史6/7次成功; 当前距低点0.30%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
10,77.51053029176514,72.62009014412808,002041,登海种业,bottom_area,2025-05-28,9.86,2025-05-26,9.8,0.6122448979591706,2.142857142857133,27.72861356932153,False,-1.4,0.7223,2,2,2,100.0,18.2043468358871,21.395106715252467,7.38775510204083,0.6122448979591706,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
11,73.85572575087187,73.60113488869935,001299,美能能源,bottom_area,2025-05-28,10.87,2025-04-29,10.47,3.8204393505252967,7.163323782234957,31.11842105263157,True,-0.1837,2.5846,2,2,2,100.0,13.772777461812025,15.247322794492616,4.179560649474704,3.8204393505252967,历史2/2次成功; 当前距低点3.82%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
12,71.28285261050362,66.00264130602187,301392,汇成真空,bottom_area,2025-05-28,101.01,2025-05-28,101.01,0.0,5.623205623205616,29.834676298971935,False,-4.3013,6.609,1,1,1,100.0,14.261512397967028,14.261512397967028,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
