rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.29843761714099,82.61633079524945,002245,蔚蓝锂芯,bottom_area,2023-05-25,10.7,2023-05-25,10.58,1.1342155009451722,3.0245746691871482,30.303030303030305,False,-1.1091,1.4735,3,3,3,100.0,21.840549125830286,25.653923541247494,6.865784499054827,1.1342155009451722,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
2,85.55001652308619,82.95364269141531,688077,大地熊,bottom_area,2023-05-25,26.48,2023-05-22,25.86,2.3975251353441647,3.3642691415313264,32.83116883116883,False,0.7994,0.8791,1,1,1,100.0,53.68518518518518,53.68518518518518,5.602474864655836,2.3975251353441647,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
3,84.94767926791077,80.65403784163547,600409,三友化工,bottom_area,2023-05-25,5.44,2023-05-25,5.37,1.3035381750465602,3.351955307262564,27.432432432432435,False,-1.8051,0.7994,3,3,3,100.0,13.366155272804479,18.95551257253386,6.69646182495344,1.3035381750465602,历史3/3次成功; 当前距低点1.30%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
4,84.4042737743233,82.06953694737217,601369,陕鼓动力,bottom_area,2023-05-25,9.28,2023-05-10,9.05,2.541436464088383,7.182320441988933,32.31114435302916,True,-0.1076,0.727,3,3,3,100.0,26.957054223084292,55.572755417956664,5.458563535911617,2.541436464088383,历史3/3次成功; 当前距低点2.54%; 最新日涨幅-0.11%; 状态bottom_area; 底部已确认
5,84.24741563423677,81.07521507917389,601598,中国外运,bottom_area,2023-05-25,4.58,2023-05-25,4.49,2.0044543429844066,2.2271714922048917,27.110389610389607,False,0.8811,1.0518,2,2,2,100.0,18.41597301708783,18.82640586797067,5.995545657015594,2.0044543429844066,历史2/2次成功; 当前距低点2.00%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
6,83.81799695881085,80.75539991032092,002405,四维图新,bottom_area,2023-05-25,11.37,2023-05-16,11.14,2.0646319569120166,4.039497307001789,27.75616083009079,False,0.1762,0.7903,2,2,2,100.0,17.434197699356595,23.478260869565215,5.935368043087983,2.0646319569120166,历史2/2次成功; 当前距低点2.06%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
7,82.9676680827551,82.50989506316526,688075,安旭生物,bottom_area,2023-05-25,67.05,2023-05-10,64.65,3.712296983758687,7.6566125290023015,30.37906525953047,True,-0.6519,2.1329,5,5,5,100.0,27.010388097500325,40.134529147982065,4.287703016241313,3.712296983758687,历史5/5次成功; 当前距低点3.71%; 最新日涨幅-0.65%; 状态bottom_area; 底部已确认
8,82.39548536373665,79.80591296659065,002837,英维克,bottom_area,2023-05-25,27.12,2023-05-25,26.5,2.339622641509438,6.905660377358484,27.337537702221,False,1.2318,3.3943,2,2,2,100.0,15.700282737807376,19.202722411278558,5.660377358490562,2.339622641509438,历史2/2次成功; 当前距低点2.34%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
9,82.32101695051094,77.70863354037267,000629,钒钛股份,bottom_area,2023-05-25,4.03,2023-05-25,3.99,1.0025062656641612,3.0075187969924837,32.60135135135135,False,-2.1845,0.8793,1,1,1,100.0,27.173913043478265,27.173913043478265,6.997493734335839,1.0025062656641612,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
10,81.69531998233835,77.78652397428604,000928,中钢国际,bottom_area,2023-05-25,8.39,2023-05-25,8.27,1.4510278113663966,3.5066505441354408,32.10180623973727,False,-1.4101,2.4965,2,2,2,100.0,16.424018194631294,18.798449612403097,6.548972188633603,1.4510278113663966,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
11,80.6959104409123,76.28752822723739,000798,中水渔业,bottom_area,2023-05-25,10.3,2023-05-25,10.19,1.0794896957801885,7.556427870461251,28.390723822909354,False,-8.363,5.6225,2,2,2,100.0,14.025616847399025,17.3015873015873,6.920510304219812,1.0794896957801885,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-8.36%; 状态bottom_area; 底部未确认
12,80.67613198241446,77.20134973633779,601068,中铝国际,bottom_area,2023-05-25,5.35,2023-05-25,5.26,1.711026615969579,3.041825095057037,29.773030707610154,False,-0.9259,0.6148,2,2,2,100.0,16.46500226208832,18.6700767263427,6.288973384030422,1.711026615969579,历史2/2次成功; 当前距低点1.71%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
13,79.93214050252611,76.3579390979416,002132,恒星科技,bottom_area,2023-05-25,3.76,2023-05-23,3.7,1.621621621621611,3.51351351351351,28.155339805825246,False,-0.5291,0.7143,2,2,2,100.0,10.834604275477771,11.088295687885012,6.37837837837839,1.621621621621611,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
14,79.76525669586226,75.22346272029714,002570,贝因美,bottom_area,2023-05-25,4.24,2023-05-25,4.2,0.9523809523809532,2.3809523809523725,27.209705372616977,False,-1.3953,1.1843,3,3,3,100.0,19.703716622181236,35.05154639175259,7.0476190476190474,0.9523809523809532,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
15,79.01457815137361,78.77840396732441,001332,锡装股份,bottom_area,2023-05-25,44.03,2023-05-24,42.4,3.8443396226415154,3.9622641509433953,32.290003193867776,False,2.3002,2.8288,2,2,2,100.0,28.620958639500337,31.086142322097377,4.155660377358485,3.8443396226415154,历史2/2次成功; 当前距低点3.84%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
16,78.86888414042974,75.85720609229453,002567,唐人神,bottom_area,2023-05-25,6.71,2023-05-25,6.58,1.9756838905775058,4.559270516717322,29.323308270676694,False,-2.0438,2.3793,2,2,2,100.0,12.482609477479864,13.8187221396731,6.024316109422494,1.9756838905775058,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
17,78.71499681649689,74.63725415070243,600386,北巴传媒,bottom_area,2023-05-25,4.1,2023-05-25,4.05,1.2345679012345634,2.962962962962966,28.822495606326896,False,-1.6787,3.3355,1,1,1,100.0,13.505747126436788,13.505747126436788,6.765432098765436,1.2345679012345634,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
18,78.51335951244124,74.46370762953453,000572,海马汽车,bottom_area,2023-05-25,4.06,2023-05-25,4.01,1.246882793017452,2.743142144638412,31.918505942275043,False,-0.2457,0.726,1,1,1,100.0,12.723658051689855,12.723658051689855,6.753117206982548,1.246882793017452,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
19,77.31000249218387,73.91972369848529,688289,圣湘生物,confirmed_rebound,2023-05-25,18.28,2023-04-26,17.98,1.668520578420471,12.45828698553948,27.058823529411757,False,-0.1093,0.7079,1,1,1,100.0,25.182530200451346,25.182530200451346,6.331479421579529,1.668520578420471,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.11%; 状态confirmed_rebound; 底部未确认
20,76.82682519588366,74.80306234551766,000518,四环生物,confirmed_rebound,2023-05-25,2.75,2023-04-25,2.68,2.6119402985074567,9.328358208955223,27.956989247311824,True,-1.0791,0.527,2,2,2,100.0,15.635947452229296,17.834394904458602,5.388059701492544,2.6119402985074567,历史2/2次成功; 当前距低点2.61%; 最新日涨幅-1.08%; 状态confirmed_rebound; 底部已确认
