rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.85545534305203,80.7564005870884,002564,天沃科技,bottom_area,2026-03-31,6.06,8.27,2026-03-27,5.99,1.1686143572620935,4.0066777963272155,27.569528415961297,26.723095525997582,False,-0.6557,1.4475,2,2,2,100.0,28.92925441745143,29.903536977491967,18.831385642737906,1.1686143572620935,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
2,94.11797911637238,80.95325134852907,300643,万通智控,bottom_area,2026-03-31,16.48,23.66,2026-03-23,16.2,1.7283950617284023,7.839506172839504,31.53000845308538,30.34657650042265,True,-1.8463,1.7889,2,2,2,100.0,27.655871447687197,31.090289608177173,18.271604938271597,1.7283950617284023,历史2/2次成功; 当前距低点1.73%; 最新日涨幅-1.85%; 状态bottom_area; 底部已确认
3,91.94424378788095,80.22362855254464,603610,麒盛科技,bottom_area,2026-03-31,15.51,20.92,2026-03-30,15.13,2.5115664243225315,7.73298083278255,27.67686424474188,25.860420650095612,True,-2.1451,1.9468,1,1,1,100.0,82.78301886792451,82.78301886792451,17.48843357567747,2.5115664243225315,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
4,89.04579564759348,77.7927555382822,600611,大众交通,bottom_area,2026-03-31,4.77,6.6,2026-03-23,4.65,2.5806451612903056,7.3118279569892435,29.545454545454536,27.727272727272727,False,0.2101,0.9758,1,1,1,100.0,24.497991967871478,24.497991967871478,17.419354838709694,2.5806451612903056,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,88.38117134208001,77.4984151693612,000567,海德股份,bottom_area,2026-03-31,5.17,7.02,2026-03-23,5.03,2.7833001988071504,7.355864811133203,28.347578347578338,26.35327635327635,True,-1.711,0.4446,1,1,1,100.0,38.67924528301886,38.67924528301886,17.21669980119285,2.7833001988071504,历史1/1次成功; 当前距低点2.78%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
6,87.18804901587187,76.39085841716246,688377,迪威尔,bottom_area,2026-03-31,36.38,50.95,2026-03-27,35.41,2.739339169726083,5.930528099406952,30.500490677134458,28.596663395485773,False,-2.0727,0.5925,1,1,1,100.0,41.37931034482759,41.37931034482759,17.26066083027392,2.739339169726083,历史1/1次成功; 当前距低点2.74%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
7,86.94343048689532,77.88341840490799,688568,中科星图,bottom_area,2026-03-31,61.0,80.75,2026-03-30,58.68,3.953646898432175,7.873210633946826,27.3312693498452,24.458204334365323,True,1.1273,1.7425,1,1,1,100.0,32.62222222222222,32.62222222222222,16.046353101567824,3.953646898432175,历史1/1次成功; 当前距低点3.95%; 最新日涨幅1.13%; 状态bottom_area; 底部已确认
8,86.68993086303794,74.68170434294466,300542,新晨科技,bottom_area,2026-03-31,15.15,21.7,2026-03-27,14.88,1.8145161290322551,4.973118279569881,31.428571428571423,30.18433179723502,False,-1.751,1.2074,5,7,5,71.42857142857143,32.75853135174146,61.233480176211465,18.185483870967744,1.8145161290322551,历史5/7次成功; 当前距低点1.81%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
9,86.18541428533145,72.00280369508818,601628,中国人寿,bottom_area,2026-03-31,36.34,50.7,2026-03-31,36.29,0.1377790024800338,2.700468448608443,28.422090729783044,28.323471400394475,False,-0.9269,0.1253,1,1,1,100.0,25.736235595390532,25.736235595390532,19.862220997519966,0.1377790024800338,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
10,85.51191754523283,75.78852986217458,688007,光峰科技,bottom_area,2026-03-31,13.5,19.18,2026-03-23,13.06,3.3690658499234263,7.963246554364464,31.9082377476538,29.614181438998955,True,-2.1739,1.2107,1,1,1,100.0,36.66666666666667,36.66666666666667,16.630934150076577,3.3690658499234263,历史1/1次成功; 当前距低点3.37%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
11,85.41191588498849,76.11521035665324,300993,玉马科技,bottom_area,2026-03-31,12.15,16.22,2026-03-23,11.72,3.668941979522182,7.679180887372001,27.74352651048088,25.092478421701596,True,-0.978,0.9754,1,1,1,100.0,42.09891435464416,42.09891435464416,16.33105802047782,3.668941979522182,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
