rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.70660380455914,80.48138711264141,000917,电广传媒,bottom_area,2024-03-27,6.49,2024-03-27,6.42,1.0903426791277304,4.984423676012466,29.98909487459106,False,-1.2177,9.2078,1,1,1,100.0,43.157894736842124,43.157894736842124,8.90965732087227,1.0903426791277304,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
2,85.31619964142998,77.82714818805178,300454,深信服,bottom_area,2024-03-27,61.22,2024-03-27,61.11,0.18000327278677702,7.871052200949112,28.35033415406262,False,-7.1017,4.5663,4,4,4,100.0,17.782557258094812,29.49391262831224,9.819996727213223,0.18000327278677702,历史4/4次成功; 当前距低点0.18%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
3,84.46469017943816,79.0822837920692,603011,合锻智能,bottom_area,2024-03-27,7.89,2024-03-26,7.77,1.5444015444015458,5.662805662805679,30.251346499102343,False,-0.3788,7.6589,1,1,1,100.0,41.201716738197426,41.201716738197426,8.455598455598455,1.5444015444015458,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
4,84.10523444384049,77.92564685705767,002553,南方精工,confirmed_rebound,2024-03-27,11.16,2024-03-27,11.05,0.9954751131221666,14.932126696832565,29.841269841269835,False,-8.749,17.485,4,4,4,100.0,38.5232801880441,83.5926449787836,9.004524886877833,0.9954751131221666,历史4/4次成功; 当前距低点1.00%; 最新日涨幅-8.75%; 状态confirmed_rebound; 底部未确认
5,80.8033694831437,76.56638312842938,688050,爱博医疗,bottom_area,2024-03-27,122.25,2024-03-26,119.65,2.1730045967404883,4.4295862933556185,29.910374319020562,False,1.5281,1.6349,1,1,1,100.0,12.90770757525636,12.90770757525636,7.826995403259512,2.1730045967404883,历史1/1次成功; 当前距低点2.17%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
6,80.74246967469169,75.76418533502627,603356,华菱精工,bottom_area,2024-03-27,12.86,2024-03-27,12.65,1.6600790513833916,9.090909090909093,31.95266272189349,False,-5.0923,10.184,3,4,3,75.0,39.16218049559353,53.658536585365866,8.339920948616609,1.6600790513833916,历史3/4次成功; 当前距低点1.66%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
7,80.67895592493036,73.34450538630033,688095,福昕软件,bottom_area,2024-03-27,64.47,2024-03-27,64.47,0.0,7.46083449666512,28.91951488423374,False,-6.0204,3.867,3,3,3,100.0,20.400566593012503,31.679509356817103,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
8,75.47538941633617,70.30220806794055,300536,农尚环境,confirmed_rebound,2024-03-27,15.9,2024-03-27,15.7,1.2738853503184782,10.063694267515935,28.636363636363637,False,-5.1878,5.8413,2,3,2,66.66666666666666,53.97590503889715,60.27027027027027,8.726114649681522,1.2738853503184782,历史2/3次成功; 当前距低点1.27%; 最新日涨幅-5.19%; 状态confirmed_rebound; 底部未确认
9,74.46888405797102,67.69898550724638,002862,实丰文化,bottom_area,2024-03-27,13.17,2024-03-27,13.17,0.0,5.5429005315110125,27.277747101049144,False,-5.2518,13.3457,1,1,1,100.0,23.381642512077295,23.381642512077295,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.25%; 状态bottom_area; 底部未确认
10,73.54009783837392,67.72381707759246,002857,三晖电气,bottom_area,2024-03-27,11.9,2024-03-27,11.82,0.6768189509306266,4.90693739424704,29.72651605231867,False,-3.4874,2.4971,1,1,1,100.0,19.55357142857144,19.55357142857144,9.323181049069373,0.6768189509306266,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
11,72.9938511430458,67.05158597711709,300727,润禾材料,bottom_area,2024-03-27,25.84,2024-03-27,25.7,0.5447470817120645,4.669260700389103,28.57142857142857,False,-4.4379,5.3134,3,4,3,75.0,18.487146900110744,26.812499999999993,9.455252918287936,0.5447470817120645,历史3/4次成功; 当前距低点0.54%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
