rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.17687850544996,82.75142132639395,300721,怡达股份,bottom_area,2024-07-31,11.67,2024-07-31,11.25,3.733333333333333,3.999999999999994,27.976952624839946,False,1.7437,5.7885,5,5,5,100.0,15.2872114322255,22.270742358078603,4.2666666666666675,3.733333333333333,历史5/5次成功; 当前距低点3.73%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
2,77.68478276303934,77.53916929956597,001203,大中矿业,bottom_area,2024-07-31,8.52,2024-07-30,8.2,3.9024390243902474,3.9024390243902474,29.492691315563206,False,2.5271,0.6466,2,2,2,100.0,22.670592877288865,29.46341463414634,4.097560975609753,3.9024390243902474,历史2/2次成功; 当前距低点3.90%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
3,75.21681195435626,73.86902621292741,002293,罗莱生活,bottom_area,2024-07-31,7.41,2024-07-30,7.19,3.059805285118216,3.3379694019471393,29.78515625,False,1.9257,0.2484,1,1,1,100.0,9.27624872579001,9.27624872579001,4.940194714881784,3.059805285118216,历史1/1次成功; 当前距低点3.06%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
4,73.45704956925655,74.35918502724473,603367,辰欣药业,bottom_area,2024-07-31,13.32,2024-07-30,12.73,4.634721131186173,4.8703849175176686,27.048710601719193,False,3.2558,0.7873,1,1,1,100.0,31.216931216931226,31.216931216931226,3.365278868813827,4.634721131186173,历史1/1次成功; 当前距低点4.63%; 最新日涨幅3.26%; 状态bottom_area; 底部未确认
5,72.78277127686187,72.60737867473462,000726,鲁泰A,bottom_area,2024-07-31,5.63,2024-07-30,5.42,3.8745387453874534,3.8745387453874534,28.211920529801326,False,2.925,1.1505,1,1,1,100.0,12.480252764612954,12.480252764612954,4.125461254612547,3.8745387453874534,历史1/1次成功; 当前距低点3.87%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
6,72.52163581030234,72.40796728144188,000786,北新建材,bottom_area,2024-07-31,25.99,2024-07-30,25.01,3.9184326269492074,4.358256697321071,31.479452054794514,False,2.1619,1.0366,1,1,1,100.0,11.946202531645568,11.946202531645568,4.081567373050793,3.9184326269492074,历史1/1次成功; 当前距低点3.92%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
