rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.1692250374287,79.17185426502442,603151,邦基科技,bottom_area,2025-11-19,19.03,2025-11-19,18.82,1.1158342189160513,3.613177470775769,30.218761586948457,False,-2.4103,2.2054,1,1,1,100.0,36.42987249544626,36.42987249544626,13.884165781083949,1.1158342189160513,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
2,87.06681137748699,75.94573594767057,603809,豪能股份,bottom_area,2025-11-19,12.06,2025-11-19,12.04,0.16611295681064245,2.4086378737541607,29.176470588235297,False,-1.9512,1.4635,2,2,2,100.0,30.615448866660387,31.661442006269603,14.833887043189357,0.16611295681064245,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
3,86.33493317060751,75.71001135268568,002790,瑞尔特,bottom_area,2025-11-19,8.9,2025-11-19,8.86,0.45146726862303527,3.273137697516941,32.9803328290469,False,-1.8743,4.2928,1,1,1,100.0,49.512670565302145,49.512670565302145,14.548532731376964,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
4,84.84191312015768,74.00208786050263,688608,恒玄科技,bottom_area,2025-11-19,207.67,2025-11-19,207.33,0.16398977475520907,5.13191530410456,28.01041666666666,False,-2.8944,2.2817,1,1,1,100.0,36.80636853195971,36.80636853195971,14.836010225244792,0.16398977475520907,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
5,83.7812779644502,74.24127422636259,688411,海博思创,bottom_area,2025-11-19,308.0,2025-11-19,304.92,1.0101010101010048,5.965499147317328,28.424215394004833,False,-4.3478,10.856,1,1,1,100.0,18.84034693221972,18.84034693221972,13.989898989898993,1.0101010101010048,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
6,82.50219807761704,72.61922012525389,603173,福斯达,bottom_area,2025-11-19,38.65,2025-11-19,38.4,0.6510416666666667,3.072916666666666,30.041901985789764,False,-2.0527,4.7975,1,1,1,100.0,35.34190927555856,35.34190927555856,14.348958333333334,0.6510416666666667,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
7,81.00107142857142,70.43571428571428,000691,亚太实业,bottom_area,2025-11-19,9.03,2025-11-19,9.03,0.0,2.657807308970102,30.10835913312694,False,-4.9474,7.068,5,7,5,71.42857142857143,53.774755448539025,127.39965095986037,15.0,0.0,历史5/7次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
8,80.52344564918603,73.83991210309556,002678,珠江钢琴,bottom_area,2025-11-19,5.06,2025-11-03,4.92,2.8455284552845463,7.113821138211375,29.613733905579405,True,-2.8791,1.6454,3,4,3,75.0,23.939338608302766,35.5191256830601,12.154471544715454,2.8455284552845463,历史3/4次成功; 当前距低点2.85%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
9,77.11991534709553,68.52611127224199,002338,奥普光电,bottom_area,2025-11-19,50.71,2025-11-18,50.13,1.1569918212647083,2.533413125872723,28.742004264392314,False,-0.2165,1.4111,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,13.84300817873529,1.1569918212647083,历史2/3次成功; 当前距低点1.16%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
10,76.1714364330638,67.4252380952381,600094,大名城,bottom_area,2025-11-19,4.24,2025-11-19,4.2,0.9523809523809532,2.3809523809523725,29.054054054054053,False,-0.9346,1.6753,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,14.047619047619047,0.9523809523809532,历史2/3次成功; 当前距低点0.95%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
11,74.90074733102618,69.30190207511357,002062,宏润建设,bottom_area,2025-11-19,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.5219,2.0627,2,3,2,66.66666666666666,26.875948363286994,33.22683706070288,11.673819742489263,3.326180257510735,历史2/3次成功; 当前距低点3.33%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
12,74.7329040519566,65.19484837818345,605333,沪光股份,bottom_area,2025-11-19,29.06,2025-11-19,29.01,0.1723543605653125,1.5511892450878981,27.256770310932797,False,-0.853,0.4315,3,5,3,60.0,26.224818926195436,29.01840490797546,14.827645639434687,0.1723543605653125,历史3/5次成功; 当前距低点0.17%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
13,73.73098140051437,65.13637121092802,002123,梦网科技,bottom_area,2025-11-19,11.91,2025-11-13,11.81,0.8467400508044001,3.217612193056723,31.93083573487032,False,-1.6515,1.7868,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,14.153259949195599,0.8467400508044001,历史2/3次成功; 当前距低点0.85%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
14,73.24685669885709,65.03267453023143,300563,神宇股份,bottom_area,2025-11-19,36.3,2025-11-19,35.9,1.1142061281337008,4.6518105849582225,30.29126213592233,False,-2.9152,3.9997,2,4,2,50.0,18.72615323858206,20.477137176938378,13.885793871866298,1.1142061281337008,历史2/4次成功; 当前距低点1.11%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
15,71.46758516626026,62.656887559287064,300669,沪宁股份,bottom_area,2025-11-19,27.5,2025-11-19,27.38,0.4382761139517933,2.9218407596786,29.758850692662904,False,-1.9258,0.7665,2,3,2,66.66666666666666,18.061776518443477,19.86588432523052,14.561723886048206,0.4382761139517933,历史2/3次成功; 当前距低点0.44%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
16,69.57792785480774,62.04484175009064,002468,申通快递,bottom_area,2025-11-19,14.29,2025-11-18,14.1,1.3475177304964505,4.1843971631205665,29.745889387145,False,0.07,1.1304,1,2,1,50.0,16.382699868938413,16.382699868938413,13.65248226950355,1.3475177304964505,历史1/2次成功; 当前距低点1.35%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
