rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.22094163678808,75.91180211159596,300510,金冠股份,bottom_area,2025-08-29,4.65,2025-08-28,4.57,1.7505470459518613,5.68927789934354,27.8041074249605,False,-2.9228,7.5661,3,4,3,75.0,30.849727829925854,40.000000000000014,18.249452954048138,1.7505470459518613,历史3/4次成功; 当前距低点1.75%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
2,87.56529489319094,79.47579439252337,002097,山河智能,bottom_area,2025-08-29,15.68,2025-08-28,14.98,4.672897196261677,7.009345794392528,28.59866539561487,True,0.836,7.3614,1,1,1,100.0,50.210970464135016,50.210970464135016,15.327102803738324,4.672897196261677,历史1/1次成功; 当前距低点4.67%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
3,83.23922848664688,69.3660237388724,600658,电子城,bottom_area,2025-08-29,6.31,2025-08-29,6.31,0.0,7.92393026941363,29.101123595505623,False,-5.6801,6.9537,1,1,1,100.0,32.344213649851625,32.344213649851625,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
4,80.16920008375408,71.53723186552168,000026,飞亚达,bottom_area,2025-08-29,17.47,2025-08-28,16.84,3.741092636579567,8.966745843230413,27.0047680970958,False,-0.6257,3.0384,1,1,1,100.0,27.564102564102562,27.564102564102562,16.258907363420434,3.741092636579567,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
5,77.37528931863768,68.62115074609109,002795,永和智控,bottom_area,2025-08-29,4.86,2025-08-28,4.7,3.404255319148939,5.957446808510643,31.884057971014496,False,-0.8163,4.5181,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,16.595744680851062,3.404255319148939,历史4/6次成功; 当前距低点3.40%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
6,75.31519896771691,66.04903021885097,300665,飞鹿股份,bottom_area,2025-08-29,9.58,2025-08-28,9.32,2.7896995708154484,6.115879828326183,27.470817120622566,False,-1.5416,10.4717,3,5,3,60.0,23.062071184463395,23.50486787204451,17.210300429184553,2.7896995708154484,历史3/5次成功; 当前距低点2.79%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
7,69.10381442576829,59.26045291307044,300486,东杰智能,bottom_area,2025-08-29,20.12,2025-08-29,19.81,1.5648662291771949,11.559818273599207,27.169117647058826,False,-7.024,14.9636,2,5,2,40.0,25.098644707496998,28.358208955223873,18.435133770822805,1.5648662291771949,历史2/5次成功; 当前距低点1.56%; 最新日涨幅-7.02%; 状态bottom_area; 底部未确认
8,67.75773841256837,58.495004070122405,300902,国安达,bottom_area,2025-08-29,23.77,2025-08-28,23.32,1.9296740994854171,5.0600343053173225,29.37613567534828,False,-1.1642,7.4493,1,2,1,50.0,26.906779661016937,26.906779661016937,18.070325900514582,1.9296740994854171,历史1/2次成功; 当前距低点1.93%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,67.00468791828108,59.425294117647056,002826,易明医药,bottom_area,2025-08-29,20.04,2025-08-28,19.38,3.405572755417958,6.243550051599592,27.76742452478569,False,-1.5233,4.6381,1,2,1,50.0,50.0,50.0,16.594427244582043,3.405572755417958,历史1/2次成功; 当前距低点3.41%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
10,64.28971894372252,56.64139960769381,002041,登海种业,bottom_area,2025-08-29,9.82,2025-06-23,9.53,3.04302203567682,7.345225603357829,29.719764011799416,True,-0.6073,2.2185,1,2,1,50.0,21.395106715252467,21.395106715252467,16.95697796432318,3.04302203567682,历史1/2次成功; 当前距低点3.04%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
11,63.81272252419903,57.18072854830003,603080,新疆火炬,bottom_area,2025-08-29,21.21,2025-08-28,20.4,3.9705882352941293,4.852941176470598,29.655172413793107,False,0.5213,2.7876,1,2,1,50.0,22.385321100917427,22.385321100917427,16.029411764705873,3.9705882352941293,历史1/2次成功; 当前距低点3.97%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
12,63.55446028787911,54.43943625673499,603221,爱丽家居,bottom_area,2025-08-29,12.16,2025-08-28,11.98,1.502504173622702,2.754590984974959,31.931818181818183,False,-1.2185,1.6528,1,4,1,25.0,20.699708454810505,20.699708454810505,18.4974958263773,1.502504173622702,历史1/4次成功; 当前距低点1.50%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
13,63.47321109242876,53.26629674985013,603767,中马传动,bottom_area,2025-08-29,28.88,2025-08-29,28.77,0.3823427181091395,9.141466805700379,29.17282127031019,False,-9.3534,12.77,1,2,1,50.0,29.881925522252505,29.881925522252505,19.617657281890864,0.3823427181091395,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-9.35%; 状态bottom_area; 底部未确认
