rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
18,80.94400122311521,76.69833060031124,688182,灿勤科技,bottom_area,2023-05-10,16.88,2023-05-10,16.68,1.199040767386087,4.856115107913662,28.687473279179137,False,-0.7643,3.7045,1,1,1,100.0,24.15130940834142,24.15130940834142,6.800959232613914,1.199040767386087,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
19,80.7352929609008,76.4708976166069,688328,深科达,bottom_area,2023-05-10,19.74,2023-05-10,19.51,1.178882624295217,1.6914402870322822,29.285973178687925,False,-0.5542,1.539,1,1,1,100.0,22.681451612903224,22.681451612903224,6.821117375704783,1.178882624295217,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
20,80.67328967791781,77.57869066727817,600114,东睦股份,bottom_area,2023-05-10,7.26,2023-05-10,7.12,1.9662921348314562,2.5280898876404456,27.04918032786885,False,1.3966,1.3917,1,1,1,100.0,15.816326530612232,15.816326530612232,6.0337078651685445,1.9662921348314562,历史1/1次成功; 当前距低点1.97%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
21,80.64652073201809,78.80243650363374,300762,上海瀚讯,bottom_area,2023-05-10,11.76,2023-05-10,11.44,2.7972027972028,2.9720279720279708,27.50316856780735,False,0.8576,1.541,1,1,1,100.0,32.580961727183514,32.580961727183514,5.2027972027972,2.7972027972028,历史1/1次成功; 当前距低点2.80%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
22,80.58490788488531,78.71070919181035,300661,圣邦股份,bottom_area,2023-05-10,122.9,2023-04-25,119.58,2.7763840107041373,6.790433182806494,30.20079383609619,False,0.0,0.5839,1,1,1,100.0,31.832606108687024,31.832606108687024,5.223615989295863,2.7763840107041373,历史1/1次成功; 当前距低点2.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
23,79.8760200269588,79.82727054876109,002309,中利集团,bottom_area,2023-05-10,3.93,2023-05-10,3.78,3.9682539682539777,4.497354497354507,31.021897810218984,False,1.2887,1.466,3,3,3,100.0,19.11230965795784,30.136986301369873,4.031746031746023,3.9682539682539777,历史3/3次成功; 当前距低点3.97%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
24,79.75847209878933,75.95524542156562,002385,大北农,bottom_area,2023-05-10,6.95,2023-04-25,6.85,1.4598540145985481,4.963503649635047,30.73811931243681,False,-0.2869,0.8802,1,1,1,100.0,23.353293413173663,23.353293413173663,6.540145985401452,1.4598540145985481,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
25,79.72817880108657,75.71068208885426,001309,德明利,bottom_area,2023-05-10,63.32,2023-05-10,62.5,1.3120000000000005,4.783999999999992,27.325581395348834,False,-1.2785,7.2705,1,1,1,100.0,20.226032735775533,20.226032735775533,6.688,1.3120000000000005,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
26,79.46169863278607,77.46981909596953,605305,中际联合,bottom_area,2023-05-10,32.95,2023-05-10,32.09,2.679962605172949,4.3627298223745665,31.43162393162392,False,-0.4832,3.3077,3,3,3,100.0,13.118999117009956,15.395207931699245,5.320037394827051,2.679962605172949,历史3/3次成功; 当前距低点2.68%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
27,79.42172962651992,76.32892138345022,002748,世龙实业,bottom_area,2023-05-10,10.01,2023-04-26,9.82,1.934826883910382,3.9714867617108,29.857142857142854,False,0.603,0.3292,1,1,1,100.0,8.711433756805816,8.711433756805816,6.0651731160896185,1.934826883910382,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
28,79.29930602179648,76.35824072014192,301326,捷邦科技,bottom_area,2023-05-10,32.09,2023-05-10,31.45,2.0349761526232246,3.7201907790143025,29.452669358456706,False,1.4223,4.1358,1,1,1,100.0,10.096700796359514,10.096700796359514,5.965023847376775,2.0349761526232246,历史1/1次成功; 当前距低点2.03%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
