rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.8614197437244,78.34912161263095,002678,珠江钢琴,bottom_area,2025-10-29,5.1,2025-10-29,5.09,0.1964636542239644,4.125736738703339,27.181688125894137,False,-7.6087,5.0069,4,4,4,100.0,20.79063841000859,35.5191256830601,9.803536345776036,0.1964636542239644,历史4/4次成功; 当前距低点0.20%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
2,79.02135779150245,77.74327463777155,300563,神宇股份,bottom_area,2025-10-29,38.2,2025-10-23,36.68,4.143947655398046,6.27044711014176,28.776699029126213,False,-0.1307,3.7757,4,4,4,100.0,15.86814673160799,20.477137176938378,5.856052344601954,4.143947655398046,历史4/4次成功; 当前距低点4.14%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
3,77.83891653295183,76.51182680845558,603305,旭升集团,bottom_area,2025-10-29,14.99,2025-10-23,14.4,4.0972222222222205,5.416666666666662,29.064039408867,False,1.1471,3.0131,5,6,5,83.33333333333334,22.312688934349005,32.41061130334487,5.9027777777777795,4.0972222222222205,历史5/6次成功; 当前距低点4.10%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
4,76.9347423044596,74.47486631016045,601619,嘉泽新能,bottom_area,2025-10-29,4.39,2025-10-29,4.25,3.2941176470588163,3.5294117647058907,28.451178451178453,False,-0.4535,2.9784,1,1,1,100.0,37.878787878787875,37.878787878787875,6.705882352941184,3.2941176470588163,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
5,76.69467921217303,75.85993788819879,301009,可靠股份,bottom_area,2025-10-29,13.45,2025-09-23,12.88,4.425465838509305,9.627329192546572,30.566037735849054,True,-0.5178,2.5416,1,1,1,100.0,53.96648044692738,53.96648044692738,5.574534161490696,4.425465838509305,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
6,72.05078131815878,71.49278882005106,600706,曲江文旅,bottom_area,2025-10-29,10.25,2025-10-13,9.8,4.59183673469387,6.632653061224475,31.420573827851634,False,-0.9662,3.3135,2,2,2,100.0,21.086970834156286,24.578313253012034,5.40816326530613,4.59183673469387,历史2/2次成功; 当前距低点4.59%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
7,71.1317401245575,70.65353223242195,301498,乖宝宠物,bottom_area,2025-10-29,73.43,2025-10-28,70.17,4.6458600541542046,4.859626621063128,30.901033973412105,False,1.1154,2.1966,1,1,1,100.0,11.430608365019017,11.430608365019017,5.354139945845796,4.6458600541542046,历史1/1次成功; 当前距低点4.65%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
8,69.94993928076649,64.80578150196865,002123,梦网科技,bottom_area,2025-10-29,12.22,2025-10-29,12.1,0.9917355371900909,2.1487603305785106,30.25936599423632,False,-2.3962,4.0519,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,9.008264462809908,0.9917355371900909,历史2/3次成功; 当前距低点0.99%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
9,69.16159352419066,69.00858114913714,605488,福莱新材,bottom_area,2025-10-29,31.57,2025-10-23,30.1,4.8837209302325535,6.312292358803982,27.64423076923077,False,-0.848,1.8851,1,1,1,100.0,27.975617581007374,27.975617581007374,5.116279069767447,4.8837209302325535,历史1/1次成功; 当前距低点4.88%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
10,66.8476348873936,62.91047592630419,300459,汤姆猫,bottom_area,2025-10-29,4.49,2025-10-17,4.41,1.8140589569161012,4.988662131519268,29.326923076923077,False,-0.6637,2.3691,3,6,3,50.0,15.895324452004822,19.047619047619044,8.1859410430839,1.8140589569161012,历史3/6次成功; 当前距低点1.81%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
11,63.08743587257427,62.93156821136962,000428,华天酒店,bottom_area,2025-10-29,3.23,2025-10-13,3.08,4.870129870129867,8.766233766233766,28.70370370370371,True,-0.6154,1.7423,3,5,3,60.0,22.610023200353346,28.045977011494273,5.129870129870134,4.870129870129867,历史3/5次成功; 当前距低点4.87%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
12,58.093259862501455,53.73344999743973,002453,华软科技,bottom_area,2025-10-29,6.68,2025-10-23,6.62,0.9063444108761269,6.495468277945616,32.17213114754098,False,-0.2985,4.0218,1,2,1,50.0,28.60169491525425,28.60169491525425,9.093655589123873,0.9063444108761269,历史1/2次成功; 当前距低点0.91%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
