rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.48492239645745,79.5050380972653,688075,安旭生物,bottom_area,2022-12-27,85.45,2022-12-27,85.0,0.5294117647058857,4.494117647058816,28.499327052489903,False,-4.0858,7.6159,4,4,4,100.0,31.086542584917854,40.134529147982065,19.470588235294116,0.5294117647058857,历史4/4次成功; 当前距低点0.53%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
2,89.45819480869888,76.49631860126271,002795,永和智控,bottom_area,2022-12-27,8.64,2022-12-27,8.52,1.408450704225364,5.633802816901413,30.731707317073177,False,-1.8182,3.1337,1,1,1,100.0,25.632183908045985,25.632183908045985,18.591549295774637,1.408450704225364,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,87.30779358234035,75.01679852664698,000919,金陵药业,bottom_area,2022-12-27,7.91,2022-12-27,7.78,1.6709511568123379,4.241645244215928,30.22421524663677,False,-2.3457,3.2156,1,1,1,100.0,20.8955223880597,20.8955223880597,18.32904884318766,1.6709511568123379,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
4,86.49162739710115,75.96058630912559,000411,英特集团,bottom_area,2022-12-27,12.19,2022-12-27,11.85,2.8691983122362856,7.42616033755275,29.840142095914747,False,-4.5419,5.3524,2,2,2,100.0,34.206228285076975,47.98426745329401,17.130801687763718,2.8691983122362856,历史2/2次成功; 当前距低点2.87%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
5,81.89076456549391,72.4718151536477,603289,泰瑞机器,bottom_area,2022-12-27,9.11,2022-12-23,8.82,3.287981859410421,5.555555555555558,29.888712241653415,False,-1.1931,1.5512,1,1,1,100.0,27.034482758620705,27.034482758620705,16.712018140589578,3.287981859410421,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
6,80.59595292302858,72.39370992643718,002395,双象股份,bottom_area,2022-12-27,10.15,2022-12-20,9.75,4.102564102564106,5.641025641025648,28.62371888726208,False,-0.6849,0.8008,1,1,1,100.0,36.59976387249114,36.59976387249114,15.897435897435896,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
7,78.57708706593448,70.5337060841991,001332,锡装股份,bottom_area,2022-12-27,58.35,2022-12-23,56.07,4.06634563937935,5.796326021045122,32.874416377349455,False,-1.1017,4.6935,1,1,1,100.0,26.155774956903304,26.155774956903304,15.933654360620652,4.06634563937935,历史1/1次成功; 当前距低点4.07%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
8,66.21352204245959,58.339170896785134,002269,美邦服饰,bottom_area,2022-12-27,2.03,2022-12-23,1.97,3.0456852791878086,7.61421319796955,27.30627306273063,True,-1.9324,3.439,1,3,1,33.33333333333333,173.50993377483442,173.50993377483442,16.954314720812192,3.0456852791878086,历史1/3次成功; 当前距低点3.05%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
9,66.03118766322602,57.326363636363666,002693,双成药业,bottom_area,2022-12-27,7.31,2022-12-27,7.15,2.2377622377622273,8.25174825174825,27.77777777777778,False,-5.5556,5.4929,1,2,1,50.0,34.61538461538462,34.61538461538462,17.762237762237774,2.2377622377622273,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
10,62.33817283095605,54.93580578082759,300542,新晨科技,bottom_area,2022-12-27,11.8,2022-12-23,11.45,3.056768558951978,4.716157205240183,27.89672544080605,False,-1.1725,1.6561,1,2,1,50.0,21.587301587301592,21.587301587301592,16.943231441048024,3.056768558951978,历史1/2次成功; 当前距低点3.06%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
11,61.30301163854545,51.71022555806935,002838,道恩股份,bottom_area,2022-12-27,18.22,2022-12-27,18.1,0.6629834254143504,4.309392265193356,27.830940988835717,False,-3.5469,2.966,1,2,1,50.0,24.95606326889279,24.95606326889279,19.33701657458565,0.6629834254143504,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
12,58.93188023276344,52.92162498887316,688167,炬光科技,bottom_area,2022-12-27,96.47,2022-12-26,92.68,4.089339663357781,7.682347863616734,27.423649177760375,False,-0.0207,2.7967,1,2,1,50.0,23.41569581359622,23.41569581359622,15.910660336642222,4.089339663357781,历史1/2次成功; 当前距低点4.09%; 最新日涨幅-0.02%; 状态bottom_area; 底部未确认
13,56.273961161452284,50.02705575307029,605266,健之佳,bottom_area,2022-12-27,71.45,2022-12-27,69.01,3.535719460947685,5.796261411389653,27.035314019877344,False,-0.7639,2.706,1,3,1,33.33333333333333,20.511627906976745,20.511627906976745,16.464280539052318,3.535719460947685,历史1/3次成功; 当前距低点3.54%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
