rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.20729103649155,86.24337288749604,002219,新里程,bottom_area,2024-06-25,1.88,2024-06-24,1.86,1.0752688172042901,5.376344086021498,28.735632183908038,False,0.0,0.6083,2,2,2,100.0,34.81175156302061,45.685279187817265,13.92473118279571,1.0752688172042901,历史2/2次成功; 当前距低点1.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,97.1772275631089,87.2672210992911,603368,柳药集团,bottom_area,2024-06-25,17.7,2024-06-24,17.4,1.7241379310344869,3.3333333333333446,27.800829875518684,False,0.2833,1.5584,3,3,3,100.0,31.603524634675978,42.85714285714285,13.275862068965512,1.7241379310344869,历史3/3次成功; 当前距低点1.72%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,96.04945278304812,85.13812732307602,301332,德尔玛,bottom_area,2024-06-25,8.86,2024-06-24,8.77,1.0262257696693258,4.332953249714946,30.507131537242472,False,0.6818,1.019,1,1,1,100.0,44.935064935064936,44.935064935064936,13.973774230330674,1.0262257696693258,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
4,95.30070643196156,84.75658380396793,601908,京运通,bottom_area,2024-06-25,2.52,2024-06-24,2.49,1.2048192771084258,4.0160642570280976,28.857142857142854,False,0.0,0.6367,2,2,2,100.0,28.406299762231964,40.33898305084744,13.795180722891573,1.2048192771084258,历史2/2次成功; 当前距低点1.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,93.11162737775703,83.97121951219513,002687,乔治白,bottom_area,2024-06-25,4.18,2024-06-24,4.1,1.9512195121951237,2.926829268292686,29.914529914529915,False,1.2107,1.25,1,1,1,100.0,64.00000000000001,64.00000000000001,13.048780487804876,1.9512195121951237,历史1/1次成功; 当前距低点1.95%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
6,90.09711045066244,80.80163751681721,600231,凌钢股份,bottom_area,2024-06-25,1.23,2024-06-25,1.21,1.6528925619834725,3.305785123966945,31.25,False,0.0,0.37,1,1,1,100.0,29.302325581395344,29.302325581395344,13.347107438016526,1.6528925619834725,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,90.04509764496537,80.08653685418574,002240,盛新锂能,bottom_area,2024-06-25,13.41,2024-06-25,13.25,1.2075471698113218,2.6415094339622613,30.664573521716378,False,0.6757,1.2415,3,4,3,75.0,24.16529248040619,33.42198581560282,13.792452830188678,1.2075471698113218,历史3/4次成功; 当前距低点1.21%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
8,90.03378766832034,81.89269076305222,000718,苏宁环球,bottom_area,2024-06-25,1.7,2024-06-24,1.66,2.40963855421687,4.81927710843374,32.24489795918368,False,1.7964,1.11,2,2,2,100.0,27.77777777777778,36.111111111111114,12.59036144578313,2.40963855421687,历史2/2次成功; 当前距低点2.41%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
9,89.94549560265283,80.5884375,002315,焦点科技,bottom_area,2024-06-25,26.01,2024-06-25,25.6,1.6015625000000004,5.156250000000001,27.60180995475113,False,-2.4381,2.7847,1,1,1,100.0,57.129586623316285,57.129586623316285,13.398437499999998,1.6015625000000004,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
10,89.80683302896925,79.58034188673355,688017,绿的谐波,bottom_area,2024-06-25,82.02,2024-06-24,81.2,1.00985221674876,8.0911330049261,28.033324470442256,False,0.2689,2.1802,3,4,3,75.0,19.02045667161674,22.08643815201191,13.990147783251238,1.00985221674876,历史3/4次成功; 当前距低点1.01%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
11,89.14802535033856,79.5575287356322,601388,怡球资源,bottom_area,2024-06-25,2.19,2024-06-24,2.16,1.3888888888888797,4.629629629629613,27.27272727272727,False,0.9217,0.701,3,4,3,75.0,23.544061302681985,35.632183908045974,13.611111111111118,1.3888888888888797,历史3/4次成功; 当前距低点1.39%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
12,89.1040037412415,80.70736999798336,002483,润邦股份,bottom_area,2024-06-25,4.21,2024-06-24,4.12,2.1844660194174725,3.6407766990291135,29.452054794520542,False,1.6908,1.2421,1,1,1,100.0,35.31157270029672,35.31157270029672,12.815533980582527,2.1844660194174725,历史1/1次成功; 当前距低点2.18%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
13,88.5728224236026,80.90064449064447,001218,丽臣实业,bottom_area,2024-06-25,14.81,2024-06-24,14.43,2.633402633402639,5.959805959805956,27.121212121212125,False,1.3689,1.1254,2,2,2,100.0,25.18711018711019,29.999999999999993,12.366597366597361,2.633402633402639,历史2/2次成功; 当前距低点2.63%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
14,88.16894013463943,78.14436054905374,002761,浙江建投,bottom_area,2024-06-25,7.92,2024-06-25,7.84,1.020408163265307,2.5510204081632564,31.826086956521742,False,0.3802,1.4201,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,13.979591836734691,1.020408163265307,历史4/6次成功; 当前距低点1.02%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
15,87.87287279302649,78.21229810671572,000034,神州数码,bottom_area,2024-06-25,21.92,2024-06-25,21.65,1.247113163972301,4.8036951501154865,30.985017532674537,False,-2.8369,3.921,2,2,2,100.0,16.213527529960025,16.910866910866908,13.752886836027697,1.247113163972301,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
16,87.58010364459237,77.62448822910022,603233,大参林,bottom_area,2024-06-25,14.83,2024-06-25,14.68,1.0217983651226181,2.792915531335151,27.862407862407867,False,-0.7363,0.8428,4,5,4,80.0,20.29133602999884,27.64192139737992,13.978201634877383,1.0217983651226181,历史4/5次成功; 当前距低点1.02%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
17,87.356283005424,78.79338618003993,603180,金牌家居,bottom_area,2024-06-25,19.25,2024-06-24,18.88,1.95974576271187,4.661016949152557,28.403488813045136,False,1.6904,0.4537,3,4,3,75.0,26.433368381844026,31.366822429906527,13.04025423728813,1.95974576271187,历史3/4次成功; 当前距低点1.96%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
18,87.28930930820145,78.31974097324101,001212,中旗新材,bottom_area,2024-06-25,20.0,2024-06-25,19.67,1.6776817488561173,3.8129130655821046,31.103327495621713,False,-0.448,1.9008,3,4,3,75.0,42.90244817544601,82.06521739130437,13.322318251143884,1.6776817488561173,历史3/4次成功; 当前距低点1.68%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
19,87.27894797773953,79.68045015774145,000524,岭南控股,bottom_area,2024-06-25,7.87,2024-06-24,7.67,2.60756192959583,3.3898305084745735,28.116213683223997,False,2.474,0.9819,2,2,2,100.0,18.31016858720398,21.550094517958406,12.392438070404168,2.60756192959583,历史2/2次成功; 当前距低点2.61%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
20,87.2102762112939,78.87437078439966,300755,华致酒行,bottom_area,2024-06-25,14.07,2024-06-24,13.78,2.104499274310602,4.354136429608138,27.05134992059291,False,1.005,0.4126,1,1,1,100.0,24.47650069799908,24.47650069799908,12.895500725689397,2.104499274310602,历史1/1次成功; 当前距低点2.10%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
21,87.15140070377268,80.298831268457,600162,香江控股,bottom_area,2024-06-25,1.33,2024-06-24,1.29,3.1007751937984525,4.651162790697678,32.81249999999999,False,3.1008,0.5685,2,2,2,100.0,27.68063822751323,28.90624999999999,11.899224806201547,3.1007751937984525,历史2/2次成功; 当前距低点3.10%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
22,86.32266620717131,75.90286466707572,000717,中南股份,bottom_area,2024-06-25,1.69,2024-06-24,1.68,0.5952380952380958,4.1666666666666705,29.411764705882355,False,-0.5882,0.8668,2,2,2,100.0,35.64520174311065,56.020942408376975,14.404761904761903,0.5952380952380958,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
23,86.25317483951603,78.56049393229725,001308,康冠科技,bottom_area,2024-06-25,21.88,2024-06-24,21.35,2.482435597189684,5.62060889929742,28.66688940862011,False,2.2908,2.7867,1,1,1,100.0,27.421758569299566,27.421758569299566,12.517564402810317,2.482435597189684,历史1/1次成功; 当前距低点2.48%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
24,85.45279271373036,76.45862730784035,000516,国际医学,bottom_area,2024-06-25,4.65,2024-06-25,4.58,1.5283842794759888,3.9301310043668063,28.100470957613815,False,-1.0638,0.971,1,1,1,100.0,26.89969604863221,26.89969604863221,13.47161572052401,1.5283842794759888,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
25,84.53794762400474,74.91655702305103,000722,湖南发展,bottom_area,2024-06-25,8.97,2024-06-25,8.88,1.0135135135135118,3.9414414414414374,28.73194221508828,False,-3.9615,2.4217,3,4,3,75.0,26.67939695624636,36.6412213740458,13.986486486486488,1.0135135135135118,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
