rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.26723778242669,83.30261517385811,002795,永和智控,bottom_area,2023-06-01,9.2,2023-06-01,9.07,1.4332965821389085,2.7563395810363835,31.287878787878782,False,-0.9688,2.071,3,3,3,100.0,29.196405274918448,31.302270011947446,13.566703417861092,1.4332965821389085,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
2,91.46272766716147,81.67401468850028,603327,福蓉科技,bottom_area,2023-06-01,11.41,2023-06-01,11.25,1.4222222222222236,2.3999999999999964,27.419354838709676,False,0.2636,0.3071,3,4,3,75.0,35.33162018906968,52.609776304888165,13.577777777777774,1.4222222222222236,历史3/4次成功; 当前距低点1.42%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,91.12605295622639,80.87346981691857,001332,锡装股份,bottom_area,2023-06-01,42.58,2023-06-01,42.12,1.0921177587844275,2.0655270655270765,32.73714468221016,False,-0.1875,1.635,2,2,2,100.0,28.620958639500337,31.086142322097377,13.907882241215571,1.0921177587844275,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,90.59993939303182,80.65177610120912,600256,广汇能源,bottom_area,2023-06-01,7.26,2023-06-01,7.17,1.2552301255230107,2.092050209205026,29.49852507374631,False,0.0,0.9267,1,1,1,100.0,23.62204724409449,23.62204724409449,13.744769874476988,1.2552301255230107,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,88.90601519212214,80.09742832691487,600935,华塑股份,bottom_area,2023-06-01,3.76,2023-05-31,3.69,1.8970189701896976,2.7100271002710055,27.788649706457928,False,1.6216,0.4461,1,1,1,100.0,28.50877192982458,28.50877192982458,13.102981029810302,1.8970189701896976,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
6,88.37525705162524,79.06759967273294,001201,东瑞股份,bottom_area,2023-06-01,23.31,2023-06-01,22.96,1.5243902439024297,2.700348432055738,32.4308416715715,False,0.0,1.0014,1,1,1,100.0,18.4043517679057,18.4043517679057,13.47560975609757,1.5243902439024297,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,86.86544181891935,78.07267630871624,600160,巨化股份,bottom_area,2023-06-01,13.23,2023-05-31,13.0,1.7692307692307725,3.6153846153846203,31.758530183727036,False,0.6084,0.4824,1,1,1,100.0,16.05657237936772,16.05657237936772,13.230769230769226,1.7692307692307725,历史1/1次成功; 当前距低点1.77%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
8,86.85719990929248,78.33076496674057,000890,法尔胜,bottom_area,2023-06-01,4.18,2023-05-19,4.1,1.9512195121951237,7.56097560975611,27.689594356261026,True,-1.4151,1.8827,1,1,1,100.0,32.954545454545446,32.954545454545446,13.048780487804876,1.9512195121951237,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
9,86.61436917385204,75.53593306835863,600009,上海机场,bottom_area,2023-06-01,45.12,2023-06-01,45.05,0.15538290788013384,3.1076581576026765,29.477144646211656,False,-3.176,0.8117,3,3,3,100.0,21.829065044759854,27.704918032786885,14.844617092119867,0.15538290788013384,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
10,86.60822483348294,76.71377320524529,600955,维远股份,bottom_area,2023-06-01,18.41,2023-06-01,18.23,0.987383433900163,1.9199122325836415,28.453689167974883,False,0.327,0.3059,2,2,2,100.0,22.33874964805201,25.969084423305596,14.012616566099837,0.987383433900163,历史2/2次成功; 当前距低点0.99%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
11,85.32235187168119,77.37829935399421,002312,川发龙蟒,bottom_area,2023-06-01,8.63,2023-06-01,8.44,2.251184834123238,3.4360189573459827,28.04774083546463,False,0.8178,0.7121,1,1,1,100.0,18.231186966640802,18.231186966640802,12.748815165876762,2.251184834123238,历史1/1次成功; 当前距低点2.25%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
