rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.52464276158287,78.9063994754036,300049,福瑞医科,bottom_area,2025-10-21,66.77,2025-10-13,65.11,2.5495315619720422,8.692981108892637,28.19805910895457,True,0.3306,1.7034,1,1,1,100.0,20.910384068278802,20.910384068278802,12.450468438027958,2.5495315619720422,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
2,85.5994592136182,78.84257670532105,300056,中创环保,bottom_area,2025-10-21,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,0.5639,1.5739,1,1,1,100.0,27.10472279260781,27.10472279260781,11.917148362235082,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
3,84.5944995349148,78.0182033898305,688621,阳光诺和,bottom_area,2025-10-21,60.86,2025-10-14,59.0,3.1525423728813546,8.322033898305078,31.355439208842352,True,-0.2459,1.9258,1,1,1,100.0,46.0,46.0,11.847457627118645,3.1525423728813546,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
4,83.89577763907113,75.10611885463088,002123,梦网科技,bottom_area,2025-10-21,12.39,2025-10-17,12.2,1.5573770491803385,2.8688524590164053,29.68299711815563,False,1.0604,1.7658,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,13.442622950819661,1.5573770491803385,历史2/3次成功; 当前距低点1.56%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
5,81.48020916408875,76.603401064949,600706,曲江文旅,bottom_area,2025-10-21,10.21,2025-10-13,9.8,4.183673469387756,4.59183673469387,31.420573827851634,False,1.1893,3.391,2,2,2,100.0,21.086970834156286,24.578313253012034,10.816326530612244,4.183673469387756,历史2/2次成功; 当前距低点4.18%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
6,80.90433074470043,73.7503950247755,603305,旭升集团,bottom_area,2025-10-21,15.01,2025-10-17,14.64,2.527322404371579,5.669398907103825,27.881773399014776,False,1.2138,3.432,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,12.47267759562842,2.527322404371579,历史4/6次成功; 当前距低点2.53%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
7,75.6980208825093,72.17489771516091,688039,当虹科技,bottom_area,2025-10-21,51.42,2025-10-17,49.0,4.938775510204085,6.448979591836728,30.956742285472732,False,1.8218,2.4327,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,10.061224489795913,4.938775510204085,历史5/7次成功; 当前距低点4.94%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
8,75.60440230496172,70.9045613595662,301137,哈焊华通,bottom_area,2025-10-21,44.43,2025-10-20,42.7,4.051522248243552,5.269320843091334,27.627118644067792,False,-0.1573,7.0463,1,1,1,100.0,27.967914438502678,27.967914438502678,10.948477751756446,4.051522248243552,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
9,74.53488187065182,69.83181738302704,300911,亿田智能,bottom_area,2025-10-21,40.58,2025-10-21,39.02,3.9979497693490393,7.637109174782155,29.028737722808284,False,-2.2169,5.5348,1,1,1,100.0,21.54377880184333,21.54377880184333,11.00205023065096,3.9979497693490393,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
10,74.17663556566404,66.90427638737759,000700,模塑科技,bottom_area,2025-10-21,9.37,2025-10-17,9.19,1.9586507072905304,5.114254624591955,30.060882800608834,False,1.1879,1.6816,1,2,1,50.0,52.926829268292686,52.926829268292686,13.04134929270947,1.9586507072905304,历史1/2次成功; 当前距低点1.96%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
11,73.22760678013906,68.35811103075822,605255,天普股份,bottom_area,2025-10-21,83.8,2025-10-21,80.73,3.8027994549733592,4.781369998761302,27.453271028037378,False,-2.331,5.6759,4,6,4,66.66666666666666,33.45068344855281,87.20456397718011,11.19720054502664,3.8027994549733592,历史4/6次成功; 当前距低点3.80%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
