rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.81175715983294,85.82110731582624,600343,航天动力,bottom_area,2024-08-23,7.65,2024-08-23,7.54,1.4588859416445665,3.183023872679048,32.67857142857142,False,-2.2989,1.8457,4,4,4,100.0,26.383694961160476,55.72413793103447,8.541114058355435,1.4588859416445665,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
2,90.52146095025816,84.96844096589822,300653,正海生物,bottom_area,2024-08-23,18.79,2024-08-23,18.48,1.6774891774891707,2.5974025974025996,27.071823204419886,False,0.3739,0.9563,3,3,3,100.0,18.672668228889858,29.647513278609367,8.32251082251083,1.6774891774891707,历史3/3次成功; 当前距低点1.68%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
3,87.39447192284696,80.54000353674131,002685,华东重机,bottom_area,2024-08-23,2.82,2024-08-23,2.8,0.714285714285715,2.142857142857145,28.934010152284266,False,-1.3986,2.5831,3,3,3,100.0,45.36868260920823,109.52380952380952,9.285714285714286,0.714285714285715,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
4,86.28328057379215,80.02875740109296,000983,山西焦煤,bottom_area,2024-08-23,7.69,2024-08-21,7.61,1.0512483574244424,3.28515111695138,29.86175115207373,False,0.5229,0.4506,3,4,3,75.0,21.938729333444627,27.212389380530986,8.948751642575559,1.0512483574244424,历史3/4次成功; 当前距低点1.05%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
5,85.75390646684606,80.63050950849386,301510,固高科技,bottom_area,2024-08-23,20.16,2024-08-21,19.81,1.7667844522968272,3.63452801615347,28.91998564764981,False,0.4985,0.8916,2,2,2,100.0,13.11170999855176,16.010654039656714,8.233215547703173,1.7667844522968272,历史2/2次成功; 当前距低点1.77%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,85.55733337248765,79.5664478846986,603132,金徽股份,bottom_area,2024-08-23,11.05,2024-08-23,10.92,1.1904761904761978,2.1062271062271103,27.151434289526357,False,-0.1807,0.9037,2,2,2,100.0,22.799643005292072,33.20754716981132,8.809523809523803,1.1904761904761978,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
7,85.08717851140416,82.58098928436618,002545,东方铁塔,bottom_area,2024-08-23,6.03,2024-07-25,5.83,3.430531732418528,7.375643224699823,29.247572815533985,True,0.5,0.5489,3,3,3,100.0,18.132266850969987,28.468653648509758,6.569468267581473,3.430531732418528,历史3/3次成功; 当前距低点3.43%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
8,84.67727442781734,78.58012735132007,002140,东华科技,bottom_area,2024-08-23,6.56,2024-08-23,6.49,1.0785824345146287,2.1571648690292706,27.888888888888886,False,0.0,0.4274,1,1,1,100.0,10.318791946308728,10.318791946308728,8.921417565485372,1.0785824345146287,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,84.07931597428966,77.50798666968583,000597,东北制药,bottom_area,2024-08-23,4.14,2024-08-23,4.11,0.7299270072992544,2.6763990267639763,31.38564273789649,False,-1.4286,2.5781,3,3,3,100.0,29.259248636172746,61.02150537634409,9.270072992700747,0.7299270072992544,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
10,83.79885610385024,79.69768376121174,688065,凯赛生物,bottom_area,2024-08-23,34.61,2024-08-23,33.81,2.366163856847078,2.8098195800059025,30.245512688260774,False,1.6148,0.2462,2,2,2,100.0,15.443749219478864,18.007614213197968,7.633836143152922,2.366163856847078,历史2/2次成功; 当前距低点2.37%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
11,83.50185100486463,77.7287365733095,301509,金凯生科,bottom_area,2024-08-23,26.12,2024-08-23,25.8,1.240310077519381,2.5193798449612346,28.03347280334728,False,-1.0231,2.2009,2,2,2,100.0,13.530341666955287,15.05054819877544,8.75968992248062,1.240310077519381,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
