rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.7695358368112,78.91444872396966,300562,乐心医疗,bottom_area,2022-04-26,8.56,2022-04-26,8.46,1.1820330969267097,5.555555555555541,28.30508474576271,False,-1.7222,2.1517,2,2,2,100.0,19.19077518797075,20.82239720034996,13.81796690307329,1.1820330969267097,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
2,88.02653724776773,78.79825242718447,000430,张家界,bottom_area,2022-04-26,5.23,2022-04-26,5.15,1.5533980582524285,9.126213592233004,28.670360110803315,False,-3.1481,6.8575,1,1,1,100.0,53.99999999999999,53.99999999999999,13.446601941747572,1.5533980582524285,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
3,87.9880994686957,78.09260990973632,300417,南华仪器,bottom_area,2022-04-26,8.31,2022-04-26,8.22,1.0948905109489033,10.34063260340632,28.02101576182136,False,-5.5682,1.1913,2,2,2,100.0,23.919141261827036,25.514403292181065,13.905109489051096,1.0948905109489033,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-5.57%; 状态bottom_area; 底部未确认
4,87.69070378025756,78.45287745941182,300711,广哈通信,bottom_area,2022-04-26,10.0,2022-04-26,9.85,1.5228426395939123,10.0507614213198,31.597222222222225,False,-4.943,1.6681,1,1,1,100.0,47.76859504132231,47.76859504132231,13.477157360406085,1.5228426395939123,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
5,87.25363387502907,77.54662669165711,688350,富淼科技,bottom_area,2022-04-26,15.59,2022-04-26,15.41,1.1680726800778696,9.669046073977926,28.158508158508155,False,-6.6467,0.574,1,1,1,100.0,38.54748603351957,38.54748603351957,13.83192731992213,1.1680726800778696,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-6.65%; 状态bottom_area; 底部未确认
6,86.5288906730641,76.41688129410498,300584,海辰药业,bottom_area,2022-04-26,31.63,2022-04-26,31.37,0.8288173414089831,5.196047178833277,32.970085470085465,False,-1.4949,10.0832,2,2,2,100.0,41.271961465147655,54.23197492163009,14.171182658591016,0.8288173414089831,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
7,86.52323726487238,77.17427328623756,600397,江钨装备,bottom_area,2022-04-26,2.98,2022-04-26,2.94,1.360544217687076,10.544217687074832,29.665071770334922,False,-6.5831,8.7234,2,2,2,100.0,22.238247863247857,28.36538461538461,13.639455782312924,1.360544217687076,历史2/2次成功; 当前距低点1.36%; 最新日涨幅-6.58%; 状态bottom_area; 底部未确认
8,85.63755606855587,76.61823259223296,300665,飞鹿股份,bottom_area,2022-04-26,6.66,2022-04-26,6.56,1.5243902439024473,7.012195121951219,32.371134020618555,False,-3.7572,2.8135,2,2,2,100.0,21.25721692650826,22.6044226044226,13.475609756097551,1.5243902439024473,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
9,85.50330044477036,76.24283251338764,001213,中铁特货,bottom_area,2022-04-26,4.52,2022-04-26,4.46,1.345291479820619,5.829596412556049,30.42121684867395,False,-1.5251,5.2371,1,1,1,100.0,23.49514563106796,23.49514563106796,13.654708520179382,1.345291479820619,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
10,85.35160762072948,74.31932818690619,603368,柳药集团,bottom_area,2022-04-26,13.82,2022-04-25,13.81,0.07241129616219975,6.444605358435906,29.17948717948718,False,-3.0856,1.5258,2,2,2,100.0,30.93777388255915,42.85714285714285,14.927588703837799,0.07241129616219975,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
11,85.31776761708623,76.70672145183875,300437,清水源,bottom_area,2022-04-26,17.66,2022-04-26,17.35,1.7867435158501366,8.126801152737752,29.643146796431463,False,-1.1198,7.5548,4,5,4,80.0,24.733853053640157,30.330330330330323,13.213256484149863,1.7867435158501366,历史4/5次成功; 当前距低点1.79%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
12,84.81814308105903,75.27467940680532,601886,江河集团,bottom_area,2022-04-26,4.63,2022-04-26,4.58,1.091703056768555,5.676855895196502,32.047477744807125,False,-2.3207,1.1681,1,1,1,100.0,15.181518151815196,15.181518151815196,13.908296943231443,1.091703056768555,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
13,84.78935035932432,75.78189861860534,000422,湖北宜化,bottom_area,2022-04-26,15.88,2022-04-26,15.65,1.4696485623003221,8.753993610223636,32.601205857019806,False,-6.7528,7.9317,1,1,1,100.0,32.75643731532291,32.75643731532291,13.530351437699679,1.4696485623003221,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-6.75%; 状态bottom_area; 底部未确认
14,84.63585840212092,75.9523201415893,002796,世嘉科技,bottom_area,2022-04-26,6.63,2022-04-26,6.52,1.687116564417183,12.730061349693253,27.796234772978956,False,-8.2988,3.5663,1,1,1,100.0,36.33841886269071,36.33841886269071,13.312883435582817,1.687116564417183,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-8.30%; 状态bottom_area; 底部未确认
15,84.52373551673793,76.20150468194873,688037,芯源微,bottom_area,2022-04-26,93.83,2022-04-26,92.05,1.9337316675719731,8.419337316675719,29.73282442748092,False,-4.4404,3.0534,2,2,2,100.0,24.034477871036746,27.322614278658854,13.066268332428027,1.9337316675719731,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
16,84.01477207095708,74.50732673267326,600281,华阳新材,bottom_area,2022-04-26,3.84,2022-04-26,3.8,1.0526315789473695,7.894736842105258,28.166351606805296,False,-6.3415,1.0726,1,1,1,100.0,20.79207920792079,20.79207920792079,13.94736842105263,1.0526315789473695,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-6.34%; 状态bottom_area; 底部未确认
17,83.90197296976329,75.19798994269522,300559,佳发教育,bottom_area,2022-04-26,8.16,2022-04-26,8.03,1.6189290161893002,3.9850560398505643,27.592425608656452,False,-0.7299,1.8444,1,1,1,100.0,21.231979030144167,21.231979030144167,13.3810709838107,1.6189290161893002,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
18,83.32462377916026,73.10393188109279,300409,道氏技术,bottom_area,2022-04-26,14.77,2022-04-26,14.7,0.47619047619047816,4.897959183673474,27.083333333333336,False,-1.6644,2.0089,1,1,1,100.0,35.80454928390903,35.80454928390903,14.523809523809522,0.47619047619047816,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
19,83.04546316769542,73.62722769255117,001203,大中矿业,bottom_area,2022-04-26,10.71,2022-04-26,10.6,1.037735849056615,6.60377358490567,28.23290453622207,False,-4.2895,2.7781,1,1,1,100.0,15.877771120431387,15.877771120431387,13.962264150943385,1.037735849056615,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-4.29%; 状态bottom_area; 底部未确认
