rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
20,75.39969337108224,71.56330975533245,603260,合盛硅业,bottom_area,2023-10-25,54.32,2023-10-23,53.12,2.2590361445783187,4.160391566265062,28.69798657718121,False,0.129,0.1861,2,3,2,66.66666666666666,25.95293278658251,34.21399022188793,7.740963855421682,2.2590361445783187,历史2/3次成功; 当前距低点2.26%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
21,75.2891874114141,73.6461839795826,600009,上海机场,bottom_area,2023-10-25,35.68,2023-10-23,34.36,3.8416763678696166,5.791618160651927,29.777232781524628,False,1.2199,0.5353,3,4,3,75.0,21.829065044759854,27.704918032786885,6.158323632130384,3.8416763678696166,历史3/4次成功; 当前距低点3.84%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
22,75.16384547269776,68.83858197390241,300750,宁德时代,bottom_area,2023-10-25,175.98,2023-10-24,175.3,0.38790644609240066,2.395892755276662,28.143958025905885,False,-0.2494,0.5531,1,1,1,100.0,11.790369198887497,11.790369198887497,9.6120935539076,0.38790644609240066,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
23,74.76311948030144,73.55883762537275,000966,长源电力,bottom_area,2023-10-25,4.52,2023-10-24,4.34,4.1474654377880125,4.60829493087558,27.424749163879607,False,1.8018,0.8975,1,1,1,100.0,20.94117647058823,20.94117647058823,5.852534562211988,4.1474654377880125,历史1/1次成功; 当前距低点4.15%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
24,73.7261747148392,72.16735974436101,000014,沙河股份,bottom_area,2023-10-25,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,-0.266,2.0618,2,2,2,100.0,15.964865631822029,20.605355064027936,6.121883656509697,3.8781163434903037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
25,73.34303774780828,72.50122382817776,300486,东杰智能,bottom_area,2023-10-25,6.89,2023-10-24,6.6,4.3939393939393945,5.757575757575769,30.453108535300323,False,2.3774,2.3232,1,1,1,100.0,18.276374442793454,18.276374442793454,5.606060606060606,4.3939393939393945,历史1/1次成功; 当前距低点4.39%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
26,73.31494617362696,72.55688912308725,600032,浙江新能,bottom_area,2023-10-25,9.38,2023-10-24,8.98,4.454342984409803,5.679287305122492,32.784431137724546,False,1.1866,1.431,1,1,1,100.0,19.31608133086876,19.31608133086876,5.545657015590198,4.454342984409803,历史1/1次成功; 当前距低点4.45%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
27,72.43338878060504,69.82787119856889,002828,贝肯能源,bottom_area,2023-10-25,11.39,2023-10-24,11.05,3.0769230769230753,5.429864253393662,27.206851119894594,False,-0.1753,15.0969,1,1,1,100.0,10.232558139534893,10.232558139534893,6.923076923076925,3.0769230769230753,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
28,72.3604972287971,71.57199222965681,000729,燕京啤酒,bottom_area,2023-10-25,9.44,2023-10-24,9.04,4.424778761061951,4.977876106194703,32.28464419475656,False,2.2752,0.4175,1,1,1,100.0,13.658536585365852,13.658536585365852,5.57522123893805,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
29,71.79239199093776,71.57749420233951,000006,深振业A,bottom_area,2023-10-25,4.33,2023-10-23,4.13,4.842615012106542,6.053268765133172,32.295081967213115,False,1.4052,1.3591,1,1,1,100.0,18.809980806142043,18.809980806142043,5.157384987893459,4.842615012106542,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
30,71.23871416050453,70.88864676905243,600103,青山纸业,bottom_area,2023-10-25,2.43,2023-10-23,2.32,4.741379310344842,6.034482758620696,29.6969696969697,False,1.25,1.1314,1,1,1,100.0,13.865546218487399,13.865546218487399,5.258620689655158,4.741379310344842,历史1/1次成功; 当前距低点4.74%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
31,68.88311537970449,63.037067542765236,603129,春风动力,bottom_area,2023-10-25,104.13,2023-10-25,103.77,0.3469210754553334,4.654524429025728,29.923014586709897,False,-2.0598,0.9326,2,3,2,66.66666666666666,18.985918968477026,20.09633197480549,9.653078924544667,0.3469210754553334,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
32,65.77063399272252,65.35436415732555,002068,黑猫股份,bottom_area,2023-10-25,9.42,2023-10-23,9.0,4.666666666666666,7.888888888888898,27.594529364440866,True,0.7487,1.735,2,3,2,66.66666666666666,12.89084672397248,15.184678522571824,5.333333333333334,4.666666666666666,历史2/3次成功; 当前距低点4.67%; 最新日涨幅0.75%; 状态bottom_area; 底部已确认
33,64.6758946890882,63.752212071013844,000721,西安饮食,bottom_area,2023-10-25,10.56,2023-10-23,10.13,4.244817374136226,8.588351431391898,30.521262002743477,True,1.3436,5.207,2,4,2,50.0,18.550514430346464,20.485175202156327,5.755182625863775,4.244817374136226,历史2/4次成功; 当前距低点4.24%; 最新日涨幅1.34%; 状态bottom_area; 底部已确认
34,63.495087192538925,62.53485903083701,002366,融发核电,bottom_area,2023-10-25,5.21,2023-10-23,5.0,4.199999999999999,5.0,28.469241773962807,False,2.1569,0.9693,2,4,2,50.0,20.64977973568282,25.0,5.800000000000001,4.199999999999999,历史2/4次成功; 当前距低点4.20%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
35,61.3241896345131,60.07144345197197,600328,中盐化工,bottom_area,2023-10-25,7.96,2023-10-23,7.66,3.9164490861618773,4.830287206266308,27.73584905660377,False,1.6603,0.6673,1,2,1,50.0,37.26315789473683,37.26315789473683,6.083550913838123,3.9164490861618773,历史1/2次成功; 当前距低点3.92%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
36,58.777096774193545,56.940312500000005,603191,望变电气,bottom_area,2023-10-25,14.88,2023-10-23,14.4,3.333333333333336,4.861111111111106,31.656383483626012,False,0.1346,1.5935,1,2,1,50.0,13.281249999999995,13.281249999999995,6.666666666666665,3.333333333333336,历史1/2次成功; 当前距低点3.33%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
37,56.75507091313349,54.32778121501279,000977,浪潮信息,bottom_area,2023-10-25,28.47,2023-10-23,27.72,2.7056277056277054,6.782106782106792,28.13067150635209,False,0.0703,4.9019,1,3,1,33.33333333333333,10.985371239304456,10.985371239304456,7.294372294372295,2.7056277056277054,历史1/3次成功; 当前距低点2.71%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
