rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.29051476825657,81.59279203293966,300069,金利华电,bottom_area,2025-08-15,21.4,2025-08-15,21.09,1.469890943575148,2.0862968231389343,31.45921351966201,False,1.0387,8.3073,1,1,1,100.0,31.312598840274124,31.312598840274124,13.530109056424852,1.469890943575148,历史1/1次成功; 当前距低点1.47%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
2,90.21615538124358,80.87183013632523,600620,天宸股份,bottom_area,2025-08-15,6.24,2025-08-04,6.14,1.6286644951140152,4.560260586319222,27.078384798099762,False,0.6452,1.0254,1,1,1,100.0,29.38271604938273,29.38271604938273,13.371335504885984,1.6286644951140152,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
3,90.1447623542367,81.57140809521444,003002,壶化股份,bottom_area,2025-08-15,25.38,2025-08-15,24.85,2.1327967806840946,2.4949698189134706,28.199942213233165,False,1.2365,2.5571,1,1,1,100.0,39.32357395254923,39.32357395254923,12.867203219315904,2.1327967806840946,历史1/1次成功; 当前距低点2.13%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
4,89.52743813961325,79.71657196560034,603511,爱慕股份,bottom_area,2025-08-15,15.17,2025-08-15,14.98,1.2683578104138817,1.4686248331108067,29.999999999999993,False,0.9315,0.5789,1,1,1,100.0,18.754988028731056,18.754988028731056,13.731642189586118,1.2683578104138817,历史1/1次成功; 当前距低点1.27%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,86.2040154889187,78.68357042111403,000999,华润三九,bottom_area,2025-08-15,31.21,2025-07-15,30.42,2.596975673898748,7.133464825772523,30.036798528058867,True,0.0641,0.9344,1,1,1,100.0,20.293951384963254,20.293951384963254,12.403024326101251,2.596975673898748,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
6,85.88105369040031,75.80849121255665,603839,安正时尚,bottom_area,2025-08-15,7.53,2025-08-08,7.47,0.8032128514056291,5.488621151271756,28.03468208092486,False,0.2663,1.7533,1,1,1,100.0,31.88073394495412,31.88073394495412,14.19678714859437,0.8032128514056291,历史1/1次成功; 当前距低点0.80%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
7,85.84998929395097,75.79769406153866,605033,美邦股份,bottom_area,2025-08-15,21.03,2025-08-08,20.86,0.8149568552253197,3.4515819750719023,32.926045016077175,False,0.622,1.5606,1,1,1,100.0,31.96664350243223,31.96664350243223,14.185043144774678,0.8149568552253197,历史1/1次成功; 当前距低点0.81%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
8,83.50942507551524,78.22471785040467,002041,登海种业,bottom_area,2025-08-15,9.91,2025-06-23,9.53,3.9874081846799663,7.345225603357829,29.719764011799416,True,0.6091,0.9457,2,2,2,100.0,18.2043468358871,21.395106715252467,11.012591815320032,3.9874081846799663,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.61%; 状态bottom_area; 底部已确认
9,81.5867996813994,71.75977751733518,002795,永和智控,bottom_area,2025-08-15,4.94,2025-08-14,4.91,0.6109979633401272,5.702647657841146,28.84057971014493,False,0.4065,7.8036,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,14.389002036659873,0.6109979633401272,历史4/6次成功; 当前距低点0.61%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
10,79.74669647604634,72.20643587218647,002658,雪迪龙,bottom_area,2025-08-15,8.02,2025-08-01,7.85,2.1656050955414003,3.3121019108280225,31.50087260034905,False,1.2626,2.5963,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,12.834394904458598,2.1656050955414003,历史2/3次成功; 当前距低点2.17%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
11,78.18896712645973,73.08359351496621,003001,中岩大地,bottom_area,2025-08-15,27.9,2025-08-15,26.86,3.871928518242737,4.393149664929262,27.756858526089296,False,-0.8529,6.0753,2,2,2,100.0,20.815002884729275,25.533980582524272,11.128071481757262,3.871928518242737,历史2/2次成功; 当前距低点3.87%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
