rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.97950054698538,76.76755572446729,605399,晨光新材,bottom_area,2024-01-30,11.93,2024-01-30,11.92,0.08389261744966264,6.375838926174494,29.00536033353186,False,-9.8943,4.6896,2,2,2,100.0,44.24102630243285,52.857533497402244,19.916107382550337,0.08389261744966264,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
2,90.84851653787463,76.48155825900774,300354,东华测试,bottom_area,2024-01-30,36.21,2024-01-30,36.01,0.555401277422946,6.16495417939461,29.846093902201442,False,-0.2479,3.0015,2,2,2,100.0,38.26813533081753,39.34343434343434,19.444598722577055,0.555401277422946,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
3,90.19427409557916,78.81329313714646,000723,美锦能源,bottom_area,2024-01-30,5.54,2024-01-22,5.4,2.592592592592587,9.07407407407406,28.28685258964143,True,-2.1201,0.5751,2,2,2,100.0,26.74410886159975,30.434782608695667,17.407407407407415,2.592592592592587,历史2/2次成功; 当前距低点2.59%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
4,87.62268089889078,76.39509670235493,002151,北斗星通,bottom_area,2024-01-30,25.72,2024-01-24,25.1,2.4701195219123404,8.804780876494013,31.13854595336077,True,-1.7571,1.2642,1,1,1,100.0,28.90843662534986,28.90843662534986,17.529880478087662,2.4701195219123404,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
5,87.41017267358846,77.63260228733007,605158,华达新材,bottom_area,2024-01-30,7.13,2024-01-24,6.89,3.4833091436865056,10.59506531204645,28.15432742440042,True,0.8487,3.3441,1,1,1,100.0,25.5083179297597,25.5083179297597,16.516690856313495,3.4833091436865056,历史1/1次成功; 当前距低点3.48%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
6,85.03640515424397,71.47123166380338,000516,国际医学,bottom_area,2024-01-30,6.47,2024-01-30,6.44,0.46583850931676024,4.347826086956511,31.995776135163673,False,-2.9985,0.9755,1,1,1,100.0,26.89969604863221,26.89969604863221,19.534161490683243,0.46583850931676024,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
7,84.40202440860332,70.59211775387901,301525,儒竞科技,bottom_area,2024-01-30,65.44,2024-01-30,65.31,0.19905068136578694,4.516919307916097,29.402226786293372,False,-4.7175,3.9231,1,1,1,100.0,29.118028534370954,29.118028534370954,19.800949318634213,0.19905068136578694,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
8,83.85242435110338,75.07058261162973,601069,西部黄金,bottom_area,2024-01-30,10.6,2024-01-24,10.2,3.921568627450984,8.921568627450982,27.246790299572044,True,-2.3041,0.424,1,1,1,100.0,39.579349904397695,39.579349904397695,16.07843137254902,3.921568627450984,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
9,82.95779137835866,69.24116204243593,002304,洋河股份,bottom_area,2024-01-30,92.6,2024-01-24,92.52,0.08646779074794456,5.544747081712073,27.53759398496241,False,-3.2696,0.447,1,1,1,100.0,20.474777448071226,20.474777448071226,19.913532209252057,0.08646779074794456,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
10,81.1779021219789,72.63529670831565,000021,深科技,bottom_area,2024-01-30,12.55,2024-01-23,12.08,3.8907284768211974,11.175496688741719,32.13483146067416,True,-2.1061,1.3463,1,1,1,100.0,26.108374384236456,26.108374384236456,16.109271523178805,3.8907284768211974,历史1/1次成功; 当前距低点3.89%; 最新日涨幅-2.11%; 状态bottom_area; 底部已确认
11,81.07139105693463,68.46247482936764,603035,常熟汽饰,bottom_area,2024-01-30,13.9,2024-01-30,13.8,0.7246376811594177,5.362318840579698,27.786499215070638,False,-4.0718,2.2789,1,1,1,100.0,24.111014744145717,24.111014744145717,19.275362318840582,0.7246376811594177,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
