rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34711073744513,85.88932498171569,300604,长川科技,bottom_area,2023-08-22,34.8,2023-08-22,33.81,2.928127772848254,4.229517894114166,31.93074290316086,False,0.1439,1.8923,4,4,4,100.0,22.28739948284786,36.28082648300379,7.071872227151746,2.928127772848254,历史4/4次成功; 当前距低点2.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,87.66480366620677,82.6732134218676,000411,英特集团,bottom_area,2023-08-22,11.66,2023-08-22,11.44,1.9230769230769287,5.419580419580428,27.594936708860768,False,-2.5898,6.4365,3,3,3,100.0,31.816283905822544,47.98426745329401,8.076923076923071,1.9230769230769287,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
3,87.48271044256427,84.1275732659176,688248,南网科技,bottom_area,2023-08-22,30.39,2023-08-22,29.52,2.947154471544719,3.31978319783198,31.31689157747789,False,1.0306,2.8004,3,3,3,100.0,29.715513231395445,49.406593406593416,7.052845528455282,2.947154471544719,历史3/3次成功; 当前距低点2.95%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
4,86.23747159864827,82.82787921787282,603236,移远通信,bottom_area,2023-08-22,45.33,2023-08-22,44.06,2.8824330458465637,3.9718565592374038,29.175373734126342,False,1.8423,2.1601,3,3,3,100.0,21.93455141076877,39.389337383102855,7.117566954153437,2.8824330458465637,历史3/3次成功; 当前距低点2.88%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
5,86.09401427318198,81.89256940790675,601127,赛力斯,bottom_area,2023-08-22,34.5,2023-08-22,33.7,2.3738872403560745,3.6795252225519133,27.07206232417225,False,1.5602,1.8135,7,8,7,87.5,21.08888341891715,30.591200733272228,7.6261127596439255,2.3738872403560745,历史7/8次成功; 当前距低点2.37%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
6,86.00126587289594,82.35714443760375,603005,晶方科技,bottom_area,2023-08-22,19.21,2023-08-22,18.7,2.727272727272736,3.101604278074876,27.46314972847169,False,1.694,2.1299,3,3,3,100.0,17.501754063363318,24.55991516436903,7.2727272727272645,2.727272727272736,历史3/3次成功; 当前距低点2.73%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
7,85.3754898684202,81.38044961461199,300539,横河精密,bottom_area,2023-08-22,11.55,2023-08-17,11.27,2.484472049689451,5.146406388642414,27.524115755627015,False,0.2604,1.2573,2,2,2,100.0,25.941106924214775,39.25845147219192,7.515527950310549,2.484472049689451,历史2/2次成功; 当前距低点2.48%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,84.93068287596768,81.68440177252585,002150,正泰电源,bottom_area,2023-08-22,13.94,2023-08-22,13.54,2.954209748892174,3.028064992614477,29.479166666666668,False,1.0877,1.2997,1,1,1,100.0,164.87025948103792,164.87025948103792,7.045790251107826,2.954209748892174,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
9,84.73244845599841,81.76649970055293,300474,景嘉微,bottom_area,2023-08-22,70.52,2023-08-22,68.38,3.129570049722142,3.363556595495776,28.142076502732245,False,2.055,1.7075,2,2,2,100.0,35.92429792429792,59.857142857142854,6.87042995027786,3.129570049722142,历史2/2次成功; 当前距低点3.13%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
10,84.70655345280049,80.13846409876754,002240,盛新锂能,bottom_area,2023-08-22,24.42,2023-08-22,23.92,2.0903010033444818,4.3896321070234,32.237960339943335,False,-0.7317,1.252,3,3,3,100.0,20.23844293759655,33.42198581560282,7.909698996655519,2.0903010033444818,历史3/3次成功; 当前距低点2.09%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
11,84.65137648881914,79.9437670784197,000028,国药一致,bottom_area,2023-08-22,32.69,2023-08-22,32.05,1.9968798751950099,2.2152886115444645,27.40656851642129,False,1.0198,0.9265,2,2,2,100.0,12.240070934754426,14.150943396226415,8.00312012480499,1.9968798751950099,历史2/2次成功; 当前距低点2.00%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
12,83.78942958647332,79.15656763851027,603212,赛伍技术,bottom_area,2023-08-22,16.71,2023-08-22,16.38,2.0146520146520257,4.51770451770453,27.68211920529801,False,-1.4741,1.5686,2,2,2,100.0,30.698786193101522,32.01038575667657,7.985347985347975,2.0146520146520257,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
