rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.62120432028172,86.52295722080234,688169,石头科技,bottom_area,2024-07-26,298.04,2024-07-25,295.02,1.0236594129211711,4.186156870720637,30.245424882962123,False,0.6212,1.0305,3,3,3,100.0,19.015595065928025,29.71190476190475,6.976340587078829,1.0236594129211711,历史3/3次成功; 当前距低点1.02%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
2,88.54930407127506,85.67640998332362,000065,北方国际,bottom_area,2024-07-26,9.4,2024-07-25,9.19,2.285092491838965,3.69967355821545,30.641509433962266,False,1.2931,0.7224,3,3,3,100.0,29.926993896325044,41.48061104582843,5.714907508161035,2.285092491838965,历史3/3次成功; 当前距低点2.29%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
3,87.89136671674784,84.39071484182759,002545,东方铁塔,bottom_area,2024-07-26,5.94,2024-07-25,5.83,1.8867924528301943,2.2298456260720396,29.247572815533985,False,1.1925,0.5872,3,3,3,100.0,18.132266850969987,28.468653648509758,6.113207547169806,1.8867924528301943,历史3/3次成功; 当前距低点1.89%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
4,87.59195948586614,85.2672210992911,603368,柳药集团,bottom_area,2024-07-26,16.96,2024-07-25,16.53,2.6013309134906213,2.7223230490018104,31.410788381742737,False,1.3142,0.862,3,3,3,100.0,31.603524634675978,42.85714285714285,5.398669086509379,2.6013309134906213,历史3/3次成功; 当前距低点2.60%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
5,87.00457499000593,83.77877862595422,002687,乔治白,bottom_area,2024-07-26,4.01,2024-07-25,3.93,2.035623409669202,2.5445292620865163,32.82051282051282,False,0.5013,0.5281,1,1,1,100.0,64.00000000000001,64.00000000000001,5.964376590330798,2.035623409669202,历史1/1次成功; 当前距低点2.04%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,85.5427545218694,80.836464049461,600970,中材国际,bottom_area,2024-07-26,9.55,2024-07-25,9.45,1.0582010582010732,2.222222222222231,30.206794682422455,False,0.4206,0.5342,1,1,1,100.0,22.19979818365287,22.19979818365287,6.941798941798927,1.0582010582010732,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
7,85.311538431269,84.21914906574357,601666,平煤股份,bottom_area,2024-07-26,9.93,2024-07-25,9.61,3.3298647242455806,5.411030176899078,29.597069597069602,False,2.5826,0.9191,4,4,4,100.0,18.23247654313697,27.30923694779115,4.6701352757544194,3.3298647242455806,历史4/4次成功; 当前距低点3.33%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
8,84.9916402015516,83.2392352489423,002246,北化股份,bottom_area,2024-07-26,7.41,2024-07-25,7.2,2.916666666666666,4.027777777777778,31.882686849574267,False,2.0661,1.5735,3,3,3,100.0,24.565780908291877,31.992687385740403,5.083333333333334,2.916666666666666,历史3/3次成功; 当前距低点2.92%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
9,84.64994098234376,83.25986326522008,601886,江河集团,bottom_area,2024-07-26,4.6,2024-07-25,4.46,3.1390134529147913,3.8116591928251107,29.54186413902054,False,0.6565,0.5698,3,3,3,100.0,27.40222547239673,33.5540838852097,4.860986547085209,3.1390134529147913,历史3/3次成功; 当前距低点3.14%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
10,84.02727636511956,81.90623625854,002044,美年健康,bottom_area,2024-07-26,3.46,2024-07-25,3.37,2.6706231454005893,2.9673590504451064,31.083844580777086,False,1.1696,0.5828,3,3,3,100.0,14.383102312114746,18.108108108108105,5.329376854599411,2.6706231454005893,历史3/3次成功; 当前距低点2.67%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
11,83.9418298555377,80.33142857142856,300469,信息发展,bottom_area,2024-07-26,12.46,2024-07-26,12.25,1.7142857142857213,3.5918367346938735,28.944315545243615,False,-0.7962,9.5292,1,1,1,100.0,52.431476569407586,52.431476569407586,6.285714285714279,1.7142857142857213,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
12,83.8753177495069,82.7444145888394,000789,万年青,bottom_area,2024-07-26,4.39,2024-07-09,4.25,3.2941176470588163,7.2941176470588145,29.752066115702476,True,1.1521,0.3801,2,2,2,100.0,34.00539152759949,47.599999999999994,4.705882352941184,3.2941176470588163,历史2/2次成功; 当前距低点3.29%; 最新日涨幅1.15%; 状态bottom_area; 底部已确认
13,83.43371698503046,80.9294838983641,001203,大中矿业,bottom_area,2024-07-26,8.48,2024-07-25,8.28,2.4154589371980806,3.260869565217408,28.80481513327602,False,1.5569,0.2991,2,2,2,100.0,22.670592877288865,29.46341463414634,5.58454106280192,2.4154589371980806,历史2/2次成功; 当前距低点2.42%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
14,83.25634664174876,81.39087842923243,002043,兔宝宝,bottom_area,2024-07-26,9.11,2024-07-25,8.86,2.8216704288939054,3.6117381489842018,31.84615384615385,False,1.2222,1.0002,3,3,3,100.0,13.463908640379232,15.96638655462185,5.178329571106095,2.8216704288939054,历史3/3次成功; 当前距低点2.82%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
