rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.91820001773176,80.93785478926428,688289,圣湘生物,bottom_area,2022-01-24,55.58,2022-01-24,54.89,1.257059573692836,2.532337402076882,30.067524525417245,False,0.3249,1.4883,1,1,1,100.0,25.182530200451346,25.182530200451346,13.742940426307163,1.257059573692836,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,88.02158641603559,77.56902302913137,300484,蓝海华腾,bottom_area,2022-01-24,14.1,2022-01-21,14.0,0.7142857142857117,2.7857142857142896,31.773879142300192,False,0.2132,1.1044,2,2,2,100.0,23.589217514531214,28.708133971291865,14.285714285714288,0.7142857142857117,历史2/2次成功; 当前距低点0.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,85.54834293490951,76.84263468794587,603230,内蒙新华,bottom_area,2022-01-24,16.4,2022-01-24,16.12,1.736972704714625,3.5980148883374587,29.576234163390126,False,-0.4854,11.9376,1,1,1,100.0,31.521142229544196,31.521142229544196,13.263027295285374,1.736972704714625,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
4,85.51005098247475,77.73640998406796,601798,蓝科高新,bottom_area,2022-01-24,7.74,2022-01-24,7.56,2.3809523809523894,3.8359788359788363,28.67924528301887,False,1.0444,1.8843,1,1,1,100.0,21.74721189591078,21.74721189591078,12.61904761904761,2.3809523809523894,历史1/1次成功; 当前距低点2.38%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
5,85.45066496170594,75.9650734743012,001296,长江材料,bottom_area,2022-01-24,35.93,2022-01-24,35.51,1.1827654181920635,2.7597859757814813,29.262948207171323,False,-0.1944,7.9038,1,1,1,100.0,20.009562514941443,20.009562514941443,13.817234581807936,1.1827654181920635,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
6,84.65480387279902,77.01981902891018,300567,精测电子,bottom_area,2022-01-24,57.48,2022-01-24,56.12,2.423378474697077,3.349964362081259,28.051282051282055,False,1.0726,1.28,1,1,1,100.0,18.414634146341452,18.414634146341452,12.576621525302922,2.423378474697077,历史1/1次成功; 当前距低点2.42%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
7,83.35059086260767,75.113081232493,600418,江淮汽车,bottom_area,2022-01-24,13.86,2022-01-21,13.6,1.9117647058823513,3.0882352941176463,27.38921516284037,False,-0.1441,1.3479,1,1,1,100.0,24.365079365079367,24.365079365079367,13.088235294117649,1.9117647058823513,历史1/1次成功; 当前距低点1.91%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
8,83.11728978354493,75.9845950854116,688286,敏芯股份,bottom_area,2022-01-24,74.31,2022-01-24,72.37,2.680668785408315,3.012297913500059,32.04694835680751,False,1.102,1.0079,1,1,1,100.0,16.00279524807827,16.00279524807827,12.319331214591685,2.680668785408315,历史1/1次成功; 当前距低点2.68%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
9,77.5034365554105,68.08991305636161,300642,透景生命,bottom_area,2022-01-24,31.11,2022-01-24,30.94,0.5494505494505434,3.7491919844861026,27.5070290534208,False,-3.6245,3.6821,1,1,1,100.0,19.960539296284104,19.960539296284104,14.450549450549454,0.5494505494505434,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
10,76.60366702222467,72.44738828393969,600032,浙江新能,bottom_area,2022-01-24,13.23,2022-01-24,12.66,4.502369668246447,4.739336492890992,30.515916575192094,False,0.7616,4.1125,1,1,1,100.0,19.31608133086876,19.31608133086876,10.497630331753552,4.502369668246447,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
11,63.915419537066924,58.82700749625188,601778,晶科科技,bottom_area,2022-01-24,7.11,2022-01-21,6.9,3.0434782608695645,5.507246376811593,29.230769230769226,False,-0.1404,1.6075,1,2,1,50.0,42.344827586206904,42.344827586206904,11.956521739130435,3.0434782608695645,历史1/2次成功; 当前距低点3.04%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
