rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.94244793792005,82.36073532579053,300437,清水源,confirmed_rebound,2022-04-26,17.66,2022-04-26,17.35,1.7867435158501366,8.126801152737752,29.643146796431463,False,-1.1198,7.5548,5,5,5,100.0,22.01349753725175,30.330330330330323,6.213256484149864,1.7867435158501366,历史5/5次成功; 当前距低点1.79%; 最新日涨幅-1.12%; 状态confirmed_rebound; 底部未确认
2,85.42133390856434,81.66240126731506,300534,陇神戎发,bottom_area,2022-04-26,7.96,2022-04-26,7.83,1.6602809706257968,6.257982120051088,28.558394160583944,False,0.7595,7.6014,2,2,2,100.0,17.353988603988597,22.115384615384613,6.339719029374204,1.6602809706257968,历史2/2次成功; 当前距低点1.66%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,85.27536758893284,80.80400000000003,000537,绿发电力,confirmed_rebound,2022-04-26,10.12,2022-04-26,10.0,1.1999999999999922,8.499999999999996,30.069930069930074,False,-7.0707,1.3892,2,2,2,100.0,161.7870736511604,310.7981220657277,6.800000000000008,1.1999999999999922,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-7.07%; 状态confirmed_rebound; 底部未确认
4,83.4982263290395,79.97552689804954,603233,大参林,bottom_area,2022-04-26,23.72,2022-04-26,23.31,1.7589017589017597,5.4483054483054465,30.313901345291487,False,-0.2523,0.5775,3,3,3,100.0,15.300123163148118,20.223978919631097,6.24109824109824,1.7589017589017597,历史3/3次成功; 当前距低点1.76%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
5,83.31005726971601,78.91444872396966,300562,乐心医疗,bottom_area,2022-04-26,8.56,2022-04-26,8.46,1.1820330969267097,5.555555555555541,28.30508474576271,False,-1.7222,2.1517,2,2,2,100.0,19.19077518797075,20.82239720034996,6.81796690307329,1.1820330969267097,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
6,83.21398233294968,78.6853302331973,002658,雪迪龙,bottom_area,2022-04-26,5.56,2022-04-26,5.5,1.090909090909084,5.4545454545454515,27.631578947368418,False,-1.5929,1.7911,2,2,2,100.0,16.84195140037648,21.715817694369974,6.909090909090916,1.090909090909084,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
7,83.0882090197048,78.581536508509,300511,雪榕生物,confirmed_rebound,2022-04-26,5.51,2022-04-26,5.45,1.1009174311926533,8.256880733944957,32.465923172242874,False,-4.1739,3.8709,3,3,3,100.0,20.170044363592744,29.220779220779214,6.899082568807346,1.1009174311926533,历史3/3次成功; 当前距低点1.10%; 最新日涨幅-4.17%; 状态confirmed_rebound; 底部未确认
8,82.93040203480112,78.68159585844508,002125,湘潭电化,bottom_area,2022-04-26,9.6,2022-04-26,9.48,1.2658227848101182,6.329113924050629,27.188940092165893,False,-2.6369,2.8743,2,2,2,100.0,18.96597746135558,24.223034734917736,6.734177215189882,1.2658227848101182,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
9,82.89293913313786,77.45083957836478,300387,富邦科技,bottom_area,2022-04-26,6.41,2022-04-26,6.38,0.47021943573668107,6.896551724137938,30.425299890948747,False,-3.4639,5.2489,3,3,3,100.0,35.98354780561516,50.883392226148395,7.529780564263319,0.47021943573668107,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
10,82.45525395263653,77.50457417582417,002408,齐翔腾达,bottom_area,2022-04-26,6.45,2022-04-26,6.4,0.7812499999999972,5.781249999999988,31.256713211600427,False,0.1553,1.2463,2,2,2,100.0,24.063570837764374,37.91208791208789,7.218750000000003,0.7812499999999972,历史2/2次成功; 当前距低点0.78%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
11,82.02155279214146,77.48432626448893,002309,中利集团,bottom_area,2022-04-26,3.88,2022-04-26,3.84,1.0416666666666676,6.250000000000005,28.491620111731848,False,-3.7221,3.6996,2,2,2,100.0,19.996377766069553,30.136986301369873,6.958333333333333,1.0416666666666676,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-3.72%; 状态bottom_area; 底部未确认
