rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.48105737284747,77.84757731151,300653,正海生物,bottom_area,2023-05-18,34.5,2023-05-18,34.11,1.1433597185576094,1.7883318674875386,29.129441097028884,False,-0.1158,2.1877,1,1,1,100.0,29.647513278609367,29.647513278609367,18.85664028144239,1.1433597185576094,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
2,90.42173439971762,76.21424005107724,300661,圣邦股份,bottom_area,2023-05-18,119.84,2023-05-17,119.1,0.6213266162888407,2.5020990764063846,30.480971281811815,False,0.117,0.5772,1,1,1,100.0,31.832606108687024,31.832606108687024,19.37867338371116,0.6213266162888407,历史1/1次成功; 当前距低点0.62%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,88.9763459174642,77.69862866665032,600199,金种子酒,bottom_area,2023-05-18,22.46,2023-05-17,21.9,2.5570776255707868,3.1963470319634832,30.43202033036849,False,0.8079,1.1021,1,1,1,100.0,23.70304114490161,23.70304114490161,17.442922374429216,2.5570776255707868,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
4,88.47579425014634,76.08258312020459,000629,钒钛股份,bottom_area,2023-05-18,4.15,2023-04-25,4.08,1.715686274509811,9.803921568627459,31.08108108108108,False,-0.7177,0.4168,1,1,1,100.0,27.173913043478265,27.173913043478265,18.28431372549019,1.715686274509811,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
5,87.53595790203931,75.43930100660545,688289,圣湘生物,bottom_area,2023-05-18,18.31,2023-04-26,17.98,1.8353726362625045,12.45828698553948,27.058823529411757,False,-0.4891,0.4989,1,1,1,100.0,25.182530200451346,25.182530200451346,18.164627363737495,1.8353726362625045,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
6,84.96176991688264,71.19107784431137,002385,大北农,bottom_area,2023-05-18,6.7,2023-05-18,6.68,0.29940119760479733,2.0958083832335417,32.457027300303345,False,-1.4706,1.2036,1,1,1,100.0,23.353293413173663,23.353293413173663,19.700598802395202,0.29940119760479733,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
7,84.81678461428395,77.13921042682271,688206,概伦电子,bottom_area,2023-05-18,27.59,2023-05-15,26.33,4.785415875427276,5.772882643372592,28.6449864498645,False,0.1452,1.1694,2,2,2,100.0,31.34386356342422,39.570720968629594,15.214584124572724,4.785415875427276,历史2/2次成功; 当前距低点4.79%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
8,83.73508089533706,74.23866304608475,688075,安旭生物,bottom_area,2023-05-18,66.84,2023-05-10,64.65,3.3874709976798103,4.94972931167825,30.37906525953047,False,-0.8161,1.3258,4,5,4,80.0,31.086542584917854,40.134529147982065,16.61252900232019,3.3874709976798103,历史4/5次成功; 当前距低点3.39%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
9,81.22375710653753,74.01921972041696,300762,上海瀚讯,bottom_area,2023-05-18,12.0,2023-05-10,11.44,4.895104895104899,6.031468531468543,27.50316856780735,False,1.437,1.14,1,1,1,100.0,32.580961727183514,32.580961727183514,15.104895104895103,4.895104895104899,历史1/1次成功; 当前距低点4.90%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
10,74.69675188814844,67.14529193449255,002690,美亚光电,bottom_area,2023-05-18,24.63,2023-05-15,23.65,4.143763213530657,4.312896405919675,28.765060240963862,False,0.0813,0.717,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,15.856236786469344,4.143763213530657,历史2/3次成功; 当前距低点4.14%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
11,71.32990348482896,63.64645728951781,002245,蔚蓝锂芯,bottom_area,2023-05-18,11.1,2023-04-26,10.7,3.7383177570093498,8.317757009345799,29.512516469038214,False,-0.4484,1.2155,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,16.261682242990652,3.7383177570093498,历史2/3次成功; 当前距低点3.74%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
