rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.97206430377598,83.02357541779995,605399,晨光新材,bottom_area,2023-04-20,27.79,2023-04-20,27.4,1.4233576642335788,2.919708029197083,32.312252964426875,False,-2.8661,5.0477,2,2,2,100.0,44.24102630243285,52.857533497402244,13.57664233576642,1.4233576642335788,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
2,90.6154777470455,80.94927835051546,600172,黄河旋风,bottom_area,2023-04-20,4.92,2023-04-20,4.85,1.443298969072171,2.268041237113409,29.30029154518951,False,-1.006,1.8443,1,1,1,100.0,51.074589127686465,51.074589127686465,13.556701030927828,1.443298969072171,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
3,90.16360237907513,79.0019131614654,300586,美联新材,bottom_area,2023-04-20,14.8,2023-04-20,14.74,0.4070556309362313,3.595658073270009,28.44660194174758,False,-2.5675,1.4258,2,2,2,100.0,69.69134206257787,124.33414043583537,14.592944369063767,0.4070556309362313,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
4,87.23674190717071,78.73522416547031,002843,泰嘉股份,bottom_area,2023-04-20,15.86,2023-04-20,15.55,1.993569131832789,3.1511254019292503,27.875695732838583,False,-0.5643,1.2283,2,2,2,100.0,28.175063365855337,31.56626506024095,13.00643086816721,1.993569131832789,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
5,87.07502063922092,78.16311711839926,002350,北京科锐,bottom_area,2023-04-20,7.17,2023-04-20,7.05,1.7021276595744694,2.9787234042553186,28.498985801217035,False,-1.511,2.133,2,2,2,100.0,21.526710657145447,23.07692307692308,13.29787234042553,1.7021276595744694,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
6,86.19308178062332,77.24273331691704,002397,梦洁股份,bottom_area,2023-04-20,3.78,2023-04-20,3.72,1.612903225806441,4.301075268817196,30.98330241187383,False,-3.3248,4.2238,1,1,1,100.0,42.36641221374045,42.36641221374045,13.387096774193557,1.612903225806441,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
7,85.54016911576528,76.27313489587141,300530,领湃科技,bottom_area,2023-04-20,22.63,2023-04-20,22.33,1.3434841021047952,2.4630541871921214,30.327613104524183,False,-0.6148,0.2666,3,4,3,75.0,27.802573379948058,34.07510431154381,13.656515897895204,1.3434841021047952,历史3/4次成功; 当前距低点1.34%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
8,83.8267718731646,78.25548170480118,000983,山西焦煤,bottom_area,2023-04-20,10.64,2023-04-11,10.25,3.8048780487804934,8.097560975609756,27.715091678420308,True,-1.5726,1.2917,3,3,3,100.0,21.938729333444627,27.212389380530986,11.195121951219505,3.8048780487804934,历史3/3次成功; 当前距低点3.80%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
9,83.47690352051123,76.1476885021767,300665,飞鹿股份,bottom_area,2023-04-20,7.6,2023-04-20,7.41,2.564102564102557,3.913630229419703,28.197674418604652,False,-0.2625,1.9774,2,2,2,100.0,21.25721692650826,22.6044226044226,12.435897435897441,2.564102564102557,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
10,82.17334454167253,71.9054403684551,002329,皇氏集团,bottom_area,2023-04-20,5.97,2023-04-20,5.95,0.3361344537815054,2.0168067226890773,32.919954904171355,False,-1.8092,2.7735,1,1,1,100.0,27.644230769230756,27.644230769230756,14.663865546218494,0.3361344537815054,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
11,80.9102891483004,70.91303841754693,002385,大北农,bottom_area,2023-04-20,7.15,2023-04-20,7.12,0.42134831460674504,2.247191011235957,28.00808897876643,False,-1.7857,1.1225,1,1,1,100.0,23.353293413173663,23.353293413173663,14.578651685393254,0.42134831460674504,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
