rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.48807854150532,75.45253093048385,300763,锦浪科技,bottom_area,2024-10-14,74.02,2024-10-11,71.32,3.785754346606847,7.922041503084698,27.068207383168026,False,1.9419,3.5605,3,4,3,75.0,30.855112047029355,36.020348268440614,16.214245653393156,3.785754346606847,历史3/4次成功; 当前距低点3.79%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
2,81.78913609362243,74.55485398142561,688358,祥生医疗,bottom_area,2024-10-14,23.93,2024-10-14,22.81,4.910127137220522,5.217010083296805,27.884919380335127,False,2.0469,0.8707,3,4,3,75.0,39.8115260983247,68.06588735387884,15.08987286277948,4.910127137220522,历史3/4次成功; 当前距低点4.91%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
3,81.07528150316566,73.31864864864866,688310,迈得医疗,bottom_area,2024-10-14,11.91,2024-10-14,11.4,4.473684210526314,4.912280701754391,27.619047619047617,False,1.5345,1.4904,1,1,1,100.0,23.648648648648653,23.648648648648653,15.526315789473689,4.473684210526314,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
4,78.64531847279453,70.30414833174056,688236,春立医疗,bottom_area,2024-10-14,12.98,2024-10-14,12.5,3.840000000000003,4.0,27.912341407151096,False,1.4855,3.9064,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,16.159999999999997,3.840000000000003,历史2/3次成功; 当前距低点3.84%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
5,73.35970927968854,64.56402985074628,000430,张家界,bottom_area,2024-10-14,6.21,2024-10-14,6.03,2.985074626865667,3.1509121061359786,27.349397590361452,False,0.0,5.2084,1,2,1,50.0,53.99999999999999,53.99999999999999,17.014925373134336,2.985074626865667,历史1/2次成功; 当前距低点2.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,62.86404954843189,56.8490744919088,688331,荣昌生物,bottom_area,2024-10-14,30.83,2024-10-14,29.51,4.473059979667897,6.4723822433073535,29.721362229102166,False,0.4235,2.4849,1,2,1,50.0,26.761565836298917,26.761565836298917,15.526940020332102,4.473059979667897,历史1/2次成功; 当前距低点4.47%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
7,62.80964095966186,57.31522227680216,688062,迈威生物,bottom_area,2024-10-14,25.14,2024-10-14,23.95,4.968684759916498,6.179540709812111,27.42424242424243,False,0.0796,2.7025,1,2,1,50.0,35.34313725490197,35.34313725490197,15.031315240083504,4.968684759916498,历史1/2次成功; 当前距低点4.97%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
8,60.625170906332265,54.30172345623402,688059,华锐精密,bottom_area,2024-10-14,50.82,2024-10-14,48.89,3.9476375536919606,5.031703824913071,31.140845070422536,False,0.3555,2.8948,1,5,1,20.0,38.29213483146067,38.29213483146067,16.05236244630804,3.9476375536919606,历史1/5次成功; 当前距低点3.95%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
9,58.86571800110545,53.11353217637351,688117,圣诺生物,bottom_area,2024-10-14,27.35,2024-10-14,26.21,4.349484929416255,4.8454788248759995,29.123850730124385,False,2.7423,2.2137,1,3,1,33.33333333333333,24.6076585059636,24.6076585059636,15.650515070583745,4.349484929416255,历史1/3次成功; 当前距低点4.35%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
10,58.50168247090618,53.28179737029588,688047,龙芯中科,bottom_area,2024-10-14,127.43,2024-10-14,121.52,4.863396971691912,7.0523370638578085,28.043581241117955,False,2.2713,2.0577,1,4,1,25.0,33.20076594491089,33.20076594491089,15.136603028308091,4.863396971691912,历史1/4次成功; 当前距低点4.86%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
