rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.01057025355924,76.9738034459074,001203,大中矿业,bottom_area,2024-08-01,8.39,2024-07-30,8.2,2.317073170731723,5.121951219512195,29.492691315563206,False,-1.5258,0.6087,2,2,2,100.0,22.670592877288865,29.46341463414634,7.682926829268277,2.317073170731723,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
2,78.61326625105582,77.431418287717,603368,柳药集团,bottom_area,2024-08-01,17.1,2024-07-31,16.41,4.204753199268747,6.581352833638015,31.908713692946062,False,-1.2132,1.6191,3,3,3,100.0,31.603524634675978,42.85714285714285,5.795246800731254,4.204753199268747,历史3/3次成功; 当前距低点4.20%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
3,76.5217060186014,72.97127013664719,603156,养元饮品,bottom_area,2024-08-01,20.45,2024-07-30,19.95,2.5062656641604013,6.516290726817046,27.322404371584703,False,-3.3097,0.3146,2,2,2,100.0,13.685784144800545,15.851851851851857,7.4937343358396,2.5062656641604013,历史2/2次成功; 当前距低点2.51%; 最新日涨幅-3.31%; 状态bottom_area; 底部未确认
4,75.84662118079295,75.04823569467935,300721,怡达股份,bottom_area,2024-08-01,11.75,2024-07-31,11.25,4.444444444444445,7.466666666666666,27.976952624839946,True,0.6855,4.4768,4,5,4,80.0,16.728865742003688,22.270742358078603,5.555555555555556,4.444444444444445,历史4/5次成功; 当前距低点4.44%; 最新日涨幅0.69%; 状态bottom_area; 底部已确认
5,75.33886859057908,74.3774045801527,002687,乔治白,bottom_area,2024-08-01,4.1,2024-07-25,3.93,4.325699745547061,5.852417302798981,32.82051282051282,False,-0.9662,0.7466,1,1,1,100.0,64.00000000000001,64.00000000000001,5.67430025445294,4.325699745547061,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
6,75.00371107695555,72.61371466025781,603317,天味食品,bottom_area,2024-08-01,10.33,2024-07-30,10.0,3.3000000000000007,8.200000000000003,31.74061433447099,True,-3.5481,0.7379,2,2,2,100.0,12.299541184181786,14.347826086956525,6.7,3.3000000000000007,历史2/2次成功; 当前距低点3.30%; 最新日涨幅-3.55%; 状态bottom_area; 底部已确认
7,74.40691178379554,72.96810409736852,002563,森马服饰,bottom_area,2024-08-01,4.97,2024-07-30,4.78,3.9748953974895294,7.531380753138063,29.080118694362017,True,-2.1654,0.7218,1,1,1,100.0,28.929384965831446,28.929384965831446,6.0251046025104715,3.9748953974895294,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
8,74.18075348793491,72.60737867473462,000726,鲁泰A,bottom_area,2024-08-01,5.63,2024-07-30,5.42,3.8745387453874534,4.612546125461255,28.211920529801326,False,0.0,0.9418,1,1,1,100.0,12.480252764612954,12.480252764612954,6.1254612546125475,3.8745387453874534,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,73.27252949914073,71.79112532575219,603367,辰欣药业,bottom_area,2024-08-01,13.23,2024-07-30,12.73,3.927729772191673,5.577376276512169,27.048710601719193,False,-0.6757,0.8008,1,1,1,100.0,31.216931216931226,31.216931216931226,6.072270227808327,3.927729772191673,历史1/1次成功; 当前距低点3.93%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
10,72.62578425031198,72.13554269799552,001218,丽臣实业,bottom_area,2024-08-01,14.42,2024-07-25,13.78,4.644412191582007,6.603773584905662,30.404040404040412,False,-1.368,1.0563,2,2,2,100.0,25.18711018711019,29.999999999999993,5.355587808417994,4.644412191582007,历史2/2次成功; 当前距低点4.64%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
11,72.36710727996493,69.96215809543438,600997,开滦股份,bottom_area,2024-08-01,6.08,2024-07-30,5.89,3.22580645161291,5.942275042444831,30.70588235294118,False,-1.7771,0.5281,1,1,1,100.0,12.77955271565495,12.77955271565495,6.774193548387091,3.22580645161291,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
12,71.58832805286232,69.37265458297584,002601,龙佰集团,bottom_area,2024-08-01,16.97,2024-07-25,16.42,3.349573690621176,6.211936662606575,29.224137931034473,False,-1.6232,0.5315,1,1,1,100.0,11.127325793506023,11.127325793506023,6.650426309378823,3.349573690621176,历史1/1次成功; 当前距低点3.35%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
13,71.51553124147384,66.01919624323335,000786,北新建材,bottom_area,2024-08-01,25.08,2024-08-01,24.88,0.8038585209003187,4.662379421221866,31.83561643835617,False,-3.5013,1.2529,1,1,1,100.0,11.946202531645568,11.946202531645568,9.196141479099682,0.8038585209003187,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
14,69.17733771379356,68.57305409532897,000039,中集集团,bottom_area,2024-08-01,7.83,2024-07-25,7.49,4.539385847797061,9.212283044058738,30.583873957367924,True,-1.261,1.2836,1,1,1,100.0,12.219644238205724,12.219644238205724,5.46061415220294,4.539385847797061,历史1/1次成功; 当前距低点4.54%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
